AAGAB hsa:79719
RTL10 hsa:79680
RTN4R hsa:65078
SAMD3 hsa:154075
SAMD8 hsa:142891
SAPCD1 hsa:401251
SART1 hsa:9092
SCAF11 hsa:9169
SCARF2 hsa:91179
SCARNA9 hsa:619383
SCG5 hsa:6447
SCRN2 hsa:90507
SDCBP2-AS1 ---
SEC23IP hsa:11196
SEC24A hsa:10802
SEMA4F hsa:10505
SEPTIN2 hsa:4735
SEPTIN5 hsa:5413
SETD7 hsa:80854
SF3B1 hsa:23451
SFXN3 hsa:81855
SFXN4 hsa:119559
SH3YL1 hsa:26751
SHKBP1 hsa:92799
SHLD2 hsa:54537
SIDT2 hsa:51092
SIGMAR1 hsa:10280
SIK2 hsa:23235
SKIV2L hsa:6499
SLBP hsa:7884
SLC11A2 hsa:4891
SLC12A2 hsa:6558
SLC22A18 hsa:5002
SLC25A1 hsa:6576
SLC25A36 hsa:55186
SLC25A37 hsa:51312
SLC2A1-AS1 ---
SLC2A12 hsa:154091
SLC2A8 hsa:29988
SLC35D2 hsa:11046
SLC41A3 hsa:54946
SLC44A2 hsa:57153
SLC4A5 hsa:57835
SLC4A5 hsa:8671
SLC66A3 hsa:130814
SMCR8 hsa:140775
SMG6 hsa:23293
SMS hsa:10743
SMS hsa:6611
SMU1 hsa:55234
SMURF1 hsa:57154
SNAP29 hsa:9342
SNED1 hsa:25992
SNHG21 ---
SNTG2 hsa:54221
SPAG17 hsa:200162
SPATA18 hsa:132671
SPATA33 hsa:124045
SPC25 hsa:57405
SPHK1 hsa:8877
SPIN4 hsa:139886
SPINK5 hsa:11005
SPINT1 hsa:6692
SPRED1 hsa:161742
SPTSSA hsa:171546
SSTR2 hsa:6752
STAMBPL1 hsa:57559
STAP2 hsa:55620
STARD5 hsa:80765
STK17B hsa:9262
STK26 hsa:51765
STX3 hsa:6809
STXBP2 hsa:6813
SULT1A1 hsa:6817
SYCP2 hsa:10388
SYNPR hsa:132204
TAB3 hsa:257397
TAF1 hsa:6872
TAF5 hsa:6877
TAFA2 hsa:338811
TANGO2 hsa:128989
TARBP1 hsa:6894
TARSL2 hsa:123283
TBC1D26 hsa:353149
