"","ENSEML_ID.biotype.symbol","X553C2","X3113C4","iPS1_dup","X690C5","iPS1","iPSC6","iPSC2_dup","iPSC2","iPSC5","X22q1115","X22q1115_dup","X1220C2","X1804","X22q1110C5","X22q1130","X22q1130_dup","X22q1160","X537","X1275C9","FoldChange","p.value"
"11195","ENSG00000182318.5|protein_coding|ZSCAN22",2.75056,2.70881,3.21577,2.96561,3.53031,2.39825,2.96053,2.62936,2.21832,2.37969,2.03658,3.02939,2.1735,2.77551,1.94127,2.25103,2.35979,2.23267,2.20089,0.829170383867297,0.0122686932091963
"11259","ENSG00000182912.6|protein_coding|C21orf90",3.18214,1.23257,1.90939,0.149994,2.00891,0.821942,3.84503,1.92824,0.503259,5.82919,3.07373,12.7272,2.61578,4.51489,5.82882,2.26722,5.45196,0.593094,3.62063,2.68718222119536,0.0236053330574351
"11327","ENSG00000183474.11|protein_coding|GTF2H2C",6.18392,7.12911,5.21574,8.08037,7.38717,6.70443,4.99678,4.8022,4.35472,6.72823,7.97021,12.2111,7.85313,5.97608,15.9845,13.2026,6.94764,10.3737,5.25795,1.51773723330327,0.0226720472302563
"11341","ENSG00000183597.11|protein_coding|TANGO2",7.75354,7.42185,4.41721,9.80924,5.65282,7.17412,7.00314,9.03025,7.64007,4.4265,3.94321,2.60025,3.34089,4.39258,2.78647,2.89543,3.8535,5.06085,4.66887,0.518520994127058,7.92156903324232e-05
"11347","ENSG00000183628.7|protein_coding|DGCR6",7.48751,9.51143,2.34622,10.374,4.67933,7.34418,9.65989,16.4164,12.119,1.99912,2.09995,2.75434,3.65781,1.67908,3.54858,1.86059,1.21885,7.45913,5.91936,0.362495227548964,0.00305445382208974
"11401","ENSG00000184007.13|protein_coding|PTP4A2",104.492,75.9532,128.569,105.652,89.8232,88.6704,90.5606,98.162,84.617,91.9618,132.241,140.603,82.7745,98.0341,107.186,137.921,158.585,102.609,109.544,1.20636374358713,0.0497190909303391
"11454","ENSG00000184436.7|protein_coding|THAP7",11.9566,13.3344,16.0719,13.8435,13.6557,15.5719,12.8595,14.4276,11.5426,6.4683,8.03397,5.11809,6.36728,5.40263,6.52407,6.62809,7.48504,5.32995,6.2547,0.464458782269233,1.14828939432052e-08
"11459","ENSG00000184470.15|protein_coding|TXNRD2",3.07977,5.75782,4.01915,1.2856,4.68105,2.02856,2.70156,6.98495,1.54117,1.27014,1.31514,1.39919,1.19038,1.77047,1.83473,1.12566,2.26064,0.712215,2.39612,0.428534135212906,0.0142211563627964
"11468","ENSG00000184524.5|protein_coding|CEND1",7.40999,11.1527,6.39629,11.2377,11.8696,6.29872,10.1897,18.9037,14.1837,10.5965,5.55743,1.67514,7.06221,6.33342,5.07662,3.16688,5.1701,13.5467,7.2124,0.602789780227996,0.0241262510337973
"11488","ENSG00000184702.13|protein_coding|SEPT5",74.3485,63.1983,56.5647,69.8899,72.8231,58.8105,64.993,107.564,91.437,33.9637,32.9495,24.3569,32.6933,34.4206,13.8688,32.0033,29.827,41.9259,42.7535,0.434920614466617,2.34722722932445e-05
