"","X","X67ND","X128ND","X162ND","X190ND","X212ND","X226ND","X272ND","X367ND","X67SD","X128SD","X162SD","X190SD","X212SD","X226SD","X272SD","X367SD","X67Nor","X128Nor","X162Nor","X212Nor","X190Nor","X226Nor","X272Nor","X367Nor","X67IL17","X128IL17","X162IL17","X212IL17","X190IL17","X226IL17","X272IL17","X367IL17","FoldChange","p.value"
"11371","ENSG00000164638",67.813448,77.77177,77.09787,59.77113,88.31374,48.22772,69.62158,67.46149,59.7734206565,55.58709,82.35022,55.83201,78.11026,40.80305,76.52737,63.56843,47.61508,46.980632521,37.17996,31.1648,49.289246,49.75552,42.09937,36.52831,50.8225550758,50.66655,52.97351,37.09824,38.320371443,43.37717041,35.28385,34.35167,1.26895051254699,0.0427734118185992
"11376","ENSG00000164654",19.060404,21.32954,22.511062,26.35992907,20.409755,23.52572,25.4416984863,26.911238962,13.739054,23.572471,18.759107,39.07867,20.2814,24.237294,22.554533,21.35249,19.859366,20.441305,19.55432,10.250725,23.526472,19.16132,21.596916,21.812561,20.888245,23.523083,19.64949,14.930564,20.900091,23.5778,21.10011,23.5873,0.814866126744504,0.00391136316542293
"11427","ENSG00000164850",0.692679,0.9056256,0.547975,1.417034,1.481866,2.12067,3.420942,3.805905,2.22109,1.135332,1.19197,2.39978,2.87021,2.789164,3.4423237,1.288519,1.688953,1.773464,2.252237,1.33574,3.108693,2.598654,1.849128,2.589256,2.138833,2.45121,2.05686,4.400521,1.336081,4.35315458,1.613168,3.298878,0.33704569749356,0.0424460393124181
"11458","ENSG00000164949",4.51359,3.1321422644,2.10821,4.29711,3.195222,5.50052,5.06111,6.42037,4.47288,6.3119802854,1.12971,6.78646,7.927,5.871505,4.65539,5.30397,21.3931195786,5.122252,4.58093,6.756750003,5.85173,7.22276,3.66038,5.72573,15.68897,4.941085005,5.99886,5.230823,4.887236,10.102026,4.142634,5.300431,0.608538809395694,0.020333216228265
"11460","ENSG00000164953",44.089372,29.07696,23.189916,35.721521,26.102227,46.220946,55.954154,48.346144,38.8552740128,33.89202,24.869292,59.541001,30.2104,30.687411,34.731144,30.582318,33.58552,42.7268762446,23.369531,11.769911,35.357365,35.676403,31.991308,44.566714,43.47495,31.566753824,27.87489,82.183841,25.680716,31.981641491,21.125775,66.27617,0.657520709596424,0.043804928595726
"11493","ENSG00000165113",21.09712,21.350371,13.51172,28.19606,19.669881,23.1699,22.268661,25.80421,17.66775,21.224336,15.25556,14.26637,32.651498,14.083258,26.60487,30.450669,16.238322,19.959214,15.821755,11.953226,14.887195,15.168874,18.139747,12.2856,21.44822,12.3144062778,12.99278,16.91221,11.234459,12.814991,25.275579,19.499615,0.760558941003641,0.0431517212597467
"11505","ENSG00000165156",21.72557,20.55431,21.216123,29.51791,18.3116450451,28.18425,22.64067,28.25992,28.0811,29.45427,16.97226,24.463536,23.86336,33.727054,20.12967,21.2584857,24.974354,25.535618,31.75672,12.039501,28.08967173,24.60078,21.652768,18.42084,24.825824,24.76805,24.637191,31.6576,17.741583,24.74637,34.53077,24.0272932171,0.753274185461234,0.014574156946937
"11557","ENSG00000165392",8.25075,10.412483,9.199065,10.85669,6.93082,16.56611,13.56108,12.64725,9.92675,10.25249,9.5867,19.83192,10.72127,14.12587,13.16013,8.175155,7.464446,15.83072,6.28457,5.42832,21.101389,14.55564,13.629247,15.41908,8.301318,15.47873,13.86412,22.21115,21.96861,14.593057724,23.18858,19.72942,0.648748553312227,0.0201620931886249
"11568","ENSG00000165458",100.4538500362,77.680225,55.1640002217,91.65979,90.28294,122.50004,122.6597,110.04694,95.94997,56.35041,61.06838,72.18079,106.013757,81.41569,87.310236,91.3998,38.451875,80.334584,70.42098,51.891771,135.103619,129.253343,106.354,124.91533,46.645445,72.12257,128.8793127285,100.96828,138.14704,93.73563,73.55813,117.70298,0.724111198716476,0.0479029867604665
"11711","ENSG00000166024",12.22078,10.670505,13.80119,9.4929214331,10.7191002869,7.5601513781,9.342877,10.93035,9.64093,7.64938,8.45628,12.5247500034,9.3288006864,6.691130952,12.848190002,10.51695314,8.913091,10.33393,6.893116,5.212733,10.523649,11.5615800067,8.5892801332,8.074622,5.701821,10.97776,12.282016,9.24616291,11.12052,11.896278,13.00935,11.8090043036,1.27019221103384,0.0475713410737761
