ITIH5	hsa:80760
SSPN	hsa:8082
HMGA2	hsa:8091
PRR4	hsa:81607
MADCAM1	hsa:8174
SERF1A	hsa:8293
CAST	hsa:831
CARS	hsa:833
PMFBP1	hsa:83449
MXD3	hsa:83463
NUF2	hsa:83540
BCL2L12	hsa:83596
RAB34	hsa:83871
CDCA7	hsa:83879
SPARCL1	hsa:8404
MYCBPAP	hsa:84073
RGPD5	hsa:84220
SPATC1L	hsa:84221
DOC2B	hsa:8447
GHDC	hsa:84514
TEAD2	hsa:8463
SLITRK2	hsa:84631
PSRC1	hsa:84722
TUBA1C	hsa:84790
ZNF503	hsa:84858
RGS5	hsa:8490
TANC1	hsa:85461
LGR5	hsa:8549
SCRT2	hsa:85508
CBFA2T3	hsa:863
EIF3CL	hsa:8663
CBLN1	hsa:869
CTSF	hsa:8722
CBSL	hsa:875
CCK	hsa:8767
DLK1	hsa:8788
SUCLG2	hsa:8801
CCK	hsa:885
STK19	hsa:8859
CCNA2	hsa:890
CCNB1	hsa:891
TIMELESS	hsa:8914
HERC2	hsa:8924
UBE3D	hsa:90025
TP53I13	hsa:90313
TMEM67	hsa:91147
SLC16A3	hsa:9123
PDLIM1	hsa:9124
P2RX6	hsa:9127
CCNB2	hsa:9133
COL23A1	hsa:91522
MYOM2	hsa:9172
AURKB	hsa:9212
WDR46	hsa:9277
CD36	hsa:948
KIF23	hsa:9493
ADAMTS3	hsa:9508
IGDCC3	hsa:9543
HDAC4	hsa:9759
PCLAF	hsa:9768
PIEZO1	hsa:9780
DLGAP5	hsa:9787
ARHGAP11A	hsa:9824
CDK1	hsa:983
CDC20	hsa:991
