FRZB hsa:2487
FST hsa:10468
FUT9 hsa:10690
FXYD5 hsa:53827
FZD10 hsa:11211
FZD2 hsa:2535
FZD6 hsa:8323
FZD7 hsa:8324
GABBR1 hsa:10537
GABBR1 hsa:2550
GABRA2 hsa:2555
GABRA3 hsa:2556
GABRA5 hsa:2558
GABRB1 hsa:2560
GAD1 hsa:2571
GAD2 hsa:2572
GAP43 hsa:2596
GAS1 hsa:2619
GAS2 hsa:2620
GAS2L3 hsa:283431
GAS7 hsa:8522
GAS8 hsa:2622
GATA3 hsa:2625
GATA6 hsa:2627
GATAD2B hsa:57459
GATD3A hsa:8209
GBX2 hsa:2637
GCNT1 hsa:2650
GDAP1L1 hsa:78997
GDF15 hsa:9518
GDPD5 hsa:81544
GEN1 hsa:348654
GFAP hsa:2670
GJA1 hsa:2697
GLI1 hsa:2735
GLI2 hsa:2736
GLI3 hsa:2737
GNAZ hsa:2781
GNB3 hsa:2784
GNG3 hsa:2785
GNG4 hsa:2786
GNG8 hsa:94235
GNL1 hsa:2794
GOLGA6L9 hsa:440295
GOLGA7B hsa:401647
GOLGA8A hsa:23015
GOLIM4 hsa:27333
GOT1 hsa:127845
GOT1 hsa:2805
GOT1 hsa:51026
GP1BB hsa:2812
GPC3 hsa:2719
GPR137B hsa:7107
GPR17 hsa:2840
GPR26 hsa:2849
GPR27 hsa:2850
GPR85 hsa:54329
GPX8 hsa:493869
GRAMD1B hsa:57476
GREB1 hsa:9687
GREB1L hsa:80000
GRIA1 hsa:2890
GRIA2 hsa:2891
GRIA4 hsa:2893
GRIK3 hsa:2899
GRIN2B hsa:2904
GRM5 hsa:2915
GRM7 hsa:2917
GSAP hsa:54103
GSTM3 hsa:2947
GTF2H2 hsa:2966
GTF2H4 hsa:2968
GUCY1A1 hsa:2982
GUCY1B1 hsa:2983
GXYLT1 hsa:283464
GYPC hsa:2995
H2BFS hsa:54145
HAND1 hsa:9421
HAND2 hsa:9464
HAPLN1 hsa:1404
HAS2 hsa:3037
HDAC5 hsa:10014
HDAC9 hsa:9734
HELLS hsa:3070
HERC2 hsa:8924
HES1 hsa:3280
HES1 hsa:8209
HGF hsa:3082
HGF hsa:3569
HGF hsa:6654
HIF3A hsa:64344
HIST1H4C hsa:8364
HIST1H4H hsa:8365
HIST2H2BE hsa:8349
HIST2H4B hsa:554313
HJURP hsa:55355
HK1 hsa:255061
HK1 hsa:3098
HK1 hsa:3739
HK1 hsa:51361
HLA-A hsa:3105
HLA-B hsa:3106
HLA-C hsa:3107
HLA-DPB1 hsa:3113
HLA-DPB1 hsa:3115
HLA-DPB1 hsa:3125
HMCN1 hsa:83872
HMGA2 hsa:8091
HOMER2 hsa:9455
HOXA10 hsa:3206
HOXA5 hsa:3202
HOXB3 hsa:3213
HOXB6 hsa:3216
HOXB7 hsa:3217
HOXB8 hsa:3218
HOXB9 hsa:3219
HOXC10 hsa:3226
HOXC6 hsa:3223
HPCAL4 hsa:51440
HPGD hsa:3248
HPX hsa:3263
HS6ST3 hsa:266722
HSD11B2 hsa:3291
HSPA1A hsa:3303
HSPA1B hsa:3304
HSPB6 hsa:126393
HSPG2 hsa:3339
HTR7 hsa:3363
ID1 hsa:3397
ID2 hsa:3398
ID3 hsa:3399
IFI44 hsa:10561
IFI44L hsa:10964
IFITM1 hsa:8519
IFITM2 hsa:10581
IGDCC3 hsa:9543
IGDCC4 hsa:57722
IGF2 hsa:3481
IGF2BP3 hsa:10643
IGFBP3 hsa:3486
IGSF22 hsa:283284
IL11RA hsa:3590
IL32 hsa:9235
IL6ST hsa:3572
IMPA2 hsa:3613
IMPACT hsa:55364
INA hsa:9118
INCENP hsa:3619
INPP1 hsa:3628
INPP5J hsa:27124
INPPL1 hsa:3636
INTU hsa:27152
IRX2 hsa:153572
IRX3 hsa:79191
ISLR hsa:3671
ITCH hsa:83737
ITGA5 hsa:3678
ITGB3BP hsa:23421
ITIH5 hsa:80760
ITM2A hsa:9452
JPH3 hsa:57338
KANSL1 hsa:284058
KAZALD1 hsa:81621
KCNA1 hsa:3736
KCNAB1 hsa:7881
KCNC2 hsa:3747
KCNF1 hsa:3754
KCNJ3 hsa:3760
KCNJ4 hsa:3761
