NPNT	hsa:255743
GABRA5	hsa:2558
GABRB1	hsa:2560
TMEM196	hsa:256130
ST6GALNAC3	hsa:256435
GAD1	hsa:2571
GAD2	hsa:2572
NGEF	hsa:25791
BAMBI	hsa:25805
DNAJB5	hsa:25822
NBPF14	hsa:25832
ZNF521	hsa:25925
GAP43	hsa:2596
ADGRA2	hsa:25960
EGFL6	hsa:25975
NECAP1	hsa:25977
TENM4	hsa:26011
LRIG1	hsa:26018
LRRC32	hsa:2615
GAS1	hsa:2619
GAS2	hsa:2620
GAS8	hsa:2622
TIAM2	hsa:26230
FBXL6	hsa:26233
GATA3	hsa:2625
GATA6	hsa:2627
GBX2	hsa:2637
LHX6	hsa:26468
SEZ6L2	hsa:26470
GCNT1	hsa:2650
BSCL2	hsa:26580
HS6ST3	hsa:266722
MDGA1	hsa:266727
NPAS4	hsa:266743
NAP1L5	hsa:266812
GFAP	hsa:2670
AMH	hsa:268
GJA1	hsa:2697
CACNG5	hsa:27091
CLUL1	hsa:27098
DKK2	hsa:27123
INPP5J	hsa:27124
INTU	hsa:27152
RSPH14	hsa:27156
GPC3	hsa:2719
PDCD4	hsa:27250
CSDC2	hsa:27254
TOX3	hsa:27324
PCDH11Y	hsa:27328
GOLIM4	hsa:27333
GLI1	hsa:2735
APOBEC3C	hsa:27350
GLI2	hsa:2736
GLI3	hsa:2737
EML4	hsa:27436
CECR2	hsa:27443
GNAZ	hsa:2781
GNB3	hsa:2784
GNG3	hsa:2785
GNG4	hsa:2786
GNL1	hsa:2794
GOT1	hsa:2805
GP1BB	hsa:2812
KLHL35	hsa:283212
CRACR2B	hsa:283229
IGSF22	hsa:283284
CD163L1	hsa:283316
SLC39A5	hsa:283375
GAS2L3	hsa:283431
GXYLT1	hsa:283464
PRTG	hsa:283659
GPR17	hsa:2840
KANSL1	hsa:284058
LAMA1	hsa:284217
SMIM24	hsa:284422
ANKRD34A	hsa:284615
RSPO1	hsa:284654
GPR26	hsa:2849
CCDC150	hsa:284992
GPR27	hsa:2850
EOGT	hsa:285203
FAM153A	hsa:285596
PPIL6	hsa:285755
DPY19L4	hsa:286148
ATP11C	hsa:286410
TRIM59	hsa:286827
GRIA1	hsa:2890
GRIA2	hsa:2891
GRIA4	hsa:2893
TMEM14A	hsa:28978
GRIK3	hsa:2899
ANPEP	hsa:290
ATAD2	hsa:29028
GRIN2B	hsa:2904
SLC25A4	hsa:291
CLEC2D	hsa:29121
GRM5	hsa:2915
GRM7	hsa:2917
GSTM3	hsa:2947
GTF2H2	hsa:2966
GTF2H4	hsa:2968
PACSIN3	hsa:29763
GUCY1A1	hsa:2982
GUCY1B1	hsa:2983
ST8SIA5	hsa:29906
GYPC	hsa:2995
LMCD1	hsa:29995
NXPH1	hsa:30010
SLC40A1	hsa:30061
HAS2	hsa:3037
HELLS	hsa:3070
HGF	hsa:3082
SPP1	hsa:30827
HK1	hsa:3098
ACACA	hsa:31
HLA-A	hsa:3105
HLA-B	hsa:3106
HLA-C	hsa:3107
HLA-DPB1	hsa:3113
HLA-DPB1	hsa:3115
HLA-DPB1	hsa:3125
NR4A1	hsa:3164
ONECUT1	hsa:3175
HOXA5	hsa:3202
HOXA10	hsa:3206
APBA2	hsa:321
HOXB3	hsa:3213
HOXB6	hsa:3216
HOXB7	hsa:3217
HOXB8	hsa:3218
HOXB9	hsa:3219
HOXC6	hsa:3223
HOXC10	hsa:3226
HPGD	hsa:3248
HPX	hsa:3263
HES1	hsa:3280
HSD11B2	hsa:3291
HSPA1A	hsa:3303
HSPA1B	hsa:3304
HSPG2	hsa:3339
APOA1	hsa:335
APOA2	hsa:336
HTR7	hsa:3363
TNC	hsa:3371
APOB	hsa:338
TMEM119	hsa:338773
ID1	hsa:3397
ID2	hsa:3398
ID3	hsa:3399
ARSI	hsa:340075
UNCX	hsa:340260
RSPO2	hsa:340419
TCEAL5	hsa:340543
SYT10	hsa:341359
STAC2	hsa:342667
BARHL2	hsa:343472
OSTN	hsa:344901
MGAT3	hsa:346606
LRRTM1	hsa:347730
SERINC2	hsa:347735
APOE	hsa:348
IGF2	hsa:3481
FAM131C	hsa:348487
IGFBP3	hsa:3486
GEN1	hsa:348654
CCN1	hsa:3491
HGF	hsa:3569
IL6ST	hsa:3572
AQP1	hsa:358
IL11RA	hsa:3590
IMPA2	hsa:3613
INCENP	hsa:3619
INPP1	hsa:3628
INPPL1	hsa:3636
AQP7	hsa:364
ISLR	hsa:3671
ITGA5	hsa:3678
KCNA1	hsa:3736
HK1	hsa:3739
KCNC2	hsa:3747
STUM	hsa:375057
LHFPL4	hsa:375323
KCNF1	hsa:3754
C5orf34	hsa:375444
LHFPL4	hsa:375612
KCNJ3	hsa:3760
KCNJ4	hsa:3761
KCNJ9	hsa:3765
KCNK3	hsa:3777
ARL4D	hsa:379
KDR	hsa:3791
KIF3C	hsa:3797
KIF11	hsa:3832
KIFC1	hsa:3833
ARG2	hsa:384
TNPO1	hsa:3842
KRT8	hsa:3856
KRT18	hsa:3875
C11orf96	hsa:387763
CCDC184	hsa:387856
SERP2	hsa:387923
KRT19	hsa:3880
SLC6A17	hsa:388662
NOTCH2NLA	hsa:388677
S100A16	hsa:388697
C1orf53	hsa:388722
LIN28B	hsa:389421
FEZF1	hsa:389549
SKOR1	hsa:390598
LAMA2	hsa:3908
LAMA5	hsa:3911
LAMB1	hsa:3912
LFNG	hsa:3955
LGALS1	hsa:3956
LGALS3	hsa:3958
LHX1	hsa:3975
ARHGDIG	hsa:398
SPRED3	hsa:399473
DLG4	hsa:3996
SERTM1	hsa:400120
LMO1	hsa:4004
RGS7BP	hsa:401190
VWA5A	hsa:4013
LOXL1	hsa:4016
GOLGA7B	hsa:401647
LRRN1	hsa:4034
LRRN4	hsa:4034
LRP4	hsa:4038
LTBP1	hsa:4052
LTBP3	hsa:4053
LTBP3	hsa:4054
BCAM	hsa:4059
LUM	hsa:4060
MAB21L1	hsa:4081
MAD2L1	hsa:4085
SMAD3	hsa:4088
SMAD5	hsa:4090
MAN1A1	hsa:4121
MAN2C1	hsa:4123
MAN2A1	hsa:4124
MAPT	hsa:4137
TBC1D3L	hsa:414059
MCM5	hsa:4174
CD46	hsa:4179
MDFI	hsa:4188
MDK	hsa:4192
MDM2	hsa:4193
MEF2C	hsa:4208
MEIS1	hsa:4211
SCG2	hsa:4221
MFAP2	hsa:4237
MFAP4	hsa:4239
MGAT3	hsa:4248
MGP	hsa:4256
MID1	hsa:4281
MKI67	hsa:4288
ASCL1	hsa:429
AFF1	hsa:4299
ACHE	hsa:43
FOXO4	hsa:4303
MME	hsa:4311
MMP1	hsa:4312
LHX8	hsa:431707
MMP10	hsa:4319
MME	hsa:4321
MMP14	hsa:4323
MPP2	hsa:4355
MPZ	hsa:4359
ZNF705A	hsa:440077
GOLGA6L9	hsa:440295
TMEM151B	hsa:441151
CITED1	hsa:4435
MSH5	hsa:4439
SULT1A4	hsa:445329
MSX2	hsa:4488
MT2A	hsa:4502
MYBPH	hsa:4608
MYH3	hsa:4621
MYL4	hsa:4635
NAP1L1	hsa:4673
NAP1L2	hsa:4674
NDUFA6	hsa:4700
NDUFA8	hsa:4702
NEK2	hsa:4751
NFIA	hsa:4774
NFATC4	hsa:4776
ATP1A3	hsa:478
NFIX	hsa:4784
NHLH1	hsa:4807
NHLH2	hsa:4808
NID1	hsa:4811
NNAT	hsa:4826
NOTCH1	hsa:4851
NOTCH2	hsa:4853
NOTCH3	hsa:4854
NPAS2	hsa:4862
NRGN	hsa:4900
NRTN	hsa:4902
NSF	hsa:4905
ROR1	hsa:4919
ATP2B3	hsa:492
ROR2	hsa:4920
DDR2	hsa:4921
NTS	hsa:4922
GPX8	hsa:493869
OGN	hsa:4969
C18orf32	hsa:497661
OTX1	hsa:5013
P4HA1	hsa:5033
CHST11	hsa:50515
PAX2	hsa:5076
PAX3	hsa:5077
PAX7	hsa:5081
PARD6A	hsa:50855
PBX2	hsa:5089
PBX3	hsa:5090
CDON	hsa:50937
PCDH7	hsa:5099
GOT1	hsa:51026
PCK2	hsa:5106
CEP83	hsa:51134
LEF1	hsa:51176
PCOLCE	hsa:5118
SHISA5	hsa:51246
PCSK5	hsa:5125
CEND1	hsa:51286
NRN1	hsa:51299
ARMCX1	hsa:51309
PDE1A	hsa:5136
HK1	hsa:51361
AIG1	hsa:51390
HPCAL4	hsa:51440
DTL	hsa:51514
PDGFRA	hsa:5156
PDGFRB	hsa:5159
NSG2	hsa:51617
TPPP3	hsa:51673
PDYN	hsa:5173
SERPINF1	hsa:5176
ATP8A2	hsa:51761
PEG3	hsa:5178
PFKFB3	hsa:5209
SERPINI1	hsa:5274
PITX1	hsa:5307
PITX2	hsa:5308
PLAG1	hsa:5324
PLAGL1	hsa:5325
PLD2	hsa:5338
ATP6V1G2	hsa:534
PLK1	hsa:5347
PLOD2	hsa:5352
PLSCR1	hsa:5359
PNOC	hsa:5368
FXYD5	hsa:53827
FGFRL1	hsa:53834
PRRX1	hsa:5396
C21orf58	hsa:54058
GSAP	hsa:54103
H2BFS	hsa:54145
PODXL	hsa:5420
CYCS	hsa:54205
SNTG1	hsa:54212
POLD1	hsa:5424
POLE	hsa:5426
GPR85	hsa:54329
RBP4	hsa:5433
ANLN	hsa:54443
PCDH18	hsa:54510
PUS7	hsa:54517
SPATA6	hsa:54558
MXRA8	hsa:54587
POU6F1	hsa:5463
WDR74	hsa:54663
FEV	hsa:54738
PCSK4	hsa:54760
BNC2	hsa:54796
CDHR2	hsa:54825
MFSD6	hsa:54842
SLX1A	hsa:548593
MTMR10	hsa:54893
TASOR2	hsa:54906
SPDL1	hsa:54908
SARS2	hsa:54938
CLN6	hsa:54982
PPP1R1A	hsa:5502
PID1	hsa:55022
FEZF2	hsa:55079
