"","X","X67ND","X128ND","X162ND","X190ND","X212ND","X226ND","X272ND","X367ND","X67SD","X128SD","X162SD","X190SD","X212SD","X226SD","X272SD","X367SD","X67Nor","X128Nor","X162Nor","X212Nor","X190Nor","X226Nor","X272Nor","X367Nor","X67IL17","X128IL17","X162IL17","X212IL17","X190IL17","X226IL17","X272IL17","X367IL17","FoldChange","p.value"
"2010","ENSG00000095002",21.23388,23.8655160717,16.770887,31.209804,19.40793,36.3803001951,20.26151,16.6319444564,17.354924,24.678828,21.4414,21.410725,35.839500061,46.38387,31.5994,22.38672,29.1451,23.7337,27.313736209,26.8546,40.207895,28.898334,44.82731,35.264382,26.8508,36.09787,38.50724,39.2444,48.605199,40.520457,46.75432,39.75875,0.717484100927921,0.0479437057776491
"2057","ENSG00000096155",6.536762,21.88399171,62.2671040758,12.21524879,23.849024,97.037139143,66.2378820605,11.003514,16.951817,18.4644500282,73.8695173731,10.303212,21.8759381457,56.4978699,74.8254642436,16.1192285588,15.7994540708,13.27158766,16.438299,16.514422,10.0123628,12.789930534,11.648357594,14.0935075482,14.763770532,19.60649,25.65485409,13.9774785549,7.419908,16.3853303213,10.903185609,14.2438407994,1.27767716400334,0.0271030849307852
"2065","ENSG00000096696",0.983114,1.851123,1.075009,1.156701,2.514764,1.5330946,1.258166,2.29753,1.603744,0.865559,0.2424694,1.747393,0.430035,0.917635,0.315154,2.766299,0.6907703,4.959477,2.657544,1.837465,9.30112,8.21996,4.70275,9.517297,1.209135,5.70976,7.19639,4.80185,11.303459,6.23403,3.225,5.731041,0.319624955345788,0.0101038922116104
"2072","ENSG00000097021",190.82992,182.918089,177.723636,142.93479,177.69968,99.163177,168.133745,162.3325,171.160374,154.08868,191.113185,125.10109,156.966481,105.8958,147.279661,162.83702,220.639767,143.312414,221.997296,196.015325,119.004659,147.065465,154.52686,118.793618,206.885247,159.302378,135.09635,124.901115,133.817728,145.936478,130.435255,103.239307,1.44971899603101,0.0371555378634415
"2074","ENSG00000097046",17.44365,14.02746327,24.04707,22.06372,18.57859,30.46486,16.52483,17.08662,15.8286,16.38435,19.78771,23.05147,18.76872,35.90416,16.733364,16.33473,20.65239,30.57673,22.335361,19.8233,30.87518,33.388528,37.35805,44.18775,18.7608678,45.64348,28.9656,34.9127123475,49.63613,27.32249,43.23482,36.72832,0.640477992697157,0.0143685115846807
"2095","ENSG00000099341",240.8343302881,236.5621817,222.298626006,179.7070652981,187.002036227,207.507488053,214.0569964275,229.934120526,258.572942366,201.5536529175,229.8997666676,200.4996173386,209.0577998618,189.672746436,217.7866796974,191.7579985931,242.9424587025,226.8404014724,245.4970536077,237.533697612,209.4153069425,235.400762656,215.2022303879,199.708745744,257.4210772917,228.8020599815,224.5675525723,168.6165753826,217.6746511994,205.235472224,186.5270368503,166.9953056473,1.10827455775236,0.0456597710684318
"2167","ENSG00000100034",58.948776,34.811245,27.941908,51.81852,26.523543,24.544734,41.754219,29.12289,46.099582,26.235568,36.521382,40.69913,61.86202,20.487618,31.63452,37.77345,24.780587,28.65462035,31.374616,22.299268,41.571928,47.91163,41.389656,43.379222,55.81103,50.90146,39.280935,41.176484,37.946023,53.784383,23.33935,61.9221619,0.614677727374784,0.000750747329047427
"2202","ENSG00000100147",6.087547,6.05876,5.00991,8.65093,6.25157,5.08801,9.20203,7.33565,8.02534,5.85287,4.5848,14.96327,8.69053,4.73322,6.86607,7.22442,4.3524,7.11329,6.51085,3.144646,7.22623,8.32491,7.93476,10.2465,6.84443,6.1313,5.98723,8.74124,7.38196,7.756772,7.97904,7.69244,0.626139438640595,0.0355507676466164
"2212","ENSG00000100197",0,10.73005,1.05974,22.70146,20.584672,1.596757,5.768385,19.72421,0.697511,4.0708,0.19118495,24.026122962,23.23661,1.896037,4.783187,16.45917,3.692917,4.58651,2.061386,1.01635,7.914778,5.21985,8.6207822,7.9741,4.9218672,5.11550308,6.34594,1.9908165336,3.249547,6.77293,7.122107,10.443516,0.38201648542464,0.00591112501266287
"2216","ENSG00000100209",13.1789185511,10.235596,10.72935,15.6033622927,11.63523,17.67098,16.08716,18.62637,8.818405,13.33794,6.067263,10.73783,14.16288,12.32992,14.21952,11.8009,11.15825,13.270148,12.595946891,12.973596,15.73527,14.14175,15.13658,17.67436,17.19842,22.95902,13.10940272,13.544,14.15389,14.198675,20.95513,18.00852,0.797568478715849,0.0151111856912385
"2235","ENSG00000100258",93.272840002,77.32994,74.49711,77.72557,104.3464,72.50741,90.26738,95.60034,77.01811,58.307168,71.89586,57.24207,94.18671,59.10799,87.3535105771,88.07516,47.09778,54.6316343254,47.14747,36.056020529,79.62322,67.71226,67.6261,56.684180026,47.3955114122,60.48231,65.08877,60.94506,67.85218,65.73428,46.93973,54.97869,0.680787010394344,0.0123837623459644
"2258","ENSG00000100314",0.566832,1.1515,1.6413,1.0719,1.53448,0.468771,0.832419,0.889008,0.798929,1.14943,0.748229,0.662647,0.800279,0.564366,0.948221,1.08327,0.647127,1.04627,0.224716,0.526358,1.59591,1.06964,2.21033,1.46517,1.16132,0.520133,0.493823,2.08676,1.61323,1.21021,0.955413,2.63296,0.385499404672728,0.0179609637300458
"2374","ENSG00000100726",57.46738,54.111308,61.78119,58.68874,67.29962,54.43486,66.982363,57.92263,38.32062,52.24444,61.708,43.06776,62.86544,50.75371,55.377721,50.43528,39.578865,50.137769,39.854464,32.824523,61.717282,50.088395,55.360104,45.712701,36.48561,52.770649,49.76226,45.733731,62.013658,53.791064,42.55948,46.34766,0.762855970571981,0.0440515334664132
