PCDHGA12	hsa:26025
SIPA1L1	hsa:26037
SENP3	hsa:26168
GART	hsa:2618
FBXW2	hsa:26190
GATA2	hsa:2624
NKX2-8	hsa:26257
TINF2	hsa:26277
GATM	hsa:2628
GBA	hsa:2629
SERGEF	hsa:26297
FAM162A	hsa:26355
PTPN18	hsa:26469
TIMM10	hsa:26519
ITGB1BP2	hsa:26548
GREM1	hsa:26585
GEM	hsa:2669
GFPT1	hsa:2673
HAVCR1	hsa:26762
GIPR	hsa:2696
DNAI1	hsa:27019
ZBTB32	hsa:27033
ACAD8	hsa:27034
AFF4	hsa:27125
HSPB7	hsa:27129
TUBGCP4	hsa:27229
NMRK2	hsa:27231
VENTX	hsa:27287
R3HCC1L	hsa:27291
GCLM	hsa:2730
BHLHE22	hsa:27319
RPS6KA6	hsa:27330
ZNF638	hsa:27332
EIF3K	hsa:27335
HTRA2	hsa:27429
HLA-DQB1	hsa:2775
GNL1	hsa:2794
GNRH1	hsa:2796
ABO	hsa:28
GOLGB1	hsa:2804
GOT2	hsa:2806
SSX7	hsa:280658
GPD1	hsa:2819
PPP2R3B	hsa:28227
TTC9C	hsa:283237
CD163L1	hsa:283316
GPR12	hsa:2835
NOMO2	hsa:283820
NPW	hsa:283869
CLEC18C	hsa:283971
TSEN54	hsa:283989
PIGW	hsa:284098
TPRX1	hsa:284355
TMEM150B	hsa:284417
ERICH2	hsa:285141
ZNF619	hsa:285267
IGSF10	hsa:285313
ARL10	hsa:285598
CNPY1	hsa:285888
C9orf47	hsa:286223
GPS2	hsa:2874
LAMTOR2	hsa:28956
TMEM176B	hsa:28959
OSTM1	hsa:28962
FLVCR1	hsa:28982
THYN1	hsa:29087
DROSHA	hsa:29102
NXT1	hsa:29107
C11orf21	hsa:29125
GSN	hsa:2934
GSTM5	hsa:2949
GSTZ1	hsa:2954
GTF2H2	hsa:2966
GTF2H4	hsa:2968
GTF3C1	hsa:2975
GUCY1A2	hsa:2977
PARVB	hsa:29780
GUCY2C	hsa:2984
GUCY2F	hsa:2986
TRA2A	hsa:29896
FAM216A	hsa:29902
UBIAD1	hsa:29914
OSGIN1	hsa:29948
DMGDH	hsa:29958
PRICKLE4	hsa:29964
ERO1A	hsa:30001
HIST1H1C	hsa:3006
HCRT	hsa:3060
PPOX	hsa:3060
HDC	hsa:3067
VSX1	hsa:30813
HGF	hsa:3082
ZNRD1	hsa:30834
SOCS7	hsa:30837
NRG1	hsa:3084
PIK3R4	hsa:30849
HLA-A	hsa:3105
HLA-B	hsa:3106
HLA-C	hsa:3107
HLA-DMA	hsa:3108
HLA-DMB	hsa:3109
HLA-DQB1	hsa:3119
HLA-DQB1	hsa:3120
HLA-F	hsa:3134
NUDT2	hsa:318
ZAR1	hsa:326340
HSF4	hsa:3299
DNAJB1	hsa:3337
DNAJC4	hsa:3338
HTN1	hsa:3346
HTR7	hsa:3363
APOA4	hsa:337
CHSY3	hsa:337876
C1orf228	hsa:339541
C2orf74	hsa:339804
ARSI	hsa:340075
ANKRD34B	hsa:340120
FAM221A	hsa:340277
CYP26C1	hsa:340665
IDH3B	hsa:3420
PKD1L3	hsa:342372
CFI	hsa:3426
ZNF860	hsa:344787
ATP13A5	hsa:344905
IFNAR1	hsa:3454
TMEM255B	hsa:348013
IGF2	hsa:3481
IGFBP3	hsa:3486
WDR53	hsa:348793
NIPAL4	hsa:348938
ZNF429	hsa:353088
RAET1G	hsa:353091
IK	hsa:3550
HGF	hsa:3569
IMPDH2	hsa:3615
INHBA	hsa:3624
C7	hsa:3627
IRF3	hsa:3661
ITGAM	hsa:3684
EIF6	hsa:3692
ITIH2	hsa:3698
JUNB	hsa:3726
KCNA3	hsa:3738
KCNA4	hsa:3739
AREG	hsa:374
NCR3LG1	hsa:374383
TEPP	hsa:374739
ZNF568	hsa:374900
SVBP	hsa:374969
KCND3	hsa:3752
KCNJ13	hsa:3769
IK	hsa:3783
KLRC3	hsa:3823
KRTAP5-9	hsa:3846
KRTAP5-9	hsa:387266
NSUN4	hsa:387338
C1QTNF9B	hsa:387911
SHISA2	hsa:387914
TMEM81	hsa:388730
ANXA2R	hsa:389289
AFF3	hsa:3899
LAG3	hsa:3902
OR2AK2	hsa:391191
PTRHD1	hsa:391356
LCK	hsa:3932
LIG1	hsa:3978
RHOH	hsa:399
TRIM49D1	hsa:399939
C11orf87	hsa:399947
SNX19	hsa:399979
RGP1	hsa:400966
C5orf63	hsa:401207
CRIP3	hsa:401262
LOX	hsa:4015
RNF223	hsa:401934
LPP	hsa:4026
LRRN4	hsa:4034
LRP2	hsa:4036
LRP6	hsa:4040
LTA	hsa:4049
ARRB2	hsa:409
MAGEA4	hsa:4103
ARSB	hsa:411
MAN1A1	hsa:4121
MAP1A	hsa:4130
TBC1D3C	hsa:414060
AGAP6	hsa:414189
PCM1	hsa:4152
MCC	hsa:4163
CCNL1	hsa:4171
MDH1	hsa:4190
ART4	hsa:420
MGAT5	hsa:4249
MMP1	hsa:4312
MMP13	hsa:4322
ABCC1	hsa:4363
ALG11	hsa:440138
NPIPB15	hsa:440348
UQCRHL	hsa:440567
ETV3L	hsa:440695
AARD	hsa:441376
ANKRD65	hsa:441869
MSH5	hsa:4439
MST1R	hsa:4486
ATP8	hsa:4509
ND2	hsa:4536
ND4L	hsa:4539
ND5	hsa:4540
MYC	hsa:4609
MYL5	hsa:4636
MYO5B	hsa:4645
PPP1R12B	hsa:4660
NACA	hsa:4666
ATF3	hsa:467
NUBP1	hsa:4682
NDUFB9	hsa:4715
NDUFS3	hsa:4722
DRG1	hsa:4733
NEFM	hsa:4741
NELL2	hsa:4753
NEUROD1	hsa:4760
NFATC2	hsa:4773
NFYA	hsa:4800
NHLH1	hsa:4807
NOP2	hsa:4839
NONO	hsa:4841
CNOT3	hsa:4849
ATP2A2	hsa:488
NPR2	hsa:4882
NRDC	hsa:4898
DDR2	hsa:4921
NUP88	hsa:4927
NVL	hsa:4931
GPR143	hsa:4935
ATP4A	hsa:495
CLEC18B	hsa:497190
ATP5A1	hsa:498
OR3A2	hsa:4995
ORM1	hsa:5004
PAX5	hsa:5079
PAX6	hsa:5080
ASAP1	hsa:50807
PAX9	hsa:5083
CDON	hsa:50937
PCCA	hsa:5095
SOST	hsa:50964
EMC9	hsa:51016
ZNF691	hsa:51058
APIP	hsa:51074
THAP4	hsa:51078
PCM1	hsa:5108
POLR1C	hsa:51082
ZDHHC9	hsa:51114
COMMD2	hsa:51122
ANGPTL4	hsa:51129
ING4	hsa:51147
DCXR	hsa:51181
RPL24	hsa:51187
DUSP13	hsa:51207
TBC1D7	hsa:51256
TMEM216	hsa:51259
MRPL27	hsa:51264
PCYT1A	hsa:5130
MBTPS2	hsa:51360
UCHL5	hsa:51377
ANGPT4	hsa:51378
EIF3L	hsa:51386
SCARA3	hsa:51435
LCMT1	hsa:51451
LIMA1	hsa:51474
PDE9A	hsa:5152
DRG1	hsa:51534
MTFP1	hsa:51537
LGSN	hsa:51557
SRRT	hsa:51593
NBAS	hsa:51594
CUTA	hsa:51596
ERGIC3	hsa:51614
MRPS23	hsa:51649
CDK5RAP1	hsa:51654
STYXL1	hsa:51657
MPP6	hsa:51678
HDC	hsa:51696
CYB5R2	hsa:51700
UIMC1	hsa:51720
PECAM1	hsa:5175
PFDN5	hsa:5204
PGR	hsa:5241
ABCB1	hsa:5243
ATP6V1B1	hsa:525
PHKA1	hsa:5255
SERPINB8	hsa:5271
PIGA	hsa:5277
PIK3R1	hsa:5295
PKHD1	hsa:5314
PKP1	hsa:5317
CLIP4	hsa:53347
PLGLB1	hsa:5343
PLXNB1	hsa:5364
EXOSC10	hsa:5394
ATP7B	hsa:540
CLIC6	hsa:54102
MDP1	hsa:5428
POLG	hsa:5428
POLH	hsa:5429
POLR2G	hsa:5436
SAT2	hsa:54407
SLC38A2	hsa:54407
POLRMT	hsa:5442
SSH1	hsa:54434
MIEF1	hsa:54471
POU1F1	hsa:5449
PRMT7	hsa:54496
CCHCR1	hsa:54535
NDUFB11	hsa:54539
FAM193B	hsa:54540
DDIT4	hsa:54541
DLL4	hsa:54567
L1TD1	hsa:54596
DDX56	hsa:54606
WDR74	hsa:54663
RBFOX1	hsa:54715
MED18	hsa:54797
GDAP2	hsa:54834
LRRC49	hsa:54839
GDPD2	hsa:54857
DPP8	hsa:54878
CWC25	hsa:54883
UHRF1BP1	hsa:54887
FOCAD	hsa:54914
IMPAD1	hsa:54928
TRNAU1AP	hsa:54952
PARP16	hsa:54956
TTC12	hsa:54970
PPOX	hsa:5498
C1orf123	hsa:54987
OXSM	hsa:54995
PIH1D1	hsa:55011
FKBP14	hsa:55033
PLEKHB2	hsa:55041
MRPL20	hsa:55052
ZCWPW1	hsa:55063
FEZF2	hsa:55079
WDR70	hsa:55100
ANKZF1	hsa:55139
PPP2CA	hsa:5515
NADSYN1	hsa:55191
AVPR1A	hsa:552
VRTN	hsa:55237
SLC47A1	hsa:55244
TYW1	hsa:55253
IMP3	hsa:55272
OLAH	hsa:55301
SPTLC3	hsa:55304
DDX19A	hsa:55308
PEF1	hsa:553115
TCP11L1	hsa:55346
PPP5C	hsa:5536
H2AFY2	hsa:55506
GPRC5D	hsa:55507
ELAC1	hsa:55520
CDC42BPG	hsa:55561
CHRNA9	hsa:55584
PRKAA1	hsa:5562
PRKAB1	hsa:5564
FLVCR2	hsa:55640
GPATCH2L	hsa:55668
LUC7L	hsa:55692
NECAP2	hsa:55707
TSR1	hsa:55720
CEP72	hsa:55722
INTS13	hsa:55726
DNAJC11	hsa:55735
CCAR1	hsa:55749
PRKAR2A	hsa:5576
SAYSD1	hsa:55776
ZNF839	hsa:55778
METTL2B	hsa:55798
HR	hsa:55806
SPATA7	hsa:55812
TSNAXIP1	hsa:55815
RNF130	hsa:55819
