"","GeneFeature","X10_3651","X13_4506B","X16_9319","X19_9429_6120","X26_2038A","X28_2038B","X2_BJ2A","X31_1792A","X34_1792E","X39_1835_3","X43_2497B","X7_3440","FoldChange","p.value"
"17344","RGPD1",42,33,37,48,10,13,23,9,25,9,21,9,0.453125,0.0281302474749774
"17370","RGS7",76,54,86,64,21,50,77,54,82,9,21,58,0.571084337349398,0.0462919871387755
"17390","RHEBL1",38,25,27,26,34,35,18,29,47,40,46,16,1.54,0.0107635799141386
"17406","RHOU",1143,503,298,785,955,364,459,1528,1105,1783,1439,352,2.02655367231638,0.0363312040587534
"17415","RIC3",419,275,512,283,168,337,566,309,412,82,44,592,0.510766905931243,0.0268090022553315
"17484","RNASEL",42,78,21,23,91,92,51,124,102,183,192,29,3.21311475409836,0.00316261512801515
"17494","RNF112",137,153,231,109,45,110,165,88,79,34,68,136,0.455424274973147,0.00274804534103522
"17514","RNF141",2617,2272,2538,2030,1992,2178,3221,1767,1951,2221,1414,2388,0.764834727200319,0.0178601713816546
"17544","RNF207",30,39,61,36,20,19,47,20,24,45,18,40,0.577075098814229,0.0150938206557188
"17597","ROBO1",13267,12135,16310,12415,10844,10177,15553,10178,10138,13951,8337,10888,0.789705590308807,0.0330517760732743
"17598","ROBO2",6067,3855,5911,2475,1194,2336,3798,2848,2090,742,351,3955,0.366870035685507,0.00326329115056043
"17633","RPE65",414,3466,2675,505,415,532,1494,267,135,1076,200,1618,0.258061344868266,0.0498475969865156
"17827","RSG1",236,240,254,197,126,182,268,144,147,131,137,173,0.633771929824561,0.00117000396487345
"17830","RSPH1",47,51,80,26,21,41,73,49,47,2,10,73,0.485714285714286,0.0287932077458547
"17858","RTN4IP1",390,228,253,282,315,289,257,325,346,400,390,225,1.26299694189602,0.044228646716659
"17959","SAMD8",2620,2771,3136,1824,2074,2489,3829,1912,1782,2210,1547,2421,0.723691343894946,0.0408222676835662
"18016","SCARA3",3719,3749,3910,2350,2769,2855,3836,1830,2032,1870,1825,2190,0.667257264351524,0.0198587749711829
"18047","SCD",94135,79720,89723,69476,61678,58166,75714,67087,68861,78337,67021,67439,0.842385769213808,0.0415785292803498
"18048","SCD5",23186,25031,33036,12514,16812,20728,25796,9648,10940,6156,3300,18543,0.489363242726601,0.013005840937322
"18054","SCG5",59,7,7,16,31,64,13,65,57,77,16,8,2.81818181818182,0.0247184753763497
"18068","SCLT1",596,375,375,445,612,491,411,634,613,524,466,397,1.2851096575606,0.0213303637263372
