ITGBL1 hsa:9358
ITIH3 hsa:3699
ITM2A hsa:9452
ITPKB hsa:3707
ITPR2 hsa:3709
ITPRIPL2 hsa:162073
JPH3 hsa:57338
JUB hsa:84962
JUP hsa:3728
KANK1 hsa:23189
KANK4 hsa:163782
KCNA1 hsa:3736
KCND2 hsa:3751
KCNF1 hsa:3754
KCNH5 hsa:27133
KCNIP2 hsa:30819
KCNJ10 hsa:3766
KCNJ16 hsa:3773
KCNJ6 hsa:3763
KCNK13 hsa:56659
KCNN3 hsa:3782
KCNQ3 hsa:3786
KDR hsa:3791
KIAA1199 hsa:57214
KIAA1755 hsa:85449
KIF20A hsa:10112
KIF26B hsa:55083
KL hsa:9365
KLHDC8A hsa:55220
KLHL25 hsa:64410
KPNA2 hsa:3838
KRT17 hsa:3872
KRT18 hsa:3875
KRT81 hsa:3887
L1TD1 hsa:54596
LAMA1 hsa:284217
LAMA2 hsa:3908
LAMA5 hsa:3911
LAMB1 hsa:3912
LAMB3 hsa:3914
LAMC2 hsa:3918
LDHA hsa:3939
LEF1 hsa:51176
LEFTY2 hsa:7044
LEPREL2 hsa:10536
LGALS1 hsa:3956
LGI1 hsa:9211
LGR6 hsa:59352
LGSN hsa:51557
LHFPL2 hsa:10184
LHFPL3 hsa:375612
LHX1 hsa:3975
LIF hsa:3976
LIN28A hsa:79727
LMO1 hsa:4004
LMO2 hsa:4005
LOC100128054 ---
LOC100287216 ---
LOC100499467 ---
LOC100506013 ---
LOC100507127 ---
LOC150381 ---
LOC220594 ---
LOC283174 ---
LOC285370 ---
LOC375295 ---
LOC401074 ---
LOC643529 ---
LOC644172 ---
LOC728264 ---
LOC728392 ---
LONRF2 hsa:164832
LOX hsa:4015
LOXL1 hsa:4016
LOXL2 hsa:4017
LOXL4 hsa:84171
LRAT hsa:9227
LRRC4B hsa:94030
LRRN2 hsa:10446
LTBP2 hsa:4053
LTBP2 hsa:4054
LTBP3 hsa:4053
LTBP3 hsa:4054
LUM hsa:4060
MAB21L1 hsa:4081
MAB21L2 hsa:10586
MAEL hsa:84944
MALL hsa:7851
MAMDC2 hsa:256691
MAOA hsa:4128
MAOB hsa:4129
MAP1LC3C hsa:440738
MAP2 hsa:10988
MAP2 hsa:4133
MAPK4 hsa:5596
MAPK8IP1 hsa:9479
MASP1 hsa:5648
MATN3 hsa:4148
MCHR1 hsa:2847
MCTP2 hsa:55784
MEG3 ---
MEGF9 hsa:1955
MEIS1 hsa:4211
MEOX1 hsa:4222
METRN hsa:79006
MFAP2 hsa:4237
MFAP4 hsa:4239
MFAP5 hsa:8076
MGAT4A hsa:11320
MGC12916 ---
MICAL2 hsa:9645
MID1 hsa:4281
MLC1 hsa:23209
MLPH hsa:79083
MMD2 hsa:221938
MME hsa:4311
MME hsa:4321
MMP10 hsa:4319
MMP13 hsa:4322
MMP14 hsa:4323
MMP15 hsa:4324
MMP2 hsa:4313
MMP25 hsa:10893
MMP25 hsa:64386
MMP25 hsa:79148
MMP28 hsa:79148
MMP8 hsa:4317
MMRN1 hsa:22915
MOCOS hsa:55034
MPPED2 hsa:744
MRGPRF hsa:116535
MRO hsa:83876
MSC hsa:51312
MSC hsa:9242
MST4 hsa:51765
MSX2 hsa:4488
MT1E hsa:4493
MT1M hsa:4499
MT3 hsa:4504
MTHFD2 hsa:10797
MTSS1 hsa:9788
MUM1L1 hsa:139221
MVP hsa:9961
MX2 hsa:4600
MXRA5 hsa:25878
MYH1 hsa:4619
MYH14 hsa:57644
MYH14 hsa:79784
MYH4 hsa:4622
MYH9 hsa:4627
MYL12A hsa:10627
MYL9 hsa:10398
MYO1C hsa:4641
MYO1C hsa:4643
MYO5C hsa:55930
MYOCD hsa:93649
MYOF hsa:26509
NALCN hsa:259232
NAT8L hsa:339983
NBEA hsa:26960
NCAN hsa:1463
NDRG1 hsa:10397
NDST3 hsa:9348
NDUFA4L2 hsa:56901
NEGR1 hsa:257194
NELF hsa:26012
NEUROD6 hsa:63974
NFIA hsa:4774
NFIB hsa:4781
NFIX hsa:4784
NGF hsa:4803
NHLH2 hsa:4808
NID2 hsa:22795
NKD1 hsa:85407
NKX2-1 hsa:7080
NKX2-5 hsa:1482
NLGN1 hsa:22871
NLGN3 hsa:54413
NLRP1 hsa:22861
NMI hsa:4641
NMI hsa:9111
NNMT hsa:4837
NPAS3 hsa:64067
NPPA hsa:4878
NPR1 hsa:4881
NPR3 hsa:4883
NPR3 hsa:8131
NPTXR hsa:23467
NPY hsa:4852
NR5A2 hsa:2494
NRIP3 hsa:56675
NRP1 hsa:4745
NRP1 hsa:8829
NRP2 hsa:4753
NRP2 hsa:8828
NRXN2 hsa:9379
NT5E hsa:4907
NTN1 hsa:9423
NTRK2 hsa:4915
NUPR1 hsa:26471
NXPH1 hsa:30010
OAS1 hsa:4938
OAS2 hsa:4939
OAS3 hsa:4940
OBSCN hsa:84033
OCA2 hsa:4948
ODZ4 hsa:26011
OGN hsa:4969
OLFML1 hsa:283298
OLFML2A hsa:169611
OLFML3 hsa:56944
OLIG1 hsa:116448
OLIG2 hsa:10215
OR51E2 hsa:81285
OR7D2 hsa:162998
OSMR hsa:9180
OTP hsa:23440
OTX2 hsa:5015
P4HA2 hsa:8974
P4HA3 hsa:283208
PABPC1 hsa:26986
PAG1 hsa:55824
PAK1 hsa:5058
PAK1 hsa:5585
PAPPA hsa:5069
PAPSS2 hsa:9060
PAQR6 hsa:79957
PARVG hsa:64098
PAX3 hsa:5077
PAX7 hsa:5081
PCDH10 hsa:57575
PCDHGA10 hsa:56106
PCDHGA3 hsa:56112
PCDHGA7 hsa:56108
PCDHGB5 hsa:56101
PCDHGB7 hsa:56099
PCK2 hsa:5106
