"","GENE_ID","A_58a","A_117b","A_282a","A_285b","A_483b","A_689b","A_755a","A_L8a","A_L10a","B_99b","B_107b","B_139a","B_292b","B_317b","B_365a","B_L7a","B_L9a","B_pyauma","FoldChange","p.value"
"8458","ENSG00000143815",125.39,94.33,156.54,196.18,130.84,103.73,113,128.06,144,80.25,97.4,92.74,135.86,81.38,144.11,68.69,103.99,107.18,1.30766783677051,0.0318949116917564
"8483","ENSG00000143952",33.95,36.41,25.58,30.62,39.97,29.07,35.12,24.27,24.11,21.39,28.02,27.11,24.12,29.69,27.69,22.27,27.26,26.83,1.19080126290639,0.0378855719526102
"8521","ENSG00000144214",3.89,3.33,3.14,1.72,2.68,2.16,4.4,3.8,3.3,2.48,2.67,2.34,1.06,1.98,1.76,2.37,2.89,2.85,1.39313725490196,0.0215959034187608
"8566","ENSG00000144559",14.14,11.84,12.44,11.47,17.42,16.55,10.91,14.69,14.88,8.19,10.32,11.27,12.05,12.77,12.5,12.32,11.9,13.68,1.18419047619048,0.0369928863107637
"8581","ENSG00000144645",3.77,2,4.89,1.18,3.55,5.89,5.18,1.45,1.15,3.5,3.11,6.32,8.35,3.94,3.94,6.05,10.11,4.4,0.584473049074819,0.0380828388580908
"8585","ENSG00000144655",3,6.58,5.95,1.07,2.95,4.33,5.67,3.65,2,10.79,5.81,5.91,4.71,5.04,5.81,8.89,11.49,1.81,0.584135413209426,0.0383703200964434
"8596","ENSG00000144730",28.49,36.66,29.27,30.75,41.53,26.6,22.81,22.37,24.33,18.77,23.56,25.81,28.19,21.41,22.39,23.77,20.36,27.94,1.2385014137606,0.0371405372496958
"8661","ENSG00000145247",131.56,106.6,151.27,51.75,181.4,111.55,133.16,110.59,36.02,132.15,202.53,121.8,113.36,288.78,89.51,204.47,156.71,248.02,0.651050194884835,0.0421953449314856
"8685","ENSG00000145414",18.06,20.52,15.8,16.97,18.04,14.64,18.94,15.92,20.04,14.37,17.58,16.59,14.75,14.22,18.93,9.45,14.75,14.14,1.17918088737201,0.0293750515839951
"8702","ENSG00000145569",7.3,10.08,1.29,11.05,6.57,10.83,6.07,7.73,9.87,5.2,1.58,6.17,6.97,5.51,7.52,2.88,5.21,3.21,1.59977401129943,0.0306005837866119
"8759","ENSG00000145919",125.55,104.32,104.67,160.51,104.93,120.14,70.1,117.77,146.23,79.71,79.12,86.76,112.84,86.16,117.84,86.1,93.04,99.92,1.25280157815304,0.0338787472160946
"8764","ENSG00000145949",0.72,0.55,0.52,0.35,0.85,0.22,0.76,0.42,0.37,0.39,0.19,0.42,0.14,0.28,0.46,0.41,0.42,0.43,1.51592356687898,0.0443248404359966
"8766","ENSG00000145979",56.41,47.55,54.01,53.18,59.28,52.19,36.09,51.81,44.46,33.51,22.96,37.27,47.38,39.17,45.22,39.15,43.65,41.88,1.2992375567549,0.0032750559739942
"8769","ENSG00000145996",17.08,18.9,15.87,18.43,18.9,14.77,18.16,14.47,18.31,10.11,16,11.56,15.17,12.33,15.44,15.26,15.74,12.82,1.24479627099574,0.00224977894136132
"8995","ENSG00000147677",383.97,373.09,314.31,442.21,338.64,374.86,309.33,360.44,420.27,306.06,324.25,294.67,303.27,318.28,387.07,301.17,316.19,308.73,1.15995789753435,0.0117734513207336
"9033","ENSG00000148153",42.37,37.44,37.51,43.26,46.21,25.73,35.38,43.71,39.84,29.85,29.79,30.99,30.78,38.47,40.57,31.83,31.57,35.43,1.17431836407378,0.0317727651453883
"9088","ENSG00000148498",52.24,44.56,41.45,71.88,35.45,59.69,45.14,56.31,64.22,23.94,43.19,37.49,47.15,42.98,48.96,38.01,50.53,33.23,1.28855204115136,0.0288692578737999
"9124","ENSG00000148835",10.13,8.71,7.64,12.23,8.02,10.26,6.84,9.5,9.97,5.26,7.59,6.02,7.63,6.3,11.59,5.74,7.38,8.85,1.25527426160338,0.0414753686504147
"9169","ENSG00000149262",34.34,35.46,38.17,32.69,41.51,27.18,29.12,40,41.28,20.95,33.09,28.95,27.58,21.49,33.53,31.65,35.61,30.34,1.2149017819826,0.0203061098670139
"9435","ENSG00000151748",18.78,21.85,9.86,18.15,23.94,17.74,21.05,15.44,14.5,15.45,12.44,20.23,14.01,15.04,15.66,8.69,12.24,12.13,1.28135674001112,0.042739958973269
"9438","ENSG00000151779",25.47,29.54,29.74,27.31,38.06,28.25,37.24,31.73,29.34,20.25,26.94,25.59,22.82,24.83,27.68,24.3,31.12,23.51,1.21863988724454,0.00722293339679398
"9525","ENSG00000152467",4.86,5.06,2.96,2.35,2.55,1.45,4.73,5.2,4.52,15.83,7.9,6.26,9.02,4.64,3.24,8.49,6.75,3.04,0.516802209605647,0.0291344188613778
"9532","ENSG00000152520",27.84,31.65,24.67,33.51,31.63,23.18,30.25,26.94,26.94,18.41,22.98,26.43,27.09,23.38,26.82,21.68,21.4,29.63,1.17808282067762,0.0187929200665604
"9601","ENSG00000153107",31.03,19.94,31.43,29.04,29.79,19.71,28.49,36.28,31.23,12.62,21.53,20.02,27.25,16.45,36.45,20.59,26.32,17.61,1.2921947294307,0.0460794797533731
"9606","ENSG00000153147",95.57,105.2,99.05,125.75,120.47,97.8,96.15,110.22,103.02,53.95,92.21,80.91,79.42,92.46,108.99,89.65,87.46,73.93,1.25593559777596,0.00359621867511206
"9611","ENSG00000153187",457.7,393.38,576.42,548.63,491.89,456.83,467.97,491.84,567.32,294.27,413.63,424.91,518.73,346.87,518.99,373.7,453.16,440.25,1.17636893547646,0.0340298875531498
"9613","ENSG00000153207",30.08,30.4,45.91,32.45,39.52,36.59,40.74,25.96,28.71,16.07,26.83,35.23,30.53,25.06,39.1,21.03,27.06,27.77,1.2480295962683,0.0467847045709332
"9675","ENSG00000153922",56.32,56.12,55,60.64,68.35,55.6,57.54,67.44,60.44,39.88,53.55,46.45,59.58,58.08,65.94,41.4,44.15,54,1.16072392717534,0.0320606374526645
"9780","ENSG00000154743",23.37,23.2,30.36,24.48,24.09,26.17,25.4,33.44,24.62,16.99,22.46,19.79,26.53,17.91,26.29,18.69,21.93,18.56,1.24308749669574,0.00706736130563747
"9973","ENSG00000156508",12380.21,11538,8530.34,12890.35,9431.6,9156.34,10104.49,9104.22,9277.37,8578.27,8101.12,10750.96,7881.37,10653.2,10018.01,7102.57,8135.97,7386.58,1.17561649220404,0.0448629386661437
"9978","ENSG00000156531",63.88,54.49,60.88,89.33,73.73,45.08,53.66,65.38,69.19,29.98,53.47,45.7,60.06,45.21,75.12,44.62,49.87,53.97,1.25681222707424,0.0433604337486601
"9999","ENSG00000156787",14.38,15.79,12.47,15.91,10.62,13.33,8.03,12.35,14.85,6.91,11.66,8.67,11.16,9.38,14.16,7.08,9.65,11.63,1.30376522702104,0.0184837164383401
"10040","ENSG00000157107",12.76,10.93,12.68,13.03,14.31,7.34,10.95,10.44,7.87,6.21,8.1,8.6,8.59,8.94,9.78,9.75,7.64,12.08,1.25875266658301,0.030551223803406
"10109","ENSG00000157734",2.43,2.4,3.47,1.54,3.33,1.87,2.57,2.89,2.04,2.27,3.31,3.98,4.53,1.61,2.91,4.08,3.62,5,0.719897796231236,0.037089289020225
"10144","ENSG00000158019",37.52,43.78,27.96,46.2,40.27,32.9,46.86,33.78,36.54,27.86,25.46,34.07,36.36,31.1,32.32,28.78,35.9,35.43,1.20373851294904,0.0218723568165838
"10221","ENSG00000158623",78.95,70.74,64.21,96.05,80.42,55.33,77.62,67.12,74.25,41.55,52.89,65.41,65.84,49.68,65.18,58.63,64.39,82.95,1.2162226450999,0.0303224117070793
"10336","ENSG00000159479",37.28,36.62,35.38,31.7,38.27,39.06,33.88,36.09,35.03,36.93,40.29,35.49,37.46,43.05,36.56,40.55,44.03,43.1,0.904464835226319,0.0115207637646836
"10344","ENSG00000159592",83.02,91.5,61.68,70.16,75.59,93.06,88.59,59.81,73.1,55.12,64.68,79.07,74.18,65.67,75.6,55.01,65.08,62.3,1.16725042315363,0.0441871031526468
"10380","ENSG00000159915",4.24,4.25,1.72,2.79,4.79,3.81,4.57,3.14,2.79,4.76,4.86,4.61,2.99,4.21,5.02,4.32,4.24,6.84,0.767025089605735,0.0378895756181856
"10451","ENSG00000160321",2.79,1.34,1.66,2.02,3.98,0.72,1.34,1.05,0.72,3.45,2.89,3.2,3.46,2.24,2.99,3.5,3.59,0.69,0.600538254517493,0.0262799567219617
"10611","ENSG00000161791",12.75,10.3,11.69,11.27,8.06,10.26,11.78,10.78,14.3,7.86,7.98,8.82,10.41,7.42,11.85,5.03,8.3,5.12,1.39016348399505,0.004137214980449
"10635","ENSG00000161956",88.91,88.64,113.73,103.62,86.09,111.12,98.07,100.38,97.99,83.31,105.63,93.04,89.34,82.68,88.16,71.82,92.53,90.96,1.11421119289754,0.0379750826248088
"10671","ENSG00000162222",39.29,37.76,44.52,30.29,27.38,41.98,38.95,38.72,29.22,33.06,36.52,34.53,34.36,33.21,28.76,24.97,28.01,27.42,1.16831647913403,0.046446746459917
"10729","ENSG00000162521",287.2,240.62,257.05,353.6,275.74,218.92,247.42,296.04,298.99,182.85,233.73,231.68,264.46,228.91,289.32,212.64,229.77,219.04,1.18312942076085,0.0222729471352541
"10794","ENSG00000162736",85.48,100.66,107.69,107.21,73.61,103.16,102.81,100.71,118.37,85.38,74.73,108.28,102.07,60.16,78.01,79.36,93.96,71.4,1.19426561359262,0.028337789784576
"10830","ENSG00000162882",1.82,3.08,3.22,2.06,2.23,1.62,3.43,1.6,3.18,3.33,3.5,3.92,4.2,1.73,3.27,2.9,7.35,4.05,0.649343065693431,0.0365906099659637
"10855","ENSG00000162975",2.06,1.78,4.01,0.5,1.68,2.49,2.54,1.44,1.63,7.81,6.13,5.21,4.15,4.13,1.75,5.43,4.48,0.86,0.453817271589487,0.00957078448555594
"10878","ENSG00000163050",10.26,8.89,13.75,11.01,9.96,12.49,7.22,11.01,12.56,6.92,7.88,6.61,16,3.51,6.65,7.6,7.72,8.75,1.35608598548297,0.0484053230993032
"10920","ENSG00000163214",40.63,41.26,45.44,42.13,49.13,44.58,44.5,38.15,40.83,28.08,39.57,38.35,32.4,30.99,30.39,40.13,37.47,24,1.28293184683788,0.00082523545902933
"11100","ENSG00000163785",82.67,65.86,58.32,75.88,64.71,68.49,58.61,67.3,67.17,42.77,53.54,61.98,71.49,47.95,71.99,48.18,54.07,46.83,1.22095028067362,0.0143952673059265
"11126","ENSG00000163864",1.63,3.74,2.46,1.8,1.52,2.11,1.12,3.38,3.62,0.75,1.15,1.67,1.6,0.66,1.85,2.71,2.01,1.29,1.56172388604821,0.0466145017633656
"11335","ENSG00000164484",16.36,20.6,13.53,10.93,17.81,14.18,15.52,18.64,6.26,13.31,16.67,26,15.21,14.88,21.94,21.76,25.25,20.95,0.760527362618628,0.0425570202089764
"11448","ENSG00000164929",35.69,44.22,44.72,23.52,54.11,18.86,32.54,41.03,28.14,43.66,46.48,55.36,37.04,46.92,32.59,56.83,51.62,66.34,0.739011995238531,0.0247520356215241
"11455","ENSG00000164941",66.56,64.09,59.48,75.51,66.54,63.91,62.69,73.12,70.32,42.59,43.2,44.39,67.82,42.92,68.8,39.31,50.92,61.96,1.30376047281938,0.00378517499321552
"11456","ENSG00000164944",37.73,45.51,35.5,44.02,44.24,46.71,41.82,34.32,37.71,26.17,39.95,39.24,34.85,37.72,42.83,36.33,30.54,30.46,1.15552202206923,0.0333812568904172
"11469","ENSG00000164985",294.75,312.21,243.16,347.4,302.71,273.26,256,271.21,297.98,228.57,268.07,259.04,264.17,254.25,319.69,237.37,217.26,258.43,1.12650584129874,0.0386041249378138
