"","GENE_ID","A_58a","A_117b","A_282a","A_285b","A_483b","A_689b","A_755a","A_L8a","A_L10a","B_99b","B_107b","B_139a","B_292b","B_317b","B_365a","B_L7a","B_L9a","B_pyauma","FoldChange","p.value"
"53","ENSG00000004487",200.95,175.76,237.92,289.53,208.97,253.1,149.46,246.77,276.96,123.08,190.13,166.56,241.14,136.6,229.35,169.76,214.96,165.79,1.24554621130227,0.0450852902399074
"232","ENSG00000009307",456.93,375.86,417.43,568.29,467.69,352.97,408.4,474.86,461.75,252.8,391.63,363.06,433.88,361.05,447.11,375.37,398.72,403.93,1.16239879797523,0.0442648614218987
"451","ENSG00000025796",113.07,100.84,95.35,107.93,95.05,102.77,111.89,95.39,94.93,70.07,95.73,89.76,84.79,87.1,97.94,92.07,111.93,92.31,1.11624680540343,0.0329816021425942
"474","ENSG00000028839",78.25,54.61,54.11,80.86,103.31,81.61,54.7,77.19,65.61,40.51,55.42,54.24,64.53,47.39,67.56,51.68,52.35,80.07,1.26569343065693,0.0412850233192239
"506","ENSG00000033800",34.08,32.26,32.56,44.98,34.62,21.87,29.44,31.09,35.58,15.74,24.39,26.44,30.28,19.94,33.52,26.52,28.18,29.26,1.26554829897127,0.0216711268116878
"511","ENSG00000034510",2568.05,3809.85,4189.08,1880,3977.03,3897.23,3084.41,3893.77,2259.38,6908.73,5164.4,4323.62,3333.51,6627.32,2589.71,6204.61,4161.9,4021.08,0.682101808058543,0.0204301470614778
"526","ENSG00000035928",60.15,76.85,61.12,89.55,69.63,61.4,76.48,66.43,75.67,57.19,58.41,67.68,72.5,54.29,70.49,40.13,64.69,43.24,1.20555408421929,0.0288766591217293
"556","ENSG00000039123",67.13,56.77,67.49,77.66,77.22,47.35,61.96,65.25,72.23,31.75,47.95,54.32,59.16,61.28,58.2,54.95,48.31,56.4,1.25563177506775,0.00782375249201786
"613","ENSG00000046889",8.32,7.84,4.27,10.36,3.17,7.12,7.86,5.92,8.76,4.78,3.19,5.6,4.31,6.31,7.13,2.85,4.04,1.42,1.60534948271511,0.0140062898407331
"621","ENSG00000047410",79.23,88.03,127.39,79.34,89.86,128.79,97.29,89.14,97.28,65.73,80.76,80.78,84.15,57.39,84.41,63.88,85.79,83.68,1.27641755392749,0.0114667488855438
"712","ENSG00000053501",13.73,17.94,21.72,8.75,18.1,14.23,15.56,17.67,16.13,28.98,29.43,18.67,20.06,15.44,14.94,18.75,26.42,17.64,0.755687490148689,0.0368249533024441
"768","ENSG00000057019",61.62,54.27,39.44,92.15,60.79,44.75,56.66,55.14,72.65,30.05,37.8,47.24,50.14,52.35,62.61,33.49,44.55,47.31,1.32531932731666,0.0323004169060519
"779","ENSG00000057935",40.65,40.87,31.14,56.97,44.95,39.41,46.79,35.6,45.3,29.4,33.15,38.51,41.88,25.56,46.03,29.45,36.02,31.06,1.22703015495403,0.0304353409665499
"798","ENSG00000059377",4.52,3.22,9.04,10.39,4.11,13.08,4.96,5.2,10.92,3.87,5.78,3.75,5.3,2.71,5.3,4.22,5.19,1.42,1.74320724560469,0.0360646323030396
"802","ENSG00000059691",24.15,21.09,27.61,24.42,21.36,24.36,25.54,27.27,32.76,28.83,37.7,26.43,29.72,26.89,26.04,26.65,32.07,30.03,0.864578604932667,0.033996830917368
"828","ENSG00000061455",0.62,0.49,0.8,0.3,0.35,0.19,0.69,0.34,0.2,0.81,0.18,0.36,0.59,0.61,2.95,1.42,1.71,1.96,0.375826251180359,0.0424840194737264
"851","ENSG00000063046",279.1,305.32,255.11,317.27,266.23,219.59,282.55,262.93,318.36,192.84,236.99,271.89,264.02,221.74,278.44,197.17,244.78,215.53,1.18039935951775,0.0118528011281858
"876","ENSG00000064205",0.55,0.67,1.18,0.39,0.8,0.59,0.49,0.34,0.71,0.28,0.54,0.32,0.3,0.05,0.44,0.28,0.49,0.43,1.82747603833866,0.0112034446428141
"980","ENSG00000066629",46.03,46.88,31.63,57.72,40.28,40.25,57.19,53.76,58.76,36.2,31.58,36.3,54.94,22.21,41.33,25.72,40.21,28.79,1.36314926878467,0.012429417828345
"986","ENSG00000066777",28.76,31.37,30.52,25.94,39.97,36.21,40.04,38.09,27.39,18.49,24.45,27.04,26.7,22.27,31.72,27.21,30.07,28.86,1.25961741480512,0.00921516424937978
"997","ENSG00000067082",35.71,56.1,55.29,28.42,62.52,35.75,60.35,40.72,34.67,67.02,63.46,64.02,48.06,56.68,37.97,75.22,51.26,69.2,0.768507571919158,0.0319219888566653
"1026","ENSG00000067955",25.36,32.72,33.85,28.61,32.91,40.98,41.91,24.34,34.15,27.43,34.07,30.28,25.32,26.49,28.19,26.06,28.67,20.89,1.19171382376718,0.0438895670087115
"1069","ENSG00000069248",49.71,51.05,64.12,49.07,45.1,50.25,57.86,45.61,40.13,30.8,43.96,45.34,40.06,38.31,49.74,38.95,42.25,47.23,1.20247451146984,0.0131958815359951
"1127","ENSG00000070756",575.01,720.66,532.92,856.24,627.93,930.28,732.81,628.47,955.59,447.56,413.81,596.07,674.42,462.48,680.86,446.98,557.77,418.86,1.396079007238,0.00515464248055183
"1140","ENSG00000070961",64.32,65.51,65.17,65.81,89.22,57.23,75.82,64.97,53.73,61.13,72.59,67.95,76.37,92.3,85.3,71.19,96.77,81.64,0.853298167999546,0.0421931012041492
"1163","ENSG00000071794",66.52,49.38,47,84.77,48.15,35.29,47.02,49.82,53.53,27.48,35.41,38.34,52.21,34.31,57.46,38.16,43.13,45.01,1.29600818282146,0.0492915224474433
"1201","ENSG00000072736",20.92,21.77,18.76,28.16,17.39,21.39,26,21.64,27.94,12.69,19.98,18.85,21.09,12.34,21.29,11.92,16.89,11.46,1.3921916592724,0.00392253074788882
"1206","ENSG00000072818",9.56,3.83,2.67,3.41,3.27,3.64,3.3,6.69,5.37,12.9,9.91,5.64,9.71,11.55,5.85,5.13,6.04,7.53,0.56207918125505,0.00899996697403465
"1263","ENSG00000074416",4.43,1.94,4.51,0.83,2.94,1.25,2.9,2.08,0.58,3.71,6.74,3.1,4.82,1.79,1.89,4.14,7.25,3.46,0.581571815718157,0.0481774627306313
"1299","ENSG00000075292",150.38,144.01,140.65,110.19,185.65,196.25,157.69,157.72,131.94,101.97,139.63,120,116.04,139.76,133.51,119.27,124.09,142.08,1.20955691468298,0.0196057062227737
"1326","ENSG00000075884",2.51,2.05,2.91,4.6,3.18,3.31,1.76,1.38,3.33,0.52,3.23,2.13,2.16,1.98,1.36,0.84,1.79,2.53,1.51330108827086,0.043448061907583
"1433","ENSG00000078674",134.21,186.41,124.9,145.59,160.96,172.27,177.9,127.71,134.72,117.32,115.41,151.87,133.34,114.84,129.55,113.28,135.73,130.93,1.19470002713894,0.0158262853843455
"1449","ENSG00000079134",77.43,75.95,93.1,83.97,92.09,101.84,71.75,82.74,81.62,57.08,74.68,68.92,74.28,60.19,86.94,66.95,63.92,87.34,1.18770888645947,0.0133938594358379
"1453","ENSG00000079246",402.07,282.61,308.02,526.11,312.74,363.82,320.31,372.9,473.57,199.25,294.77,258.05,393.7,266.97,412.91,236.9,305.29,310.76,1.25518927798103,0.049866709148001
"1547","ENSG00000081842",2.72,4.35,7.01,1.28,6.13,2.06,4.66,2.27,1.69,5.61,5.42,6.71,2.68,5.54,2.8,6.7,7.54,12.21,0.58268429632313,0.0442470400454745
"1597","ENSG00000083544",25.02,21.62,20.53,22.59,26.14,19.82,21.55,22.56,23.43,14.4,19.1,17.93,16.94,21.31,23.4,18.73,20.12,21.58,1.17145985822143,0.0104436091979018
"1713","ENSG00000087074",25.28,38.13,47.97,21.67,34.06,40.98,30.24,35.72,31.96,47.19,43.3,44.18,46.92,36.83,28.49,53.35,52.7,39.4,0.779921500662657,0.0205993281352309
"1799","ENSG00000088970",19.23,20.36,13.74,40.94,14.83,20.45,12.56,26.8,26.42,12.9,9.17,11.74,14.82,12.5,20.93,9.39,17.35,11.45,1.6243659043659,0.0246328824867714
"1811","ENSG00000089060",3.94,6.19,2.61,5.92,2.47,4.09,5.91,4.54,7.44,3.03,2.64,2.15,3.41,1.13,3.33,3.23,4.53,2.89,1.63667425968109,0.013099616629086
"1844","ENSG00000089682",14.87,15.76,11.85,13.26,18.23,11.54,12.17,14.45,12.47,9.8,9.16,10.17,14.94,8.42,16.45,10.95,10.36,10.29,1.23930773821365,0.0353608180141175
"1861","ENSG00000090060",193.5,182.73,173.22,200.06,219.84,131.64,183.54,177.23,186.87,110.33,177.91,161.57,159.45,169.85,180.3,146.82,166.69,165.54,1.14610764289587,0.0428194378212133
"1963","ENSG00000092201",137.67,135.19,142.14,190.06,130.84,180.29,134.04,145.56,190.36,102.28,138.27,135.67,164.85,108.28,159.6,104.34,128.13,116.64,1.19695870680276,0.0408932682090545
"1969","ENSG00000092377",2.14,1.76,2.93,1.65,2.16,1.09,2.51,3.49,3.22,1.44,1.94,1.48,2.03,0.79,2.26,0.85,1.65,1.11,1.54612546125461,0.0201829366520499
"1981","ENSG00000092847",23.51,20.7,30.96,33.88,21.87,20.99,19.53,32.46,43.44,10.36,21.1,17.34,24.74,12.21,26.18,17.99,24.48,17.1,1.44221574344023,0.0224169634763635
"1989","ENSG00000092978",23.6,19.67,24.35,22.56,23.39,11.8,17.66,22.18,16.53,13.45,10.91,15.59,16.25,17.86,16.03,16.43,15.86,21.25,1.26533454013785,0.0243688764454162
"2038","ENSG00000095752",1.12,1.23,0.82,0.43,0.62,1.84,1.32,0.5,0.4,2.48,1.28,1.64,1.4,4.28,1.86,1.49,1.35,0.61,0.505186089078707,0.038769250991475
"2197","ENSG00000100129",880.64,845.9,754.64,1165.31,888.44,836.27,782.3,793.74,897.81,590.36,789.61,687.36,737.69,656.72,791.53,640.99,617.36,669.94,1.26910520968817,0.00168337653721891
"2301","ENSG00000100417",21.39,25.67,34.39,15.59,22.35,24.98,18.75,26.25,20.11,43.19,40.71,28.16,32.66,22.43,17.51,38.06,42.43,25.64,0.72038240654768,0.0266627526083795
"2382","ENSG00000100796",79.33,98.86,107.06,96.35,102.27,106.25,105.05,103.84,98.35,61.66,88.88,87.99,107.65,79.48,100.31,83.4,89.25,88.52,1.1400259166095,0.0321115194337362
"2383","ENSG00000100802",10.9,9.45,7.4,8.77,7.35,11.31,10.13,13.57,11.07,6.79,9.71,10.39,8.42,6.03,5.32,6.2,7.36,4.01,1.40043593336447,0.00885565102612796
"2397","ENSG00000100888",68.54,77,81.25,67.82,91.24,92.7,86.67,73.25,74.3,40.2,74.5,70.9,79.22,52.01,66.77,62.38,73.52,79.56,1.18981404199913,0.0333877871833529
"2451","ENSG00000101162",0.79,0.78,1.08,0.65,1.29,0.21,0.98,0.7,0.87,1.16,1.19,1.21,1.11,0.7,0.76,1.2,1.42,1.36,0.72700296735905,0.0315482840681593
"2503","ENSG00000101343",32.11,26.68,26.16,26.71,29.74,30.18,26.38,23.03,18.69,19.32,25.31,19.53,23.38,30.4,24.35,20.17,21.33,21.44,1.16786044925206,0.0478271719128541
"2519","ENSG00000101413",40.42,30.28,32.28,46.05,28.95,28.4,40.45,39.15,37.04,22.74,33.4,24.9,28.77,26.4,36.71,29.66,33.06,32.51,1.20462427745665,0.0310084554514576
"2565","ENSG00000101751",79.42,66.9,47.12,71.52,71.96,46.53,71.6,69.19,51.45,58.46,46.08,52.96,37.79,63.78,58.08,49.38,46.79,64.05,1.2059618325408,0.0469149043170042
"2692","ENSG00000102738",40.07,33.32,28.72,42.12,43.52,40.3,37.17,37.22,40.63,26.45,33.34,26.95,29.98,40.29,34.29,36.91,32.87,34.85,1.15929442773629,0.0274055082257718
"2733","ENSG00000102974",51.96,52.18,65.81,60.2,56.98,53.79,42.91,59.42,64.23,39.8,50.96,48.19,59.12,38.09,57.13,48.5,52.42,47.38,1.14921080640413,0.042154968178034
"2812","ENSG00000103415",15.64,20.8,19.88,11.39,19.15,16.37,22.77,15.32,14.83,28.54,25.06,23.38,22.18,30.31,17.39,26.97,20.73,19.37,0.729911653344552,0.00349385887975921
"2840","ENSG00000103599",10.11,10.39,4.44,10.67,6.21,4.11,10.77,7.46,5.96,5.55,3.32,7.79,5.01,5.43,5.75,3.84,5.36,3.11,1.55270150575731,0.019642288717105
"2872","ENSG00000104093",87.11,78.51,85.89,58.46,96.59,54.56,67.85,80.56,68.23,42.05,52.19,66.42,55.13,55.11,65.36,61.43,76.52,79.72,1.22354810174571,0.0396447126042955
"2929","ENSG00000104517",84.6,100.73,84.3,86.08,101.29,99.55,98.91,79.86,79.38,62.85,84.01,89.09,73.42,70.4,87.98,68.79,82.8,77.4,1.16930275282028,0.00850632693482383
"2968","ENSG00000104824",224.44,189.95,233.05,343.2,213.66,309.36,276.54,256.92,293.86,154.41,201.54,198.86,269.9,174.69,263.74,188.7,220.35,197.74,1.25190782542662,0.0244166190413945
"3057","ENSG00000105245",12.5,14.96,23.3,5.09,13.06,9.91,11.66,13.38,16.77,28.31,21.45,22.13,22.82,14.29,10.29,21,17.55,12.86,0.706678383128295,0.0422380146851432
"3093","ENSG00000105388",1.19,0.6,0.32,0.45,0.58,0.45,0.41,0.06,0.41,0.33,0.2,0.29,0.06,0.05,0.36,0.12,0.36,0.2,2.26903553299492,0.0282601730355856
"3114","ENSG00000105483",38.01,52.36,47.69,54.23,28.21,28.49,37.26,40.74,36.66,26.13,33.71,39.37,38.98,26.08,37.44,27.55,32.68,27.85,1.25487421926222,0.0418077658465707
"3200","ENSG00000105849",16.56,11.89,12.59,20.94,12.47,15.6,15.34,12.58,17.76,10.1,8.59,12.05,12.55,10.45,18.12,6.56,10.35,9.27,1.3844349245206,0.0121047271167993
"3224","ENSG00000105968",231.49,380.07,273.21,374.08,339.69,299.25,300.94,268.89,297.79,248.49,252.4,282.48,305.32,220.32,308.83,215.82,233.47,272.88,1.18179409489703,0.033028822188401
"3308","ENSG00000106459",20.87,20,25.55,21.86,22.66,20.92,21.7,26.81,27.6,16.77,25.92,17.13,24.72,16.3,20.25,15.37,18.94,18.78,1.1939947181077,0.0286874952186377
"3393","ENSG00000107175",42.43,47.55,54.49,23.97,43.47,46.77,47.24,48.5,34.71,59.02,54.04,54.21,42.97,48.82,38.9,54.81,56.64,51.25,0.84472278904181,0.0494642364974067
"3412","ENSG00000107371",35.45,30.44,36.57,63.21,38.77,44.21,26.92,54.66,53.19,20.95,20.45,22.36,47.84,28.61,49.01,27.7,26.5,33.86,1.38278995960762,0.0453386549648933
"3484","ENSG00000108055",110.01,98.65,101.79,137.13,100.63,95.62,98.65,107.31,131.64,69.01,95.86,92.1,111.47,75.47,122.66,80.01,86.75,90.45,1.19137391051009,0.0345779692689039
"3489","ENSG00000108100",76.64,74.46,77.27,63.8,76.17,49.37,69.64,63.42,87.88,46.81,58.07,58.31,64.39,61.94,71.63,58.24,67.59,55.2,1.17792983879892,0.0290734847922519
"3616","ENSG00000108984",26.2,18.46,24.07,37.42,13.74,23.45,23.84,18.47,20.77,7.4,20.41,15.05,20.07,20.59,24.47,14.86,14.75,15.76,1.34598330725091,0.0498642558209402
"3673","ENSG00000109519",44.1,29.96,30.88,31.25,33.62,36.72,28.95,29.05,33.36,27.23,25.69,31.37,30.76,27.14,32.03,26.78,26.22,26.19,1.17552582771004,0.0182744421395389
"3914","ENSG00000111642",239.17,246.64,229.96,297.64,213.64,187.47,230.71,243.18,296.09,123.83,208.03,233.11,241.09,141.1,257.93,200.22,214.86,147.5,1.23580758852048,0.0343939263644549
"3925","ENSG00000111671",4.44,2.94,2.26,2.71,2.77,4.18,2.58,4.25,2.81,7.83,4.62,5.18,4.84,4.32,5.29,3.15,5.7,2.19,0.671150278293135,0.0215701974384011
"4012","ENSG00000112167",23.28,16.8,22.33,18.6,27.08,16.78,19.06,20.42,14.57,13.5,15.34,10.37,13.17,12.79,19.46,14.43,18.35,17.1,1.33016132629544,0.00799249667672108
"4056","ENSG00000112365",6.51,6.12,6.02,7.98,6.29,5.84,6.96,5.54,7.48,4.78,6.61,6.03,5.79,4.95,7.25,4.59,5.13,5.42,1.1620178041543,0.0367624845606283
"4161","ENSG00000113269",75.12,86.62,73.51,122.15,83.57,134.54,59.58,90.47,122.45,66.59,63.57,63.72,88.68,47.07,87.89,63,72.88,59.13,1.38443831322547,0.0197000333835162
"4262","ENSG00000114126",69.14,70.04,74.27,164.59,65.55,52.24,68.32,103.57,112.1,48.77,59.17,68.92,64.36,55.26,90.39,36.89,51.38,45.39,1.49812690911187,0.0446048576823705
"4350","ENSG00000114978",45.87,36.66,24.65,55.91,29.88,42.86,38.65,32.08,38.06,24.04,28.1,30.16,38.98,27.64,43.55,19.83,26.63,20.95,1.32607357241804,0.0339652518115354
"4381","ENSG00000115207",64.31,61.54,72.09,71.96,53.05,80.83,60.18,68.23,86.59,50.75,63.58,66.01,72.13,51.75,59.53,51.61,63.05,55.39,1.15919820157362,0.0443668415848317
"4414","ENSG00000115350",62.35,85.8,62.86,65.12,52.92,81.39,72.96,63.94,60.95,116.22,95.24,89.72,75.65,76.6,67.65,73.29,72.77,70.41,0.82474408514677,0.038838042358746
"4446","ENSG00000115524",450.29,502.36,457.18,590.41,554.17,566.73,558.53,493.83,500.53,318.47,462.95,450.14,450.96,464.85,515.73,365.33,453.79,514.89,1.16935235707799,0.0142302956943489
"4512","ENSG00000115970",14.36,19.6,17.98,16.02,20.25,16.48,19.3,20.78,17.17,13.9,14.95,15.35,13.65,12.11,14.85,11.37,23.23,11.06,1.24120487468384,0.027488629882389
"4575","ENSG00000116489",122.34,89.53,74.64,129.69,88.03,108.44,98.87,90.29,101.34,57.38,77.03,78.3,83.42,88.52,117.69,71.27,82.42,75.87,1.23400737805711,0.029433889807543
"4732","ENSG00000117593",18.79,20.93,33.42,33.58,25.42,19.5,26.27,22.78,25.93,15.22,20.3,25.35,19.11,14.98,29.36,16.76,18.54,20.63,1.25725381414702,0.0479681944223861
"4820","ENSG00000118513",6.14,3.98,6.99,7.65,4.26,5.19,2.78,5.21,8.26,3.7,3.43,3.46,5.4,2.97,6.35,2.84,2.66,3.62,1.4655823409817,0.0285920309442622
"4886","ENSG00000119318",114.63,114.27,103.19,153,116.93,133.6,137.07,124.93,160.77,81.6,114.75,115.79,123.67,114.76,134.5,87.01,113.7,110.92,1.16222534363399,0.0495746551025201
"4950","ENSG00000119715",1.86,1.73,3.39,3.19,2.53,2.11,1,4.38,5.82,0.33,3.51,1.06,1.83,0.65,0.57,1.56,2.03,1.34,2.0194099378882,0.028058729773286
"4962","ENSG00000119782",30.48,31.36,43.64,34.49,52.97,33.33,33.61,30.12,21.29,42.7,46.72,38.14,36.3,49.41,33.96,48.58,42.87,60.61,0.779608805629993,0.0279676638407759
"4994","ENSG00000119986",2.21,2.9,1.7,1.4,2.43,2.2,4.46,1.45,1.39,4.71,3.21,3.21,2.74,3.15,1.75,2.28,5.09,4.51,0.657096247960848,0.0335691257681048
"4998","ENSG00000120051",2.2,1.97,0.54,1.21,0.87,0.82,1,1.35,1.68,0.46,1.09,0.91,0.93,0.63,0.87,0.52,0.49,0.58,1.7962962962963,0.01639636395761
"5013","ENSG00000120158",11.19,14.31,9.36,13.83,10.58,14.21,11.45,13.44,16.4,10.48,9.59,10.08,14.86,8.29,12.06,8.24,10.51,9.27,1.22906403940887,0.0320555946702423
"5053","ENSG00000120458",22.08,19.32,24.48,25.37,28.83,29.07,23.01,24.02,21.74,13.09,18.36,14.88,24.01,16.87,23.73,17.57,24.71,23.15,1.23558428304133,0.022333650071747
"5068","ENSG00000120647",22.28,27.9,27.14,28.11,21.48,28.33,15.81,25.72,30.58,20.52,18.99,15.16,25.85,16.04,23.71,17.63,21.77,16.38,1.29139449020165,0.0107642618037446
"5090","ENSG00000120733",73.84,104.35,94.26,92.19,102.29,71.69,86.31,88.67,94.23,63.72,82.31,85.44,83.28,59.37,79.49,72.8,75.06,71.91,1.19966437969646,0.00685922913225364
"5160","ENSG00000121390",123.12,119.82,128.87,133.37,130.21,143.83,121.86,137.26,136.77,94.43,124.4,117.8,128.25,115.91,123.88,111.73,124.38,130.58,1.09683953106332,0.0230675084491879
"5246","ENSG00000122257",73.38,79.05,80.36,89.99,87.92,80.41,88.56,80.56,85.14,62.14,75.84,70.91,73.38,73.84,74.28,59.98,68.48,94.4,1.14101798698814,0.0179067738203145
"5394","ENSG00000123560",27.85,52.62,46.49,33.99,13.65,20.42,18.36,26.33,36.55,12.5,15.49,26.31,13.39,18.38,21.06,19.98,18.96,9.54,1.77533577533578,0.0157423301645918
"5503","ENSG00000124313",4.28,5.29,4.38,1.31,3.68,2.97,2.88,3.54,2.42,6.07,5.04,5.3,5.55,4.34,3.56,7.18,5.41,4.38,0.656630365150545,0.00390545614329833
"5525","ENSG00000124479",2.52,1.72,1.53,2.81,1.89,1.14,0.89,2.14,3.07,0.61,1.41,0.47,0.28,1.69,1.55,1.87,1.38,1.31,1.67549668874172,0.0222858825360598
"5537","ENSG00000124549",5.03,5.68,4.66,4.23,5.49,5.12,5.67,4.33,4.48,4.11,3.71,4.55,3.63,2.56,3.7,1.77,1.87,3.15,1.53838209982788,0.000482471370449663
"5543","ENSG00000124571",56.17,58.1,66.52,72.74,65.21,50.76,63.55,69.98,74,39.3,60.04,43.09,66.6,50.63,64.75,49.42,67.39,52.78,1.16807692307692,0.0496790581790912
"5603","ENSG00000125107",154.05,155.34,187.74,163.25,133.96,187.76,186.85,165.38,230.05,108.68,136.45,185.47,165.75,105.36,159.62,103.73,163.34,117.24,1.25588452522398,0.0215316128524609
"5628","ENSG00000125356",147.17,141.77,125.38,140.73,153.72,165.95,142.75,131.25,108.52,183.79,155.95,157.28,123.36,216.55,149.04,171.11,140.71,179.39,0.851108192637322,0.0388314399460323
"5697","ENSG00000125753",19.75,18.98,17.91,21.57,11.94,29.46,14.6,19.6,17.21,13.54,14.01,16.06,18.27,13.8,20.12,13.37,13.81,6.07,1.32522278186749,0.0406287757090021
"5762","ENSG00000125971",188.17,233.1,290.01,119.71,280.1,222.47,215.1,273.26,220.25,402.29,305.28,278.37,278.96,235.66,185.35,357.22,297.38,284.74,0.777895438529664,0.0310772086102418
"5808","ENSG00000126432",197.93,219.26,227.63,133.44,212.49,235.78,189.38,206.31,222.98,438.67,284.26,250.44,287.16,208.31,165.51,335.65,273.07,202.63,0.75446702375598,0.043389112840636
"5842","ENSG00000126775",20.02,19.33,17.68,17.44,19.9,15.14,17.7,18.18,15.66,10.82,13.77,14.6,16.89,15.53,17.23,15.3,14.67,18.45,1.17332070523095,0.0127845771489939
"5861","ENSG00000126883",33.94,32.55,40.53,39.33,31.5,29.17,32.77,42.12,41.3,23.72,33,28.91,33.66,18.85,34.32,29.46,35.03,21.62,1.2499903314383,0.0135508606623162
"5936","ENSG00000127666",0.54,0.29,0.23,0.12,0.14,0.36,0.44,0.23,0.19,1.27,0.85,0.7,0.55,0.19,0.26,0.46,0.49,0.25,0.50597609561753,0.04876821620021
"6072","ENSG00000128915",57.51,52.79,42.82,68,58.55,38.56,61.34,47.86,58.27,30.02,52.04,43.89,45.11,36.57,59.07,37.15,52.48,39.02,1.22853168078917,0.0363693395952604
"6079","ENSG00000128965",2.9,4.29,2.29,1.74,3.14,2.64,4.91,2.17,2.52,8.98,6.9,3.91,5.79,5.38,3.76,5.66,7.8,2.88,0.520955738347043,0.00337910551046781
"6187","ENSG00000130024",113.48,103.87,72.49,132.11,111.49,94.98,101.95,94.28,103.13,70.66,89.59,96.09,100.62,81.75,104.65,66.17,75.33,85.3,1.20465877220318,0.0241930637191877
"6241","ENSG00000130347",11.31,9.09,7.94,12.44,10.28,14.56,11.64,9.31,10.01,6.6,10.35,7.36,8.34,11.14,10.45,7.36,8.28,8.17,1.23741191543882,0.0286767224902759
"6315","ENSG00000130733",12.05,4.9,10.8,4.98,9.56,10.67,7.14,12.24,12.35,21.11,13.7,11.43,18.54,8.16,9.91,15.1,18.71,8.9,0.674498247849634,0.0293279310041636
"6338","ENSG00000130816",156.91,130.25,135.24,166.26,144.77,168.12,121.17,136.93,174.91,110.68,131.43,106.1,146.1,112.28,169.24,96.87,112.6,150.43,1.1750680179268,0.0483877560373913
"6393","ENSG00000131127",29.89,18.11,24.67,30.65,35.37,21.89,18.84,24.23,19.09,10.83,17.11,13.86,23.06,13.89,25.86,16.78,18.78,20.78,1.38390804597701,0.0174131540979843
"6404","ENSG00000131187",0.09,0.46,0.09,0.74,0.53,0.35,0.48,0.33,0.35,1.51,0.23,0.8,0.96,0.74,0.17,1.6,0.86,0.7,0.451783355350066,0.0242765509168684
"6414","ENSG00000131269",25.5,23.18,18.82,29.35,21.35,24.51,26.11,21.99,24.31,21.03,20.03,21.93,20.78,20.52,23.85,14.42,19.51,17.86,1.19557605735564,0.0105251611150368
"6449","ENSG00000131504",31.42,33.1,36.66,40.2,29.01,50.7,27.41,33.97,43.52,22.71,30.12,30.18,43.02,22.62,33.36,22.8,31.15,23.05,1.25860005405197,0.0428496516363815
"6452","ENSG00000131558",60.45,62.9,59.67,64.25,63.63,40.04,64.2,62.61,51.84,32.43,49.25,48.99,41.89,47.56,48.16,50.62,64.45,44.24,1.2385462709605,0.0101683823712255
"6544","ENSG00000132305",97.06,91.81,92.47,116.87,91.2,122.28,97.55,96.74,116.21,68.26,87.1,84.73,90.88,78.85,97.28,79.2,86.4,78.28,1.22798210338491,0.00183440565402181
