GH10J003838	FOXA2||SMAD4||RARA||THRB||TAL1||BCL6||BHLHE40||BATF||RBPJ||IKZF1||NR2F1||IKZF5||RXRB||ZMYM3||ARID1B||EGR2||KDM1A||CBFA2T2||ZNF687||FOS||ESRRA||IKZF2||MTA2||TCF12||NCOR1||CBFA2T3||SCRT2||MLLT1
GH10J003839	
GH10J003691	REST||SCRT1||ZBTB33||CEBPB||EP300||SOX6||CTCF||CEBPG
GH10J003879	SSRP1||CEBPA||FOXA1||FOXA2||SMAD4||SAP130||ETV4||RARA||FOXP1||BCL6||SOX5||TBX3||HHEX||LCORL||ELF3||IKZF5||IKZF1||NFIL3||HLF||SMC3||GATAD2A||TCF7||EED||SOX13||GABPA||ZGPAT||FOXA3
GH10J003694	
GH10J003681	RAD21
GH10J003658	FOXA2||TEAD3||NFIA||FOXA3
GH10J003655	MNT||ATF1||ZEB2||HDAC1||CTBP1||SOX6||IKZF1||ATF7
GH10J003871	BCLAF1||SP1||ZNF207||IKZF1||ATF2||BCL11A||ZNF592||TRIM22||NR2C1||FOXA2||IRF4||EBF1||CBFB||SMARCA5||MYNN||ATF1||BHLHE40||ZNF318||BATF||ELF1||ZNF24||ZNF384||STAT5A||BMI1||NFATC1||RFX5||HDGF||NR2F1||ATF4||TCF7||MTA3||RFX1||TEAD4||JUNB||BACH1||CSDE1||ZBTB21||ZBTB40||TCF12||MEIS2||HDAC1||NKRF||PYGO2||ZBED1||ZNF217||ARID1B||PKNOX1||ARID3A||KLF5||CEBPB||ZNF324||TARDBP||TBL1XR1||ATF3||ZNF629||SPI1||ZNF687||RNF2||IKZF2||RAD51||TRIM24||CREM||MTA2||YY1||EED||ATF7||POLR2A||NBN||DPF2||RUNX3||FOXK2||ETV6||NCOR1||ARNT||ZSCAN29||EP300||FOXA3||CHD2||RELB||RFX3||GATAD2B||MLLT1||SMARCA4||PBX2||CEBPG
GH10J003698	RFX5
GH10J003648	ZSCAN4||MNT
GH10J003647	IRF4||BATF||JUNB||CREB1
GH10J003954	REST||EHMT2
GH10J003957	CEBPB||RNF2||CEBPG
GH10J003613	RFX1||BMI1
GH10J003881	CTBP1||SIN3A||MNT
GH10J003689	CTBP1||DPF2||FOS||MTA1
GH10J003882	
GH10J003969	ZNF217||CTBP1||MAFF||CUX1||ZNF316||MAFK||SMARCE1||DPF2||RAD51||EP300||RCOR1||EMSY
GH10J003595	
GH10J003974	
GH10J003909	
GH10J003944	ZNF580||ZFP64||PTBP1||HLTF||CBX1||ZNF384||JUND||RFX1||ZMYM3||ZNF366||RAD21||KDM1A||ZNF280D||ZNF512||RNF2||EP300||TRIM28||BCOR||CBX3||MTA2||FOS||CEBPB||SMARCA5||HDAC2
