GH18J031565	CEBPA||ATF3||MXD4||REST||HOMEZ||KDM6A||SMAD4||RXRA||ETV4||RARA||DMAP1||TEAD3||THRB||FOSL2||CREM||BCL6||SOX5||JUND||HNF4A||HMG20A||RBPJ||RAD21||ELF3||IKZF5||RXRB||CEBPG||SP1||HNF1A||ZNF644||PPARG||NFIL3||GATAD2A||IRF2||ZKSCAN8||SOX13||GABPA||MNT||FOXA3||TEAD1||CTCF
GH18J031595	FOXA2||JUND||ZNF3||POLR2A||EP300||RBFOX2
GH18J031586	CEBPA||KMT2B||FOXA2||KDM6A||SMAD4||ETV4||RARA||TEAD3||JUND||CREM||FOXP1||BCL6||ZNF205||SOX5||HMG20A||HHEX||MIER2||HMG20B||GATA4||NR2F6||ELF3||RXRB||CEBPG||ARID4B||ARID3A||HNF1A||ZNF644||PPARG||NFIL3||NR2F1||HLF||MBD1||MIXL1||GATAD2A||TCF7||IRF2||KAT8||SOX13||RCOR2||RERE||FOXA3||ZGPAT||CREB1||TFE3||TEAD1
GH18J031577	
GH18J031574	ATF3||YY1||RXRA||JUND||SPI1||HNF4A||RAD21||ATF4||REST||MAX||SP1||CEBPG
GH18J031510	MYC||ATF2||CEBPA||CHD4||MXD4||CEBPB||FOXA1||BHLHE40||ZNF341||MNT||HOMEZ||CTCF||MAX||KMT2B||EP300||THAP11||FOXA2||KDM6A||CTBP1||MAFF||SMAD4||ZNF511||SAP130||RAD21||RFX5||ETV4||MIER3||RARA||STAT3||DMAP1||TEAD3||TBP||ZSCAN9||THRB||RBM22||KAT7||USF2||FOSL2||JUND||CREM||FOXP1||MAFK||BCL6||ZNF205||KDM1A||SOX5||TBX3||EP400||HMG20A||RBPJ||HHEX||GATAD1||ZNF48||MIER2||HMG20B||ATF4||NFYC||ZNF792||LCORL||TFAP4||ZNF3||GATA4||HDAC2||NR2F6||ELF3||IKZF5||RXRB||L3MBTL2||CEBPG||POLR2A||NFIA||ATF1||JUN||ARID4B||ARID3A||HNF1A||KLF1||ZNF644||SOX13||PPARG||ZNF366||NFIL3||NR2F1||ZNF384||HLF||MLX||ATF3||FOXK2||SMC3||ZNF629||TGIF2||ZNF24||MIXL1||ZNF692||GATAD2A||ZNF660||SP5||NFKBIZ||SMARCE1||OSR2||TCF7||FOS||ESRRA||ELF1||ZKSCAN8||KAT8||TFDP1||ETS1||PRDM10||CREB1||GABPA||ATF7||RCOR2||RERE||FOXA3||ZGPAT||TFE3||ZBTB25||PRDM1||ZNF335||TEAD1||KLF6||DNMT3B||MGA||ERF
GH18J032091	EZH2||BCLAF1||SP1||ZNF207||NCOR1||MYC||ZNF600||ZNF580||ZNF592||POLR2A||CEBPA||ZSCAN16||BRCA1||ZIC2||ZBTB10||YY1||MXD4||NONO||REST||CEBPB||KLF11||SMAD5||SIN3A||CHD2||HES1||BHLHE40||ZNF639||MBD2||TBP||ZNF341||MNT||KLF7||MAX||ZNF217||KMT2B||IRF2||THAP11||FOXA2||CTBP1||KLF9||SIN3B||HCFC1||ZNF610||NBN||SP2||RXRA||SAP130||TARDBP||RFX5||TAL1||MIER3||NKRF||RARA||DMAP1||GABPB1||ZSCAN9||CBFB||ZNF843||TCF7L2||KAT7||SMARCA5||ZNF146||RELA||CREM||SKIL||BCL11B||ZFP91||KLF16||ASH2L||TAF1||DRAP1||BCL6||ATF1||GLI4||ZNF205||ZSCAN5A||ZBTB48||CBX1||SOX5||SMARCA4||SUPT5H||ZNF2||ZNF189||PKNOX1||ETV1||INSM2||HDAC2||ELF1||ZFP37||TBX3||ZSCAN23||EP400||ZNF24||MAZ||MXD3||FOXK2||NRF1||EGR1||ZBTB33||RBPJ||IKZF1||GATAD1||RB1||ZNF48||ZSCAN29||NR2F1||TAF7||CBLL2||RLF||HNRNPL||MTA3||RFX1||BACH1||STAT1||HDAC8||ZBTB21||GLIS1||ZNF133||RXRB||ZBTB40||SP7||AEBP2||ZNF18||KLF1||L3MBTL2||ZNF548||MEIS2||GATA2||HDAC1||TRIM28||DPF2||ARID4B||ARID1B||ZFX||PHF20||GMEB1||ZBTB7A||KLF10||ZNF792||KLF5||CREB1||YY2||ZNF785||ARID3A||PPARG||CTCF||ZNF366||NFIL3||ZBTB12||PHF21A||ZBTB8A||SP3||ZNF687||ZNF324||HLF||ZXDB||TBL1XR1||ZSCAN26||MLLT1||TSC22D4||ATF3||ZNF629||EGR2||LEF1||TGIF2||ZNF692||MIXL1||GATAD2A||KDM1A||ZNF660||ZHX2||SP5||KDM4B||KHSRP||CBFA2T2||OSR2||GTF2F1||ZNF266||PATZ1||RNF2||IKZF2||TRIM24||MTA1||TRIM22||MZF1||ZBTB17||ZBTB26||SOX6||KAT8||GLIS2||ZBTB6||NFRKB||ATF2||TFDP1||LARP7||SOX13||ZNF579||TCF12||PRDM10||PHF8||RUNX3||NR4A1||KLF8||BCOR||ATF7||ZNF501||ZNF777||HDGF||TSHZ1||POLR2B||AHR||FOXA3||ZGPAT||ZBTB11||RBFOX2||RELB||TFE3||ZFHX2||BRD9||ZBTB20||OVOL3||GATAD2B||AFF1||ZBTB25||KLF17||CHD1||CBFA2T3||ZNF335||HIC1||PML||ZNF157||SREBF2||KLF6||DNMT3B||MGA||EMSY||WT1||PBX2||CEBPG||XRCC5||ZNF444||ERF||E2F1
GH12J050166	SP1||ZNF600||MYC||IKZF1||ZNF580||KLF9||POLR2A||ZIC2||CHD4||ZBTB10||CEBPB||CTCF||SMAD5||SIN3A||BHLHE40||ZNF639||TBP||ZNF341||ZFP64||HOMEZ||MNT||KLF7||MAX||ARNT||KMT2B||THAP11||ELF1||CTBP1||SIN3B||HCFC1||ZNF610||RXRA||SP2||ZNF511||SAP130||RFX5||NKRF||SMC3||DMAP1||YY1||GABPB1||CBFB||KAT7||SMARCA5||SAFB||ZKSCAN1||SKIL||KLF16||DRAP1||PRDM10||ZNF205||THRAP3||ZBTB48||CBX1||ZBTB40||JUND||SUPT5H||SPI1||ZNF189||PKNOX1||INSM2||EP400||MAZ||SCRT1||TAF1||ZNF530||ZBTB33||EGR1||NRF1||RB1||RAD21||ZNF362||HDGF||ZNF664||HNRNPL||TFAP4||BACH1||GLIS1||IKZF5||ZNF398||SP7||ZNF18||REST||L3MBTL2||KLF1||TCF12||ZFP69B||HDAC1||ARID4B||ZNF16||ZFX||ZNF561||PHF20||GMEB1||KLF10||KLF5||CREB1||YY2||YBX1||ARID3A||ZNF366||ZBTB12||SP3||ZBTB8A||ZFP3||ZNF324||ZNF169||ZXDB||ATF1||TBL1XR1||MLLT1||ZEB2||EGR2||ZNF692||GATAD2A||DACH1||NFKBIZ||OSR2||XRCC5||PATZ1||ZNF24||TRIM22||MTA2||ZBTB17||ZKSCAN8||KAT8||GLIS2||NFRKB||BCL11A||LARP7||HNF4G||PHF8||ZNF143||NBN||DPF2||RUNX3||KLF8||FOXK2||GTF2F1||BCOR||ATF7||ZNF501||ZSCAN29||POLR2B||GTF2A2||ZGPAT||ZBTB11||RBFOX2||GABPA||CC2D1A||ZFHX2||ZBTB20||GATAD2B||AFF1||ZBTB25||KLF17||CHD1||PRDM1||ZNF335||HIC1||SCRT2||NR2F1||ZNF157||SREBF2||SMARCA4||MIER1||ELK1||WT1||ZBTB26
GH12J050169	IKZF1||KLF7||FOXA2||CTBP1||TEAD3||DRAP1||NFYC||DPF2||TFAP4||ZMYM3||ARID3A||CREB1||ZNF366||NBN||ZSCAN4||ZNF544||ZBTB17||ZNF680||TRIM28||BCOR||POLR2A||CBX3||CBX5||ZNF335||ELK1||ZNF444
GH12J050170	
GH12J050161	SCRT1||POLR2A||CEBPB||ZNF121||SCRT2
GH12J050157	
GH12J050175	ZNF654||IKZF1||CTCF||REST||TRIM22||ZNF217||NFATC3||RAD21||RFX5||SMC3||PRDM6||ZNF384||ZNF362||GATA2||ARID2||ZNF660||YY1||SMARCA5||ZNF501||CC2D1A||PML||ZBTB44
