InputTerm,Symbol,GHIDs,GHtype,NumGenesAway,OtherGeneTargets,Score,Sources,TFBSs,TSSdistance
FOSL2,FOSL2,GH02J028373,Enhancer,2,LOC105374383||lnc-RBKS-8||FLJ31356||RBKS,0.3721704,Ensembl||dbSUPER,,-17747
FOSL2,FOSL2,GH02J028412,Enhancer,2,FLJ31356||lnc-TRMT61B-4||ENSG00000270210||ENSG00000227938||SNRPGP7||PLB1,0.3504288,Ensembl||ENCODE||dbSUPER,CTCF||ZBTB33||ZIC2||RBFOX2||NRF1||RBM22||SIX5||PCBP1||SIN3A||POLR2A||MXD4||RAD21||KLF17||FOSL2||GLIS1||SMARCA4||ZNF48||KLF1||ZNF580,22253
FOSL2,FOSL2,GH02J028368,Enhancer,2,LOC105374383||lnc-RBKS-8||FLJ31356||RBKS,11.85921,dbSUPER,YBX1||PKNOX1||PBX2||CEBPA||CEBPB||SMARCC1||SPI1||FOS||ZMYM3,-22484
FOSL2,FOSL2,GH02J028364,Enhancer,2,LOC105374382||lnc-RBKS-8||LOC105374383||FLJ31356||WDR43||NRBP1||PPM1G||GPN1||ZNF513||EIF2B4||SNX17||RBKS,14.82463,FANTOM5||ENCODE||dbSUPER,LEF1||IKZF1||ZNF692||JUND||MTA2||ZNF24||MTA1||REST||ZNF740||SP1||DPF2||HDAC1||ETV6||SOX6||EP300||MGA||UBTF||ZNF766||HMBOX1||POLR2A||MTA3||CTBP1||ZBTB2||HES1||HDGF||HDAC2||NFRKB||NR2C2||ZBTB11||GABPA||MEF2D||AFF1||MNT||MYC||EP400||TARDBP||NCOR1||MIER1||MAX||EHMT2||GTF2A2||RUNX1||MBD2||NFIC||ZC3H8||STAT5A||RELA||BCOR||MYNN||TBP||ZNF644||FOXM1||TFDP1||HDAC8||ZNF592||NCOA1||NR2F1||ZNF395||SPI1||ELF1||ZNF584||SKIL||TAL1||RAD21||CREM||CBX1||SMAD5||NR2F6||ESRRA||SUPT5H||BHLHE40||ZNF589||HNF4A||VEZF1||KLF1||NRF1||ETV1||PRDM10||TCF12||ID3||SNIP1||NBN||ZEB2||ZBTB33||SMARCA4||TAF7||SMARCE1||HNF4G||ZMYM3||RNF2||ZBTB40||TBL1XR1||ZNF197||USF2||GABPB1||PYGO2||L3MBTL2||RBM39||TEAD4||NR4A1||CBFA2T2||BACH1||ATF7||ZFX||GATA2||POLR2B||ZNF148||CBFA2T3||MLLT1||ARID1B||SMARCA5||CC2D1A||ZKSCAN8||ZNF639||RXRA||PML||ATF1||ZNF83,-25934
FOSL2,FOSL2,GH02J028419,Enhancer,2,lnc-TRMT61B-4||ENSG00000270210||FLJ31356||PLB1||ENSG00000227938||SNRPGP7,12.32042,Ensembl||ENCODE||dbSUPER,CTCF||REST||RAD21||POLR2A||HNF4A||CEBPB||RXRA,27202
FOSL2,FOSL2,GH02J028417,Enhancer,2,ENSG00000270210||FLJ31356||lnc-TRMT61B-4||PLB1||ENSG00000227938||SNRPGP7,12.32042,dbSUPER,,25404
FOSL2,FOSL2,GH02J028363,Enhancer,2,lnc-RBKS-8||LOC105374382||LOC105374383||FLJ31356||RBKS,23.28618,FANTOM5,PKNOX1||KLF1||EGR2,-28503
FOSL2,FOSL2,GH02J028362,Enhancer,2,lnc-BABAM2-1||lnc-RBKS-8||LOC105374382||LOC105374383||FLJ31356||RBKS,12.4013,CraniofacialAtlas,ZNF24||SPI1||ATF3,-29414
FOSL2,FOSL2,GH02J028420,Enhancer,3,ENSG00000270210||lnc-TRMT61B-4||ENSG00000227938||SNRPGP7||PLB1,11.53416,Ensembl||ENCODE||dbSUPER,NFE2||ZNF316||MAFG||SPI1||MAFK||TFAP4||POLR2A||RARA||ATF2||HLF||NFE2L2||ELF3,32353
FOSL2,FOSL2,GH02J028358,Enhancer,3,LOC105374382||lnc-BABAM2-1||lnc-RBKS-8||FLJ31356||ENSG00000223522||TRMT61B||SUPT7L||WDR43||GPN1||EIF2B4||ZNF512||RBKS||PPP1CB,41.18301,FANTOM5||ENCODE||dbSUPER,SP1||CREB1||GATAD2A||ZBTB33||ATF7||ZNF629||TFE3||LEF1||IKZF1||TARDBP||JUND||ZNF143||ZIC2||PKNOX1||MTA1||NR2C1||TCF12||IKZF2||ZNF24||DPF2||HDAC1||SOX6||FOXJ2||EP300||SCRT2||EED||SOX13||MGA||ZFX||GTF2E2||CBX3||ZNF766||HMBOX1||RELB||SMARCC1||MTA3||CTBP1||RUNX3||BRCA1||TAF9B||NFE2||HES1||FOXK2||TGIF2||TCF7||HDAC2||CEBPB||KDM4B||E2F5||ZNF316||FOXA2||CBFB||MAFF||NR2C2||ZBTB11||ZBTB48||ESRRA||FOS||GABPA||MEF2D||ZNF318||ZNF592||E2F6||MAX||MAFK||MNT||MBD1||GTF2F1||ZNF217||MYC||SMARCB1||EP400||ATF2||NCOR1||GATAD2B||FOSL1||ZNF623||MAFG||BCL11A||CREM||NR2F2||RUNX1||ELF1||MBD2||FOXP1||NFIC||NBN||ZC3H8||ZFHX2||RELA||BCOR||SAP130||ZNF644||NR2F1||JUNB||TFDP1||NCOA1||BHLHE40||GABPB1||ZNF395||ZNF584||TCF7L2||SKIL||TAL1||NFIB||KLF17||FOXA1||ZHX1||FOSL2||NCOA3||SMAD4||NR2F6||BCL6||ZNF366||ZNF589||TFAP4||ZNF687||VEZF1||MAZ||TBL1XR1||ATF3||NRF1||ETV1||RARA||JUN||TOE1||ID3||TBX21||ATF1||KHSRP||ARID4B||KDM1A||ZEB2||POLR2A||HMG20A||IRF9||MTA2||XRCC5||SMARCA4||MITF||RAD21||ZNF48||KLF1||SMARCE1||RNF2||ZBTB21||ZBTB40||RAD51||ZNF197||USF2||ZNF579||L3MBTL2||ZNF354B||TEAD4||NR4A1||NFE2L2||ELF3||CBFA2T2||FOXA3||BACH1||SREBF1||ZNF148||TRIM24||DACH1||CAVIN1||CBFA2T3||MLLT1||ARID1B||SP7||ZKSCAN8||EMSY||ZNF639||ETV6||ERF||GMEB1||ZNF83,-32094
