GH01J025988	NCOR1||ZNF592||HES1||MNT||TCF12||TAF9B||BHLHE40||MAFF||SIN3A||ZNF316||TAL1||MAFK||ZNF318||HDAC2||MYC||EHMT2||PRDM10||EP400||ZEB2||MAFG||ZBTB33||POLR2A||ZNF664||MTA2||HDAC1||ATF4||NR2F6||TEAD4||ZMYM3||CSDE1||MEIS2||L3MBTL2||TEAD2||ARID1B||NFATC3||ATF3||KDM1A||CBFA2T2||RNF2||CTBP1||IKZF1||ATF2||SOX6||PKNOX1||ZNF24||CBX3||EP300||FOXK2||CEBPB||LEF1||ZNF121||ZSCAN29||AFF1||HMBOX1||CBFA2T3||EMSY||NR2F1||MTA1||MGA||PBX2
GH01J026003	DPF2||CEBPG||CEBPA||CTCF||CEBPB||ZNF592||ATF1||STAT5A||IRF9||EP400||TAF7||ATF4||ZNF652||SP7||ARID1B||ATF3||DDX20||ZNF512||IKZF1||ATF2||SOX6||NFRKB||ATF7||EP300||CC2D1A||ZNF121||ZBTB5||MTA2||BRD9||SMARCA4
GH01J026010	REST||CTCF||ZNF592||RAD21||SMC3||ETV4||HDAC2||EHMT2||PRDM10||ZBTB33||ZNF384||EGR1||L3MBTL2||GABPB1||BCL6B||KDM1A||DDX20||GABPA||CBX3||ZSCAN29||AFF1
GH01J025985	
GH01J025983	
GH01J025977	DPF2||NCOR1||ZNF316||TAL1||HDAC2||FOXM1||TCF12||TEAD4||MEIS2||HDAC1||ARID1B||SMARCE1||KDM1A||CBFA2T2||IKZF1||SOX6||GATAD2B||EP300||HMBOX1||CBFA2T3||SMARCA4
GH01J025970	ZNF10||GABPA||SPI1||POLR2A||ZBTB40||RUNX3||ARNT
GH01J026028	ZMYM3||CHD4||SAP130||SMAD4||ZFP91||CBX1||PTBP1||HDAC2||KDM1A||GLIS1||ZNF398||ZNF143||MEIS2||CREM||DPF2||PHF20||NR2F6||ZNF580||ZNF384||ZNF184||MLX||EGR2||GATAD2A||HNRNPL||SOX13||PKNOX1||MTA3||BCOR||RCOR2||HMBOX1||SMARCA5||TFE3||HDGF
GH01J025968	EGR2
GH01J025952	SPI1
GH01J025957	CTCF||RAD21
GH01J025958	ZBTB33||TRIM24||CBX3||TRIM28||FOS
GH01J025945	ZNF664||CEBPB||SOX13||CBFA2T3
GH01J025911	FOXA2||ZNF316||JUND||ZNF664||ZNF18||EP300||CBX3||TRIM28||CEBPB
GH01J025908	SAP130||TEAD3||BCL6||SOX5||HMG20A||ZSCAN29||ZMYM3||L3MBTL2||KLF1||ZNF644||TCF7||SOX13||TFDP1||SKI
GH01J025912	PRDM10||ZEB2||DPF2||ARID1B||SMARCE1||CBFA2T3||SMARCA4
GH01J026052	ZNF513||PRDM10||RLF||ZNF24||IKZF1
GH01J026054	ZNF768||ZMYM3||KDM1A||BCOR||HDAC2
GH01J025914	
GH01J026061	ZNF592||ZNF316||ZBTB33||MEIS2||JUNB||L3MBTL2||ARID2||DACH1||IKZF1||RB1||CBFA2T3||MGA
GH01J025935	
GH01J025932	DPF2||ATF2||NCOR1||NFIC||ZNF592||HES1||MNT||TBP||ARNT||IRF2||TAF9B||BHLHE40||NFATC3||ZNF316||NBN||SKIL||TAL1||NUFIP1||ATF1||SUPT5H||JUND||ZNF318||HDAC2||STAT5A||PRDM10||IRF9||EP400||FOXK2||FOXM1||SMARCA4||NRF1||NCOA1||MAFG||TCF12||RAD51||ZNF384||MTA2||TAF7||MAFK||POLR2A||ATF4||NR2F6||ZNF143||MAFF||TEAD4||MEIS2||PYGO2||CREM||RUNX1||KLF1||L3MBTL2||CEBPB||HDAC1||GABPB1||CUX1||ARID1B||SMARCE1||ZNF184||ATF3||TBL1XR1||PHF21A||KDM1A||DACH1||KLF16||GTF2F1||CBFA2T2||HDGF||RNF2||ZNF24||CTBP1||TRIM24||IKZF1||SOX6||NFRKB||PKNOX1||ZNF740||MTA3||ATF7||CBX3||POLR2B||EP300||TRIM28||TCF7||LEF1||USF1||GATAD2A||AFF1||HMBOX1||CBFA2T3||NR2C1||PML||BRD9||TARDBP||EMSY||MYC||NR2F1||MTA1||MGA||UBTF
GH01J025917	HDAC2||ZBTB33||EGR1||NR2F6||TEAD4||CREM||DPF2||HDAC1||GABPB1||ARID1B||KDM1A||EGR2||CBFA2T2||IKZF1||PKNOX1||GATAD2A||CBFA2T3||ZFHX2
GH01J025926	NFIC||RFX1||PRDM4||ZNF133||GATA2||CHD2||CTBP1||MNT||BMI1||RFX3
GH01J026121	DPF2||ATF2||NCOR1||ZNF600||CEBPG||ZBTB10||NFIC||ZNF592||MBD2||NONO||HES1||MNT||SIN3A||TBP||ZNF217||ARNT||KLF7||IRF2||SMAD5||HCFC1||TAF9B||BHLHE40||FEZF1||CTBP1||KLF9||SP2||RUNX1||TRIM25||NFATC3||NKRF||ZNF316||NBN||CBFB||SKIL||TAL1||MYNN||NFE2||NCOA2||ZFP91||GLI4||ATF1||ZNF843||HLTF||GATA3||SUPT5H||ZBTB48||SPI1||ZNF318||HDAC2||ZZZ3||STAT5A||PRDM6||JUND||EHMT2||PKNOX1||ZHX1||RFX5||PRDM10||ZNF624||IRF9||THRAP3||ZNF24||EP400||FOXK2||ZNF189||MLLT1||POLR2A||SCRT1||FOXM1||SMARCA4||ZNF2||ZEB2||NRF1||MAFG||NCOA1||ZC3H8||SMARCE1||TCF12||ZBTB33||RAD51||SNIP1||NCOA4||ZNF384||CHAMP1||EGR1||MTA2||NR2F1||REST||CAVIN1||TAF7||HDAC1||SP1||MAFK||ATF4||NR2F6||ZBTB40||ZNF19||PRDM4||LARP7||ZNF18||ZNF398||ZFP69B||MAFF||TEAD4||ZNF350||MEIS2||CREM||KLF1||SP7||JUNB||L3MBTL2||ZNF701||CEBPB||TEAD2||GATA2||GABPB1||CUX1||ARID1B||ZNF561||GMEB1||E2F4||NCOA6||KLF10||ZNF324||YY2||ZNF184||ZSCAN21||ATF3||TBL1XR1||KDM1A||ZSCAN4||ZBTB8A||ARID2||DACH1||ZXDB||EGR2||KLF16||GTF2F1||DNMT1||FOS||TSC22D4||DDX20||ZNF629||CBFA2T2||ZNF692||ZNF512||CDC5L||RFX1||HDGF||OSR2||RNF2||LEF1||ZNF266||TRIM24||ZNF239||IKZF1||MZF1||ZBTB17||SOX6||NFRKB||MCM7||ZNF740||RB1||MTA3||ATF7||CBX3||GATAD2B||ZSCAN18||ZKSCAN1||EP300||POLR2B||TRIM28||KLF8||RUNX3||CC2D1A||ZBTB20||TCF7||NFXL1||ZBED1||GTF2A2||ZNF302||GATAD2A||ZSCAN29||AFF1||HMBOX1||CBFA2T3||MEF2D||SMARCA5||NR2C1||PML||BRD9||ZBTB2||PHB2||TARDBP||EMSY||PRDM1||MIER1||MYC||SCRT2||MTA1||ZBTB44||MGA||WT1
GH01J025527	RCOR1||ZIC2||MCM3||NKRF||ZNF316||NBN||E4F1||HLTF||SPI1||HDAC2||EHMT2||PRDM10||MLLT1||ARNT||ZEB2||ZC3H8||INSM2||NCOA4||FOXP1||ARHGAP35||NR2F6||LARP7||ZMYM3||PHF20||SOX6||MCM2||ZNF184||KDM1A||GTF2F1||TSC22D4||CDC5L||PHB2||TRIM24||BCOR||MTA2||IKZF1||SMARCA5||HDAC1||ZBTB2||HDGF||NR2F1
