GH09J019457	BCLAF1||ZNF654||CEBPA||YY1||CTCF||REST||CEBPB||KLF11||DEK||TRIM22||THAP11||RAD21||RFX5||IRF4||SMC3||TEAD3||SMARCA5||MIER2||ATF2||ZNF143||CEBPG||GATA2||TRIM28||ARID4B||IKZF1||ZNF366||NFIL3||HLF||TARDBP||GATAD2A||OSR2||IRF2||CHD2||SOX6||KAT8||RUNX3||ZGPAT||RELB||CC2D1A||PRDM1||TEAD1||MLLT1||ZNF444
GH09J019471	ZNF654||ZIC2||REST||ZBTB48||CTCF||ZNF189||IKZF1||GLIS1||ZNF398||NFIA||ZNF629||OSR2||XRCC5||PATZ1||IRF2||TRIM22||PRDM10||RAD21||ZNF143
GH09J019472	ZFP36
GH09J019475	ZNF654||REST||CTCF||SMC3||IKZF1||RAD21||ZNF398||NFIA||CREM||EGR2||ZNF143||XRCC5||PATZ1||IRF2||TRIM22||GLIS2||PRDM10||ZFHX2||ZNF335
GH09J019470	
GH09J019473	ZNF654||ZIC2||REST||CTCF||RAD21||SMC3||ZBTB48||ZNF189||IKZF1||GLIS1||ZNF398||NFIA||CREM||EGR2||ZNF629||OSR2||ZNF143||XRCC5||PATZ1||IRF2||TRIM22||PRDM10||ZFHX2||ZNF335
GH09J019498	HLF||CEBPB
GH09J019474	
GH09J019476	
GH09J019487	POLR2A
GH09J019484	EGR2||ZFHX2
GH09J019486	ZBTB40||FOXA1||DPF2||FOS
GH09J019495	ZNF654||REST||TRIM22||CTCF||RAD21||RFX5||SMC3||TEAD3||ZNF189||ZNF143||CREM||ZNF366||EGR2||XRCC5||CEBPB
GH09J019493	ZNF654||REST||TRIM22||CTCF||RFX5||TEAD3||ZNF189||RAD21||ZNF143||CREM||ZNF366||SMC3||XRCC5
GH09J019492	JUNB||CTCF
GH09J019489	
GH09J019478	NFIC||ZNF652||NFIB||NFIA||TRIM28||ZBTB20
GH09J019480	
GH09J019507	
GH09J019519	
GH09J019520	CTCF||RAD21
GH09J019592	RAD51||TOE1||NFATC3
GH09J019567	
GH09J019558	NFE2
