"","Gene","C1","C2","C4","C6","P1","P2","P3","P4","log2_fold_change","p_value","q_value","significant"
"7840","SOX8",55.1305,70.7648,92.022,111.712,68.6971,38.418,21.1981,20.2072,-1.15018,5e-05,0.00164804,"yes"
"7842","CACNA1H",5.42889,3.02476,2.99821,2.88688,10.597,11.3216,15.387,9.66292,1.71178,5e-05,0.00164804,"yes"
"7847","GNPTG",93.0355,89.6752,90.4328,124.831,77.7017,64.0744,27.4872,28.9245,-1.00581,0.0045,0.0487683,"yes"
"7851","HN1L",23.4814,23.4071,35.6348,21.2363,30.2059,33.0765,91.8103,64.0325,1.07851,0.00015,0.0041716,"yes"
"7863","SYNGR3",2.35602,2.19682,3.26063,0.86175,6.59381,7.58795,11.8759,10.7005,2.08309,5e-05,0.00164804,"yes"
"7893","KREMEN2",0.211709,0.101876,0.436897,0.108492,0.170782,0.504601,3.02887,4.56271,3.26667,0.00045,0.00976765,"yes"
"7955","NDE1",7.94059,10.0996,10.9282,13.8661,7.27299,6.38744,114.488,12.2314,1.7125,5e-05,0.00164804,"yes"
"7956","ABCC1",3.55591,2.54849,2.85011,2.37618,3.86512,3.06466,5.40129,10.3435,1.00084,0.0025,0.0322442,"yes"
"7965","SYT17",18.2343,15.4529,12.0339,14.7842,8.84359,8.31234,3.19391,4.40358,-1.28943,0.0024,0.0314097,"yes"
"7984","VWA3A",5.95693,4.01292,3.28998,3.37796,1.79828,3.24235,0.0700478,0.126823,-1.66751,0.0019,0.0271436,"yes"
"8013","SBK1",23.9898,24.9264,23.3987,27.8734,48.1112,61.002,49.0466,27.6694,0.891262,6e-04,0.0121356,"yes"
"8037","ASPHD1",1.29242,0.646769,0.980533,0.57914,2.95933,4.97985,5.51489,3.2889,2.2586,0.00045,0.00976765,"yes"
"8044","CORO1A",1.07503,0.992742,1.66217,1.7512,4.4563,7.09444,6.33363,4.20662,2.01091,5e-05,0.00164804,"yes"
"8096","NKD1",5.70362,8.05924,7.38345,4.19774,4.40459,5.10705,0.458503,3.40809,-0.921759,0.0039,0.0445643,"yes"
"8104","MMP2",2.95414,7.10189,12.4184,7.69555,2.29384,4.51387,11.4463,78.4217,1.68004,5e-05,0.00164804,"yes"
"8114","MT3",33.3516,29.3724,49.6737,85.2746,24.7027,13.4806,1.40368,2.58436,-2.22878,8e-04,0.01476,"yes"
"8115","MT2A",62.3692,62.9282,73.746,101.357,27.9743,50.434,8.19619,14.0169,-1.57795,0.00275,0.0346418,"yes"
"8175","FAM65A",7.04069,6.00663,6.13902,6.97931,10.1775,9.94344,19.4272,17.3637,1.12106,6e-04,0.0121356,"yes"
"8180","TSNAXIP1",10.6937,6.87334,7.26026,6.96781,5.3753,5.06838,0.724133,0.445341,-1.45305,0.00075,0.0141304,"yes"
"8192","CDH3",0.423551,0.949878,0.627501,0.795584,1.38011,1.36235,5.63122,7.77915,2.53009,5e-05,0.00164804,"yes"
"8193","CDH1",0.570473,5.83392,4.80326,7.19281,1.32683,2.47761,0.00839713,0.223048,-2.18878,0.002,0.0280947,"yes"
"8232","TERF2IP",82.2052,79.8823,71.2067,62.8248,98.7757,160.297,155.525,87.8057,0.76267,0.00325,0.0390853,"yes"
"8237","VAT1L",9.3541,8.31803,8.51272,2.40201,11.984,21.6933,30.2931,11.855,1.40733,5e-05,0.00164804,"yes"
"8246","CMIP",12.2871,11.3942,11.6112,12.4902,19.3592,22.7493,26.4293,21.5529,0.91489,0.001,0.0171336,"yes"
"8255","NECAB2",3.71513,1.01577,3.48183,4.94938,2.15535,8.33793,29.3588,4.72869,1.76003,0.00155,0.0234265,"yes"
"8304","TUBB3",213.464,151.44,179.903,142.274,382.534,582.12,953.019,368.44,1.73435,5e-05,0.00164804,"yes"
"8325","LMF1",41.781,40.8569,52.5691,66.8407,39.9958,19.6883,16.5882,15.1126,-1.14467,2e-04,0.00519897,"yes"
"8387","TRAP1",35.8975,30.2313,32.1056,36.0353,42.4912,39.9395,100.054,71.6283,0.920337,0.001,0.0171336,"yes"
"8390","SRL",0.105456,0.156349,0.157681,0.159809,0.357446,1.1942,1.33383,0.254692,2.43847,0.0015,0.0228535,"yes"
"8392","TFAP4",3.82658,2.11739,2.49048,2.98704,3.79479,4.83019,21.3356,8.27978,1.74334,2e-04,0.00519897,"yes"
"8410","GRIN2A",1.47376,0.683959,0.338253,0.36171,0.312537,0.356225,0.00843665,0.110547,-1.85905,0.0035,0.0412074,"yes"
"8420","LITAF",57.7591,44.8834,41.62,48.0945,46.8838,57.0262,257.413,110.302,1.29385,0.00015,0.0041716,"yes"
"8442","ARL6IP1",249.863,425.766,613.018,563.773,255.444,269.833,264.353,193.803,-0.913513,0.0029,0.0361104,"yes"
"8466","CDR2",2.97423,2.62405,3.44141,3.83064,3.88217,3.26044,18.3517,15.1127,1.65768,1e-04,0.00299584,"yes"
"8503","FAM57B",8.12107,5.05117,5.43048,7.63752,19.5559,20.911,38.4375,9.06958,1.7453,5e-05,0.00164804,"yes"
"8539","C16orf58",30.0425,22.6277,23.3289,26.1511,28.6883,25.0874,79.4152,48.9649,0.834479,0.00195,0.0276232,"yes"
"8603","CDH11",47.0978,45.9331,38.9038,39.294,40.0371,31.3638,5.58921,21.4188,-0.799062,0.0043,0.0474505,"yes"
"8638","SMPD3",1.70853,1.08326,1.14131,1.19127,5.21596,7.48771,4.94199,1.58143,1.90769,2e-04,0.00519897,"yes"
"8668","ZFHX3",0.529444,0.446085,0.747738,0.382297,0.657762,1.30901,3.00675,3.73433,2.04811,5e-05,0.00164804,"yes"
"8683","TMEM231",130.067,93.9303,107.072,116.43,75.69,87.1633,31.0711,22.2181,-1.0499,0.00035,0.00815894,"yes"
"8701","COTL1",239.545,155.161,124.317,98.4887,262.364,354.361,368.914,301.893,1.06007,0.00025,0.00629326,"yes"
"8716","SLC7A5",4.62638,3.78474,7.17575,5.24222,9.70178,6.27774,10.5129,19.1065,1.1304,0.00075,0.0141304,"yes"
"8718","CYBA",1.51439,4.18705,0.893377,1.67598,14.681,10.0696,33.0146,7.47179,2.97959,0.0045,0.0487683,"yes"
