HLA-C hsa:3107
HLA-DMA hsa:3108
HLA-DMB hsa:3109
HLA-DQB1 hsa:2775
HLA-DQB1 hsa:3119
HLA-DQB1 hsa:3120
HLA-F hsa:3134
HMG20B hsa:10362
HOOK3 hsa:84376
HOPX hsa:84525
HOXB13 hsa:10481
HR hsa:55806
HSD17B8 hsa:7923
HSF4 hsa:3299
HSPB7 hsa:27129
HSPBAP1 hsa:79663
HTN1 hsa:3346
HTR7 hsa:3363
HTRA2 hsa:27429
IDH3B hsa:3420
IFNAR1 hsa:3454
IFT27 hsa:11020
IGF2 hsa:3481
IGFBP3 hsa:3486
IGSF10 hsa:285313
IGSF9B hsa:22997
IK hsa:3550
IK hsa:3783
IMMT hsa:10989
IMP3 hsa:10643
IMP3 hsa:55272
IMP3 hsa:84888
IMPAD1 hsa:54928
IMPDH2 hsa:3615
ING4 hsa:51147
INHBA hsa:3624
INTS13 hsa:55726
INTS6L hsa:203522
IQCJ hsa:654502
IRF3 hsa:3661
ISG20L2 hsa:81875
ITFG2 hsa:55846
ITGAM hsa:3684
ITGB1BP2 hsa:26548
ITIH2 hsa:3698
JUNB hsa:10535
JUNB hsa:3726
KAT5 hsa:10524
KCNA3 hsa:3738
KCNA4 hsa:3739
KCND3 hsa:3752
KCNE3 hsa:10008
KCNJ13 hsa:3769
KCNK17 hsa:89822
KCTD12 hsa:115207
KCTD20 hsa:222658
KDM1A hsa:23028
KDSR hsa:2531
KHDRBS2 hsa:202559
KIAA1257 hsa:57501
KIF13B hsa:23303
KIRREL2 hsa:84063
KL hsa:9365
KLB hsa:152831
KLF6 hsa:1316
KLF8 hsa:11279
KLHDC8B hsa:200942
KLHL42 hsa:57542
KLK10 hsa:5655
KLRC3 hsa:3823
KRI1 hsa:65095
KRTAP5-9 hsa:3846
KRTAP5-9 hsa:387266
KRTCAP3 hsa:200634
L1TD1 hsa:54596
L3MBTL2 hsa:83746
LAG3 hsa:3902
LAMC3 hsa:10319
LAMTOR2 hsa:28956
LAS1L hsa:81887
LBHD1 hsa:79081
LCK hsa:3932
LCMT1 hsa:51451
LEMD3 hsa:23592
LENG8 hsa:114823
LEPROTL1 hsa:23484
LGMN hsa:5641
LGSN hsa:51557
LHFPL5 hsa:222662
LIG1 hsa:26018
LIG1 hsa:3978
LIMA1 hsa:51474
LIMD1 hsa:8994
LIMS4 hsa:100288695
LIMS4 hsa:96626
LMAN2L hsa:81562
LMNTD2 hsa:256329
LONRF1 hsa:91694
LOX hsa:4015
LPAR6 hsa:10161
LPIN2 hsa:9663
LPP hsa:4026
LRP2 hsa:4036
LRP6 hsa:4040
LRP8 hsa:7804
LRRC15 hsa:131578
LRRC25 hsa:126364
LRRC27 hsa:80313
LRRC49 hsa:54839
LRRC56 hsa:115399
LRRC8B hsa:23507
LRRN4 hsa:164312
LRRN4 hsa:4034
LRRN4CL hsa:221091
LSMEM2 hsa:132228
LTA hsa:4049
LUC7L hsa:55692
LYG1 hsa:129530
LYRM2 hsa:57226
MAD2L1BP hsa:9587
MADCAM1 hsa:8174
MAGEA4 hsa:4103
MAGED4B hsa:81557
MAN1A1 hsa:4121
MAP1A hsa:23173
MAP1A hsa:4130
MAP2K2 hsa:5605
MAP3K21 hsa:84451
MBTPS2 hsa:51360
MCC hsa:4163
MCCC1 hsa:56922
MCPH1 hsa:79648
MDH1 hsa:4190
MDP1 hsa:145553
MDP1 hsa:5428
MED18 hsa:54797
MED27 hsa:9442
MEGF11 hsa:84465
MEGF9 hsa:1955
METTL17 hsa:64745
METTL2B hsa:55798
MFSD14C hsa:84278
MFSD9 hsa:84804
MGAT5 hsa:4249
MICA hsa:100507436
MID2 hsa:11043
MIEF1 hsa:54471
MMP1 hsa:4312
MMP13 hsa:4322
MMS19 hsa:64210
MOB1B hsa:92597
MON1B hsa:22879
MPP6 hsa:10200
MPP6 hsa:51678
MRPL10 hsa:124995
MRPL20 hsa:55052
MRPL21 hsa:219927
MRPL27 hsa:51264
MRPL27 hsa:64975
MRPS15 hsa:64960
MRPS23 hsa:51649
MRPS31 hsa:10240
MRPS5 hsa:64969
MSH5 hsa:4439
MST1R hsa:4486
MTDH hsa:92140
MTERF2 hsa:80298
MTFP1 hsa:51537
MTMR9 hsa:66036
MTRNR2L1 hsa:100462977
MTRNR2L10 hsa:100463488
MTRNR2L4 hsa:100463285
MTRNR2L6 hsa:100463482
MTRNR2L8 hsa:100463486
MUC13 hsa:56667
MYC hsa:4609
MYL5 hsa:4636
MYLK3 hsa:91807
MYO5B hsa:4645
NAA10 hsa:8260
NACA hsa:4666
NADSYN1 hsa:55191
NANOG hsa:79923
NAPRT hsa:93100
NAPSA hsa:9476
NBAS hsa:51594
NBEAL2 hsa:23218
NCAPD3 hsa:23310
NCR3LG1 hsa:374383
ND2 hsa:4536
ND4L hsa:4539
ND5 hsa:4540
NDST2 hsa:8509
NDUFB11 hsa:54539
NDUFB9 hsa:4715
NDUFS3 hsa:4722
NECAP2 hsa:55707
NEFM hsa:4741
NELL2 hsa:4753
NEUROD1 hsa:4760
NFATC2 hsa:4773
NFKBIZ hsa:64332
NFYA hsa:4800
NHLH1 hsa:4807
NID2 hsa:22795
NINL hsa:22981
NIPAL4 hsa:348938
NIPSNAP1 hsa:8508
NKX2-8 hsa:26257
NLN hsa:57486
NMRK2 hsa:27231
NMU hsa:10874
NOMO2 hsa:283820
NONO hsa:4841
NOP2 hsa:4839
NPIPA1 hsa:642799
NPIPA1 hsa:9284
NPIPA5 hsa:100288332
NPIPA7 hsa:101059938
NPIPA7 hsa:101059953
NPIPA8 hsa:101059938
NPIPA8 hsa:101059953
NPIPB15 hsa:440348
NPIPB6 hsa:728741
NPR2 hsa:10641
NPR2 hsa:4882
NPRL2 hsa:10641
NPW hsa:283869
NQO1 hsa:1728
NR5A2 hsa:2494
NRDC hsa:4898
NRG1 hsa:3084
NRG4 hsa:145957
NSUN3 hsa:63899
NSUN4 hsa:387338
NTAN1 hsa:123803
NTPCR hsa:84284
NUBP1 hsa:10101
NUBP1 hsa:4682
NUBPL hsa:80224
NUDT2 hsa:318
NUP85 hsa:79902
NUP88 hsa:4927
NUP93 hsa:9688
NVL hsa:4931
NXF2 hsa:56001
NXF3 hsa:56000
NXPE3 hsa:91775
NXT1 hsa:29107
OARD1 hsa:221443
OGFR hsa:11054
OLAH hsa:55301
OR10AD1 hsa:121275
OR2AK2 hsa:391191
OR3A2 hsa:4995
ORM1 hsa:5004
ORMDL1 hsa:94101
OSBPL10 hsa:114884
OSGIN1 hsa:29948
OSR1 hsa:130497
OSR1 hsa:9943
OSTM1 hsa:28962
OTOF hsa:9381
OTOL1 hsa:131149
OTOR hsa:56914
OTUB2 hsa:78990
OTULIN hsa:90268
OXSM hsa:54995
PAAF1 hsa:80227
PABPN1 hsa:8106
PAG1 hsa:55824
PANX1 hsa:24145
PARP16 hsa:54956
PARVB hsa:29780
PAX5 hsa:5079
PAX6 hsa:5080
PAX9 hsa:5083
PCCA hsa:5095
PCDHB13 hsa:56123
PCDHGA11 hsa:56105
PCDHGA12 hsa:26025
PCDHGA5 hsa:56110
PCDHGB5 hsa:56101
PCDHGB7 hsa:56099
PCM1 hsa:4152
PCM1 hsa:5108
PCYT1A hsa:5130
PDE9A hsa:5152
PDP2 hsa:57546
PDRG1 hsa:81572
PEAK1 hsa:79834
PECAM1 hsa:5175
PEF1 hsa:553115
PET100 hsa:100131801
PFDN5 hsa:5204
PGR hsa:5241
PHKA1 hsa:5255
PIEZO2 hsa:63895
PIGA hsa:5277
PIGW hsa:284098
PIH1D1 hsa:55011
PIK3AP1 hsa:118788
PIK3R1 hsa:5295
PIK3R4 hsa:30849
PKD1L3 hsa:342372
PKD2L1 hsa:9033
PKHD1 hsa:5314
PKP1 hsa:5317
PLEKHA1 hsa:59338
PLEKHB2 hsa:55041
PLGLB1 hsa:5343
PLXNB1 hsa:5364
PNISR hsa:25957
POLG hsa:5428
POLH hsa:5429
POLR1A hsa:25885
POLR1C hsa:51082
POLR1C hsa:9533
POLR2G hsa:5436
POLRMT hsa:5442
POU1F1 hsa:5449
PP2D1 hsa:151649
PPFIBP1 hsa:8496
PPIE hsa:10450
PPOX hsa:3060
PPOX hsa:5498
PPP1R12B hsa:4660
PPP1R13L hsa:10848
PPP1R18 hsa:170954
PPP2CA hsa:5515
PPP2R3B hsa:28227
PPP5C hsa:5536
PRDM4 hsa:11108
PRICKLE1 hsa:144165
PRICKLE4 hsa:29964
PRKAA1 hsa:5562
PRKAB1 hsa:5564
PRKAR2A hsa:5576
PRKD2 hsa:25865
PRKDC hsa:5591
PRL hsa:5617
PRMT7 hsa:54496
PRMT8 hsa:56341
PRODH hsa:5625
PROKR2 hsa:128674
PRPF3 hsa:9129
PRPF40B hsa:25766
PRPF6 hsa:24148
PRPF8 hsa:10594
PRR14 hsa:78994
PRR3 hsa:25945
PRR3 hsa:80742
PSMA7 hsa:5688
PSMD13 hsa:5719
PSMD4 hsa:5710
PSME2 hsa:5721
PSTK hsa:118672
PSTPIP1 hsa:9051
PTCHD1 hsa:139411
PTDSS1 hsa:9791
PTK7 hsa:5754
PTPN18 hsa:26469
PTRHD1 hsa:391356
PVR hsa:5817
PWP2 hsa:5822
QARS hsa:2058
QARS hsa:5859
QRICH2 hsa:84074
R3HCC1L hsa:27291
RAB26 hsa:25837
RAB3GAP2 hsa:25782
RAB3IL1 hsa:5866
RAB3IP hsa:117177
RAD21L1 hsa:642636
RAD51D hsa:5892
RAD9B hsa:144715
RAET1G hsa:353091
RAPH1 hsa:65059
RASD2 hsa:23551
RASGRP3 hsa:25780
RBFOX1 hsa:54715
RBM45 hsa:129831
RBM6 hsa:10180
RCAN1 hsa:1827
RCL1 hsa:10171
RDH5 hsa:5959
REXO4 hsa:57109
RFXANK hsa:8625
RGP1 hsa:400966
RGP1 hsa:9827
RHOBTB3 hsa:22836
RHOH hsa:399
RNASEH1 hsa:246243
RNASEH2C hsa:84153
RNASET2 hsa:8635
RNF130 hsa:55819
RNF167 hsa:26001
RNF17 hsa:56163
RNF223 hsa:401934
