LRIG3 hsa:121227 
LRRC27 hsa:80313 
LRRC57 hsa:255252 
LRRN1 hsa:4034 
LRRN1 hsa:57633 
LRTOMT hsa:220074 
LSR hsa:51599 
LTBP4 hsa:8425 
LTV1 hsa:84946 
LZTFL1 hsa:54585 
LZTS2 hsa:84445 
MAD2L1BP hsa:9587 
MAK hsa:4117 
MAK hsa:57538 
MAK16 hsa:84549 
MAN2A1 hsa:4124 
MAN2B1 hsa:4125 
MAP2K7 hsa:5609 
MAP3K20 hsa:51776 
MAPK12 hsa:6300 
MARF1 hsa:9665 
MBD6 hsa:114785 
MBNL3 hsa:55796 
MCM8 hsa:84515 
MCTS1 hsa:28985 
MDFI hsa:4188 
MDFIC hsa:29969 
MDGA1 hsa:266727 
MEGF11 hsa:84465 
MEGF6 hsa:1953 
MEIOB hsa:254528 
MERTK hsa:10461 
METAP2 hsa:10988 
METTL17 hsa:64745 
METTL3 hsa:56339 
MFSD2A hsa:84879 
MGMT hsa:4255 
MID1 hsa:4281 
MID1 hsa:4350 
MME hsa:4311 
MME hsa:4321 
MOGS hsa:7841 
MORF4L1 hsa:10933 
MORF4L2 hsa:9643 
MPC2 hsa:25874 
MPP5 hsa:64398 
MRI1 hsa:84245 
MRPL19 hsa:9801 
MRPL28 hsa:10573 
MRPL28 hsa:51263 
MRPL50 hsa:54534 
MRPL54 hsa:116541 
MSANTD3 hsa:91283 
MSH2 hsa:4436 
MSH5 hsa:4439 
MSRB3 hsa:253827 
MT2A hsa:4502 
MTA1 hsa:9112 
MTMR10 hsa:54893 
MTRF1 hsa:9617 
MYBBP1A hsa:10514 
MYO18B hsa:84700 
MYOM2 hsa:9172 
NAA16 hsa:79612 
NABP2 hsa:79035 
NADK hsa:65220 
NANP hsa:140838 
NAP1L1 hsa:4673 
NARF hsa:26502 
NARF hsa:51444 
NAT10 hsa:55226 
NBEAL2 hsa:23218 
NBPF12 hsa:149013 
NBPF14 hsa:25832 
NBPF26 hsa:101060684 
NDUFA1 hsa:4694 
NDUFA12 hsa:55967 
NDUFA6 hsa:4700 
NDUFA9 hsa:4704 
NET1 hsa:10103 
NET1 hsa:10276 
NET1 hsa:55119 
NET1 hsa:6530 
NET1 hsa:9152 
NEUROD4 hsa:58158 
NEXN hsa:91624 
NFATC2IP hsa:84901 
NFKB1 hsa:4790 
NFS1 hsa:9054 
NFU1 hsa:27247 
NFYB hsa:4801 
NHLH2 hsa:4808 
NHLRC2 hsa:374354 
NID2 hsa:22795 
