RAI14 hsa:26064
RAP2A hsa:5911
RASD2 hsa:23551
RBM43 hsa:375287
RCN3 hsa:11123
RCN3 hsa:57333
REEP4 hsa:80346
RGMA hsa:56963
RGPD1 hsa:400966
RGS7 hsa:6000
RHEBL1 hsa:121268
RHOU hsa:58480
RIC3 hsa:79608
RNASEL hsa:6041
RNF112 hsa:7732
RNF141 hsa:50862
RNF207 hsa:388591
ROBO1 hsa:6091
ROBO2 hsa:6092
RPE65 hsa:6121
RSG1 hsa:79363
RSPH1 hsa:89765
RTN4IP1 hsa:84816
SAMD8 hsa:142891
SCARA3 hsa:51435
SCD hsa:6319
SCD5 hsa:79966
SCG5 hsa:6447
SCLT1 hsa:132320
SCN1B hsa:6324
SCN4B hsa:6330
SCPEP1 hsa:59342
SDC3 hsa:9672
SEMA3A hsa:10371
SEMA4B hsa:10509
SEPW1 hsa:6415
SERPINB1 hsa:1992
SESN1 hsa:27244
SEZ6 hsa:124925
SFXN5 hsa:94097
SGMS1 hsa:259230
SH2D4B hsa:387694
SH3BP2 hsa:6452
SH3GL2 hsa:6456
SHROOM3 hsa:57619
SIPA1L2 hsa:57568
SIPA1L3 hsa:23094
SKIL hsa:6498
SLC15A2 hsa:6565
SLC17A6 hsa:57084
SLC1A2 hsa:6506
SLC1A3 hsa:6507
SLC25A24 hsa:29957
SLC25A45 hsa:283130
SLC38A3 hsa:10991
SLC41A2 hsa:84102
SLC45A1 hsa:50651
SLC4A10 hsa:57282
SLC4A3 hsa:6508
SLC4A4 hsa:8671
SLC6A1 hsa:6529
SLC6A15 hsa:55117
SLC6A9 hsa:6536
SLC7A8 hsa:23428
SLFN11 hsa:91607
SLITRK6 hsa:84189
SMARCA1 hsa:6594
SMARCD3 hsa:6604
SNX10 hsa:29887
SOCS5 hsa:9655
SORCS3 hsa:22986
SOSTDC1 hsa:25928
SOX6 hsa:55553
SOX9 hsa:6662
SPOCK1 hsa:6695
SPON1 hsa:10418
SPRN hsa:503542
SPSB2 hsa:84727
SPTB hsa:6710
SRCRB4D hsa:136853
ST3GAL6 hsa:10402
ST5 hsa:6764
ST8SIA5 hsa:29906
STAC3 hsa:246329
STAT5A hsa:6776
STK17B hsa:9262
STK32C hsa:282974
STX12 hsa:23673
STX3 hsa:6809
STXBP2 hsa:6813
SV2A hsa:9900
SYCE1L hsa:100130958
SYDE2 hsa:84144
SYT17 hsa:51760
TAP2 hsa:266629
TAP2 hsa:6891
TAPBPL hsa:55080
TBC1D12 hsa:23232
TCEA3 hsa:6920
TCF7L2 hsa:6934
TCIRG1 hsa:10312
TCP10L hsa:140290
TEX22 hsa:647310
THRA hsa:7067
TIMP4 hsa:7079
TLR6 hsa:10333
TM7SF2 hsa:7108
TMEM132E hsa:124842
TMEM150C hsa:441027
TMEM54 hsa:113452
TMEM59L hsa:25789
TMEM63A hsa:9725
