SERPINI1 hsa:5274
SESN1 hsa:27244
SETBP1 hsa:26040
SFRP2 hsa:6423
SGCG hsa:6445
SGEF hsa:26084
SH3BP5 hsa:9467
SH3GL2 hsa:6456
SH3KBP1 hsa:30011
SIPA1L2 hsa:57568
SLAIN1 hsa:122060
SLAIN2 hsa:57606
SLC12A4 hsa:6560
SLC16A9 hsa:220963
SLC25A12 hsa:8604
SLC30A10 hsa:55532
SLC34A2 hsa:10568
SLC35D1 hsa:23169
SLC35D2 hsa:11046
SLC38A3 hsa:10991
SLC39A12 hsa:221074
SLC41A2 hsa:84102
SLC44A1 hsa:23446
SLC44A5 hsa:204962
SLC47A2 hsa:146802
SLC4A4 hsa:8671
SLC6A9 hsa:6536
SLFN5 hsa:162394
SLIT2 hsa:9353
SLMO2 hsa:51012
SMC5 hsa:23137
SMYD3 hsa:64754
SNORA41 hsa:619569
SNORA49 hsa:677829
SNORD109A hsa:338428
SNORD113-3 hsa:767563
SNORD114-3 hsa:767579
SNORD36B hsa:26814
SNORD52 hsa:26797
SNRPG hsa:6637
SOBP hsa:55084
SOCS2 hsa:8835
SORD hsa:6652
SOX2 hsa:6657
SOX6 hsa:55553
SPARCL1 hsa:8404
SPOCK3 hsa:50859
SPON1 hsa:10418
SPP1 hsa:30827
SPP1 hsa:6696
SPRY4 hsa:81848
SPTAN1 hsa:6709
SPTB hsa:6710
ST7 hsa:29967
ST7 hsa:7982
STAC hsa:6769
STK24 hsa:8428
STMN4 hsa:81551
STOX2 hsa:56977
STXBP5 hsa:134957
SV2C hsa:22987
SYNM hsa:23336
SYTL2 hsa:54843
TACR1 hsa:6869
TAF1C hsa:9013
TANC1 hsa:85461
TAS2R4 hsa:50832
TC2N hsa:123036
TCEA3 hsa:6920
TCF4 hsa:6925
TCF4 hsa:6934
THBS4 hsa:7060
THSD7A hsa:221981
THUMPD2 hsa:80745
TIMP2 hsa:7077
TLE1 hsa:7088
TLE3 hsa:7090
TM7SF2 hsa:7108
TMEM132A hsa:54972
TMEM185B hsa:79134
TNFAIP3 hsa:7128
TNFRSF11B hsa:4982
TOX hsa:9760
TOX3 hsa:27324
TPST1 hsa:8460
TRAF3IP2 hsa:10758
TRIB1 hsa:10221
TRIM68 hsa:55128
TRPS1 hsa:7227
TSC22D2 hsa:9819
TSPAN12 hsa:23554
TST hsa:100131187
TST hsa:7263
TTC6 hsa:319089
TTYH2 hsa:94015
TYRO3 hsa:7301
UBQLN4 hsa:56893
UCP2 hsa:7351
UNC5C hsa:8633
URB1 hsa:9875
VAMP1 hsa:6843
VASH1 hsa:22846
VASH2 hsa:79805
VEGFC hsa:7424
VGLL3 hsa:389136
VWA5A hsa:4013
WASF2 hsa:10163
WBSCR17 hsa:64409
WNT2B hsa:7482
WNT3 hsa:7473
WNT7A hsa:7476
WT1 hsa:7490
WWP1 hsa:11059
XRRA1 hsa:143570
ZBTB16 hsa:7704
ZDHHC14 hsa:79683
ZFHX3 hsa:463
ZFP36L1 hsa:677
ZIC2 hsa:7546
ZIC4 hsa:84107
ZIC5 hsa:85416
ZMAT4 hsa:79698
ZNF124 hsa:7678
ZNF154 hsa:7710
ZNF217 hsa:7764
ZNF295 hsa:49854
ZNF423 hsa:23090
ZNF436 hsa:80818
ZNF536 hsa:9745
ZNF583 hsa:147949
ZNF616 hsa:90317
ZNF618 hsa:114991
ZNF626 hsa:199777
ZNF737 hsa:100129842
ZNF823 hsa:55552
ZNF841 hsa:284371
ZYG11A hsa:440590
