EZR	hsa:7430
WNT3	hsa:7473
WNT7A	hsa:7476
WNT2B	hsa:7482
WT1	hsa:7490
ZIC2	hsa:7546
SNORD113-3	hsa:767563
SNORD114-3	hsa:767579
ZNF124	hsa:7678
CA11	hsa:770
ZBTB16	hsa:7704
ZNF154	hsa:7710
ZNF217	hsa:7764
LAP3	hsa:7852
TMEM185B	hsa:79134
RNASEH2B	hsa:79621
FAT4	hsa:79633
ZDHHC14	hsa:79683
GAL3ST4	hsa:79690
ZMAT4	hsa:79698
VASH2	hsa:79805
ST7	hsa:7982
CATSPERB	hsa:79820
PAQR6	hsa:79957
PHF17	hsa:79960
LRRTM4	hsa:80059
FRAS1	hsa:80144
EFHD1	hsa:80303
THUMPD2	hsa:80745
CMIP	hsa:80790
ZNF436	hsa:80818
STMN4	hsa:81551
SPRY4	hsa:81848
AXIN2	hsa:8313
CASP1	hsa:834
CHST9	hsa:83539
HIST1H4D	hsa:8360
FAM107B	hsa:83641
CRISPLD1	hsa:83690
KCTD10	hsa:83892
EIF2A	hsa:83939
IMMP2L	hsa:83943
PIP5K1B	hsa:8395
KREMEN1	hsa:83999
SPARCL1	hsa:8404
SLC41A2	hsa:84102
ZIC4	hsa:84107
CEP78	hsa:84131
STK24	hsa:8428
C9orf125	hsa:84302
MAML2	hsa:84441
MEGF10	hsa:84466
TPST1	hsa:8460
KIRREL3	hsa:84623
CAT	hsa:847
GPT2	hsa:84706
LNX1	hsa:84708
PSRC1	hsa:84722
MFSD2	hsa:84879
ATOH8	hsa:84913
PRSS12	hsa:8492
ATG4C	hsa:84938
DISP1	hsa:84976
PIK3R3	hsa:8503
IFITM1	hsa:8519
DGKE	hsa:8526
ZIC5	hsa:85416
DOCK7	hsa:85440
LRRCC1	hsa:85444
TANC1	hsa:85461
CAV2	hsa:858
SLC25A12	hsa:8604
RUNX1T1	hsa:862
UNC5C	hsa:8633
AKR1C3	hsa:8644
ALDH4A1	hsa:8659
SLC4A4	hsa:8671
B3GALT1	hsa:8708
ACTN2	hsa:88
NRP2	hsa:8828
SOCS2	hsa:8835
KAT2B	hsa:8850
RAB7L1	hsa:8934
FGD3	hsa:89846
KALRN	hsa:8997
CCNG1	hsa:900
FAM181A	hsa:90050
TAF1C	hsa:9013
ZNF616	hsa:90317
ERI1	hsa:90459
C6orf142	hsa:90523
C16orf93	hsa:90835
MYT1	hsa:9088
DDX60L	hsa:91351
NET1	hsa:9152
ANKRD44	hsa:91526
NEXN	hsa:91624
BOC	hsa:91653
MAP3K13	hsa:9175
LRAT	hsa:9227
DLGAP1	hsa:9229
NOG	hsa:9241
CYTSB	hsa:92521
CACNA2D2	hsa:9254
MFHAS1	hsa:9258
CD9	hsa:928
