InputTerm,Symbol,GHIDs,GHtype,NumGenesAway,OtherGeneTargets,Score,Sources,TFBSs,TSSdistance
AGXT2L1,ETNPPL,GH04J108899,Enhancer,7,lnc-OSTC-6||RF00017-4385||lnc-ETNPPL-2||COL25A1,0.1195961,Ensembl,RFX1,-137247
AGXT2L1,ETNPPL,GH04J108982,Enhancer,8,piR-47162-108||RF00017-4385||COL25A1||lnc-ETNPPL-2,0.07734232,CraniofacialAtlas,ZIC2||ZNF561||ZBTB44||TCF7L2||ZXDB||TSHZ1||OSR2||ZNF580||BCL11A||WT1||OVOL3||ZNF610||PRDM4||ZNF213||ZNF18||ZNF843||FEZF1||BCL11B||PRDM6||TRIM28||ZNF24||ZBTB33||ZBTB12||INSM2||GFI1B||CTBP1||SP7||PKNOX1||ZEB2,-219991
AGXT2L1,ETNPPL,GH04J108950,Enhancer,8,RF00017-4385||piR-47162-108||COL25A1||lnc-ETNPPL-2,0.0851749,Ensembl,NR2F2||RXRA,-187647
AGXT2L1,ETNPPL,GH04J108926,Enhancer,8,RF00017-4385||piR-47162-108||COL25A1||lnc-ETNPPL-2,0.09894338,Ensembl,,-163346
AGXT2L1,ETNPPL,GH04J108925,Enhancer,8,RF00017-4385||piR-47162-108||COL25A1||lnc-ETNPPL-2,0.09894338,Ensembl,,-162547
AGXT2L1,ETNPPL,GH04J108927,Enhancer,8,RF00017-4385||piR-47162-108||COL25A1||lnc-ETNPPL-2,0.09894338,Ensembl,,-163847
AGXT2L1,ETNPPL,GH04J109025,Enhancer,11,HE856226||piR-46847-183||SEC24B-AS1||COL25A1||lnc-ETNPPL-2,0.06230939,Ensembl||ENCODE,ZNF512||LEF1||IKZF1||JUND||PRDM1||MTA2||ZIC2||MTA1||ZNF24||DPF2||SOX6||GATAD2B||TCF12||EP300||CBX3||ZNF766||MTA3||TAF9B||FOXK2||HDAC2||ZNF585B||GATAD2A||PHB2||TBL1XR1||ZKSCAN1||EP400||TRIM24||NCOR1||MIER1||EHMT2||NFIC||WT1||STAT5A||BCOR||FOXM1||MNT||ZNF395||TAL1||ZFP91||VEZF1||PRDM10||NBN||NFE2||ZEB2||NFATC3||ZNF184||KLF16||MLLT1||SMARCA4||SMARCE1||ZMYM3||RNF2||CTCF||KDM1A||CHAMP1||TEAD4||CBFA2T2||CBFA2T3||ARID1B||CC2D1A||GTF2F1||PML||GMEB1,-263592
AGXT2L1,ETNPPL,GH04J109003,Enhancer,8,piR-47162-108||RF00017-4385||COL25A1||lnc-ETNPPL-2,0.06631348,Ensembl,HMBOX1||FOSL1||MEIS2||EGR2,-241847
AGXT2L1,ETNPPL,GH04J108940,Enhancer,8,RF00017-4385||piR-47162-108||COL25A1||lnc-ETNPPL-2,0.09486903,Ensembl,YY1||ZFHX2||CTCF||PRDM6||RAD21||EGR2||GLIS2,-177547
AGXT2L1,ETNPPL,GH04J109275,Enhancer,13,COL25A1||COL25A1-DT||lnc-ETNPPL-2||FJ601684-352,0.03017123,Ensembl,,-512347
AGXT2L1,ETNPPL,GH04J108953,Enhancer,8,RF00017-4385||piR-47162-108||COL25A1||lnc-ETNPPL-2,0.0829621,Ensembl,,-190947
AGXT2L1,ETNPPL,GH04J108955,Enhancer,8,RF00017-4385||piR-47162-108||COL25A1||lnc-ETNPPL-2,0.0829621,Ensembl,JUND||PKNOX1||EZH2||DPF2||TCF12||RFX1||NCOR1||FOSL1||CUX1||STAT5A||NFE2||ZEB2||MEIS2||MTA2||RNF2||DACH1||CBFA2T3||ARID1B||SP7||PML,-192447
AGXT2L1,ETNPPL,GH04J109095,Enhancer,12,HE856226||FJ601684-352||COL25A1||lnc-ETNPPL-2,0.05201815,Ensembl,,-333047
