GH17J007058	CREB1||ZNF629||IKZF1||ZNF692||REST||DPF2||SOX6||ZNF37A||TCF12||RBAK||CEBPB||SP1||ZNF639||HMBOX1||EGR1||ZNF10||TSHZ1||NR3C1||FOS||OSR2||JUN||BCL11A||NR2C2||ZNF217||ZKSCAN1||TRIM24||ATF2||JUND||FOSL1||CUX1||NCOR1||NR2F2||SALL2||NFIC||EP300||FOSL2||SIN3A||ZNF184||ZNF189||NR2F1||JUNB||ZNF335||ZNF384||ZFP69B||TAL1||NFIB||KLF17||HIC1||NR2F6||ZNF366||ZNF589||HDAC2||ATF3||PRDM6||ZNF324||ZNF660||POLR2A||ZNF24||KDM1A||ZEB2||ZFP37||MTA2||INSM2||SMARCE1||TCF7||TEAD4||ZNF362||CBFA2T2||GFI1B||ZNF652||CBFA2T3||ARID1B||SP7||ZSCAN21||ZBTB7A||BCL3||HDAC1||GLIS2||MAFK||ELF1||GATAD2B||IKZF2||SMARCA4||ZBTB33
GH17J007743	CTCF||PRDM10||ZNF629||ZNF692||JUND||FOXA1||PRDM1||ZNF143||PATZ1||REST||RAD21||TRIM22||ZNF600||ZNF561||ZNF792||CEBPB||ZBTB20||ZNF524||SMARCC1||ZXDB||ZKSCAN8||ZEB1||TSHZ1||RAD51||ZNF444||OSR2||JUN||RCOR1||ZBTB48||FOS||SMC3||ZBTB17||ATF2||FOSL1||MAX||DEK||EP300||FOSL2||SAP130||ZNF184||ZNF189||RFX5||GATA3||ZNF335||BHLHE40||STAT1||STAT3||ZNF213||ZFP69B||TCF7L2||KLF17||ZNF654||USF2||ZNF18||SMAD4||DPF2||ZNF366||SIN3A||FEZF1||CEBPG||ATF3||PRDM6||MAFK||ZNF660||TRIM28||MBD1||ZNF2||ZNF24||ARID4B||ZNF664||KLF10||MEIS2||YY1||MAFF||INSM2||CHD2||ZNF558||ZBTB21||ZNF362||ZNF384||CBFA2T2||SP7||CC2D1A||NR3C1||ZNF121||PKNOX1||ARID2||ZEB2
GH17J007728	JUND||PRDM1||FOSL2||CEBPB||FOS
GH17J007722	CEBPB
GH05J034011	ZNF121
GH05J034000	CREB1||ZNF629||RFX1||FOXA1||SP1||ZNF600||CEBPA||SCRT2||SP2||NFE2||FOXA2||ZNF316||MAFF||ATF3||YY1||MAFK||JUND||MAFG||ZNF184||FOXM1||ZNF335||NR2F1||TFAP4||HNF4A||NFIL3||RXRA||FOS||HLF||NFYC||BACH1||FOXA3||EMSY
GH05J034014	RNF2||EGR1||RUNX3||BMI1||NR2F1||JUNB||BATF||CREM
GH05J033997	CTCF||RAD21||SP1||CEBPB||YY1||SMC3||GABPA||ZBTB33||JUND||MAX||DEK||GATA3||RFX5||ZNF654||HNF4A||RXRA||NFIA||POLR2A||HNF4G||ATF3||ZNF143||TRIM22
GH05J034021	RUNX3||FOSL1||SPI1||BATF
GH05J033995	REST||ZNF766||CEBPB||CTBP1||MYC||EP400||CTCF||RAD21||CEBPG||ATF4||ATF3
GH05J033996	FOXA2||RFX5||SPI1||HNF4A||RXRA||RARA||NR2F6
GH05J033992	
GH05J034029	ATF7||ATF2||HNF4A||RXRA||SP1
GH05J034036	RFX1||CEBPB||PKNOX1||ATF2||CEBPG||PRDM6||ZNF362||BCL6B||SREBF1
GH05J034035	GATAD2A||SOX13||RCOR2||RXRB||CEBPA||TCF7||FOXA1||FOXA2||HHEX||CREM||FOXP1||SAP130||MIER3||ZGPAT||FOSL2||SMAD4||BCL6||HOMEZ||NFIL3||TCF7L2||THAP11||RARA||THRB||KDM1A||HMG20A||NR2F6||HDAC2||NR2F1||RAD21||SOX5||LCORL||ARID3A||EGR2||ELF1||GATA4||ELF3||FOXA3||MIXL1||PPARG||HMG20B||HNF1A||SP5||RXRA||ERF||RERE
GH05J034033	GATAD2A||RCOR2||SP1||CEBPA||SOX13||TCF7||FOXA2||YY1||GABPA||ZBTB33||KDM6A||JUND||CREM||ELF1||FOXP1||SAP130||ZGPAT||BCL6||HOMEZ||HNF4A||NFIL3||IKZF5||TCF7L2||RXRA||THAP11||RARA||KDM1A||NR2F6||REST||SOX5||HLF||FOXA1||ARID3A||ATF1||GATA4||ELF3||FOXA3||CEBPG||MIXL1||PPARG||ZNF644||HNF1A||ERF
GH05J034051	EZH2||JUND||ZBTB40||SMARCA4
GH05J033977	
GH05J033968	CTCF||POLR2A||SMARCA4||GATA2
GH05J034059	GATAD2A||REST||PRDM1||RXRB||SP1||CEBPA||FOXA2||ZNF585B||ATF3||YY1||GABPA||ZBTB33||JUND||NR2F2||FOXP1||RAD21||SMAD4||BCL6||HNF4A||NFIL3||RXRA||RARA||MAX||ATF2||HNF4G||HLF||FOXA1||CEBPG||CEBPB||PPARG
GH05J034076	ZNF629||ZNF561||CEBPB||ZNF366||ZNF843||PRDM6||ZSCAN21||PKNOX1
GH05J034124	
GH05J034082	
GH05J034109	
GH05J034122	
GH05J034129	SPI1
GH05J034220	ZSCAN4||ZNF335
GH05J034221	ZNF174||PKNOX1||TSHZ1||NFIC||ZNF513||PRDM6||MEIS2
GH05J034189	
GH05J034192	
GH05J034187	
GH05J034205	
GH05J034180	
GH05J034181	
GH05J034178	
GH05J034185	
GH05J034217	
GH05J034213	CEBPG||CEBPB||ATF2
GH05J034201	
GH05J034234	RFX1
GH05J034237	
GH05J034233	
GH05J034519	CTCF||LEF1||IKZF1||ZNF692||JUND||PRDM1||MTA2||PKNOX1||MTA1||REST||RAD21||TRIM22||DPF2||HDAC1||SOX6||TCF12||ZNF561||EP300||SOX13||CEBPB||MGA||TCF7||SP1||ZNF524||MTA3||CTBP1||NFE2||FOXK2||HDAC2||ZNF444||E2F5||ZNF316||FOXA2||JUN||PHB2||FOS||SMC3||MYC||TRIM24||NCOR1||FOSL1||MAFG||EHMT2||CUX1||DEK||NFIC||ZC3H8||STAT5A||RELA||FOSL2||KLF9||FOXM1||TFDP1||MAFK||ZNF592||NCOA1||NR2F1||TCF7L2||SKIL||TAL1||ZNF654||ATF4||ZFP91||BHLHE40||ZNF366||ATF3||NRF1||RARA||ZNF660||ZNF2||KDM1A||ZEB2||ZNF143||KLF10||BRF2||TEAD3||NR2F6||YY1||XRCC5||SMARCA4||SMARCE1||NANOG||MAFF||TBL1XR1||MAX||RB1||L3MBTL2||CHAMP1||TEAD4||ZNF701||NR4A1||CBFA2T2||FOXA3||POU5F1||ATF7||RNF2||NR2C1||DACH1||CAVIN1||CBFA2T3||MLLT1||ARID1B||SP7||CC2D1A||SP5||EMSY||ELF1||PML||ARID2
GH05J034529	REST||CBX3||ZNF23||TRIM28||NR2F2||NFIC||HDAC2||CEBPB||HLF||KDM1A||MLLT1
GH05J034531	ZNF629||PRDM1||PHF21A||EED||MNT||CEBPB||RUNX3||ZNF23||JUNB||BHLHE40||JUND||PRDM6||ATF2||ZNF660||KDM1A||IKZF1||ZBTB21||CHD1||CREM
GH04J103100	THRB
GH04J103091	CTCF||PRDM1||ZNF143||REST||RAD21||TCF12||IKZF2||TRIM22||YBX1||CEBPB||BCLAF1||FOXA2||ZNF592||SMC3||SCRT1||SAP130||ZNF384||SMARCA5||IRF4||EBF1||ZNF654||RB1||ATF2||THAP11||MTA3||RFX5||TARDBP||TCF7||HLF||ARID3A||ZNF362||MIXL1||ERF||KAT8
GH04J103106	
GH04J103155	SPI1||ZNF507
GH04J103134	
GH04J103136	SCRT2||CTCF||SPI1||JUN
GH04J103150	SP1||JUND||FOXA2||FOSL2||FOXA1||FOS||ZNF579
GH04J103153	
GH04J103152	FOXA1||FOXA2
GH04J103172	ZBTB40
GH04J103200	ZSCAN4||ZNF316||FOXA2||MAFF||MAFK||MAFG||SMAD4||EMSY
GH04J103223	TAL1||CBFA2T3
GH04J103302	FOXA1||GATA3||DPF2||FOS||SMARCE1
GH04J103306	TFE3||KMT2B||MNT||SOX13||FOXA2||SAP130||TFAP4||ARID4B||RBPJ||SP5
GH04J102584	IKZF2||DPF2||RUNX3||NBN||HDGF||IKZF1||NR2F1||JUNB||IRF4||BATF||EBF1||ATF2||TBX21||MTA2||TCF7||ZNF24||SPI1||MLLT1
GH04J103431	
GH04J102683	JUND||STAT3||ZNF143||ZSCAN4||PKNOX1||IKZF2||RCOR1||TRIM22||DPF2||SOX6||TCF12||EP300||RELA||EED||YBX1||ZSCAN29||CBX3||ZNF184||PAX8||HMBOX1||RELB||MTA3||CEBPB||CTBP1||RUNX3||FOXK2||POLR2A||HDAC2||ASH2L||BCLAF1||ZBTB40||CBFB||JUN||FOS||MEF2D||TRIM24||NCOR1||FOSL1||BCL11A||ARNT||NFIC||NBN||USF2||HDGF||TARDBP||IKZF1||FOSL2||FOXM1||JUNB||MNT||BHLHE40||IRF4||BATF||CREM||ZKSCAN1||TAL1||ATF3||STAT5A||ATF2||ID3||TBX21||ATF1||ZEB2||ATF7||MEIS2||NFATC1||MTA2||MAX||SMARCA4||ZNF217||KDM1A||ZNF24||TEAD4||NFE2L2||CBFA2T2||ZNF687||CBFA2T3||ARID1B||SPI1||ZKSCAN8||NR3C1||MLLT1||RAD51
GH04J102576	HLF
GH04J103372	
GH04J103374	NANOG
GH04J102574	GATAD2A||PKNOX1||SOX13||NR3C1||ZNF205||GATA3||DPF2||SPI1||STAT3||FOXA1||POLR2A||HMG20A||SOX5||FOXA3||PPARG
GH04J102554	RELA||ZIC2||IKZF2||TRIM22||ARID3A||DPF2||RELB||RUNX3||CTBP1||ZNF592||ZNF217||IKZF1||NR2F1||FOXA1||RCOR1||TBP||ATF2||TBX21||ATF7||MTA2||POLR2A||MLLT1
GH04J102546	RELA||IKZF2||EED||ARID3A||DPF2||RELB||RUNX3||GATAD2B||ZNF316||MAFK||BCL11A||ELF1||IKZF1||JUNB||IRF4||POLR2A||BATF||EBF1||TBL1XR1||ATF2||TBX21||ATF7||MTA2||SPI1
GH04J103451	FOS||JUND
GH04J102806	ZNF316||RBM22||MAFK||POLR2A||RAD51
GH04J102531	JUND||IKZF2||TRIM22||EED||ARID3A||DPF2||RELB||RUNX3||CBFB||FOS||BCL11A||IKZF1||BMI1||JUNB||IRF4||BATF||EBF1||ATF2||ZNF660||NFATC1||MTA2||MTA3||GATA3||TCF7||ZNF217||ZNF24||ZNF133||ZNF362||SP7||FOSL2||ZBED1||CREM
GH04J102517	POLR2A||SP1||CEBPB||ZNF316||MAFF||MAFK||RBM22||CEBPG||JUNB||SPI1||BATF||EBF1||BCL6||RXRA||MAX||HNF4A||HLF||TRIM24||EMSY
GH04J103401	IKZF2||FOSL2||TFAP4||JUND||SPI1||IKZF1
GH04J102627	JUND||ZSCAN4||PKNOX1||SP1||RUNX3||FOXA2||FOS||YY1||FOSL1||NFIC||FOSL2||JUNB||ZNF335||IRF4||BATF||HNF4A||ATF3||RXRA||ATF2||GLIS1||KDM1A||MAX||MEIS2||FOXA1||TEAD4||CBFA2T2||CBFA2T3||ARID1B||SP7||POLR2A||CREM
GH04J102610	POLR2A||SMARCA4
GH04J102606	POLR2A
GH04J103497	SP1||POLR2A||JUND||RELA||RCOR1||EED||DPF2||RUNX3||CTCF||ASH2L||BCLAF1||CBFB||JUN||TCF12||BCL11A||IKZF1||JUNB||IRF4||BATF||EBF1||TBL1XR1||STAT5A||ATF2||FOS||NFATC1||MTA3||TCF7||EZH2||ETV6||ZBED1||CREM||IKZF2
GH04J102437	GATAD2A||ZNF629||ZNF512||ZNF692||PRDM1||IRF2||SP1||CEBPA||SOX13||CEBPB||HMBOX1||NFE2||FOXK2||FOXA2||ZNF316||JUN||MAFF||ATF3||FOS||YY1||EP300||MAFK||ZBTB33||TEAD1||JUND||MAFG||MAX||FOXP1||SAP130||RFX5||CEBPG||STAT3||TBP||ZFP69B||USF2||SMAD4||ZNF366||TFAP4||HNF4A||RXRA||NFIA||ZNF398||NFE2L2||MEIS2||TEAD3||HMG20A||REST||ZNF518A||ZNF558||SOX5||ZBTB21||FOXA1||ZNF362||FOXA3||RAD21||CREB1||SP7||EMSY||POLR2A||ZEB2
