GH04J008546	MYC||NCOR1||IKZF1||ZNF592||ZIC2||REST||CTCF||ARNT||NBN||RAD21||SMC3||ELF1||YY1||ZNF316||NFE2||SKIL||ZFP91||PTBP1||PRDM10||CBX1||ETV1||HDAC2||MAFK||EP400||FOXA1||MAZ||MAFG||ZEB2||ZBTB33||NRF1||RLF||NR2F6||TEAD4||ZNF143||MAFF||NCOA3||ZBTB40||L3MBTL2||MEIS2||ZMYM3||HDAC1||DPF2||ARID1B||PHF20||GMEB1||CREB1||NR2C1||KLF1||GABPB1||CUX1||SMARCE1||ATF1||MNT||KDM1A||ATF3||DACH1||LEF1||ZNF24||GTF2F1||FOS||RNF2||EP300||CTBP1||HDGF||SOX6||NFRKB||ATF2||ZNF579||PKNOX1||TRIM22||MTA3||BCOR||ATF7||CBX3||CC2D1A||BRD9||HMBOX1||EGR1||SMARCA5||SCRT2||NR2F1||SMARCA4||MGA||EMSY||XRCC5||ZNF444
GH04J008557	
GH04J008556	CEBPA||TEAD2||CEBPB
GH04J008544	ZNF623||ZMYM3||BCOR||KDM1A
GH04J007821	NCOR1||ZNF600||ATF3||ZIC2||CEBPB||ZFP64||MAFF||SMAD4||SAP130||TAL1||RARA||TEAD3||ZNF843||SIN3A||JUND||SKIL||MAFK||PRDM6||BCL6||ATF1||SPI1||MYC||ETV1||FOXM1||MAX||BATF||HMG20A||ZNF384||TCF12||ZNF362||ATF4||TEAD4||ATF2||JUNB||GLIS1||ELF3||ZNF398||L3MBTL2||PRDM4||SP1||MEIS2||GATA2||TRIM28||DPF2||ARID1B||CREM||HNF1A||ZNF366||NFIL3||POLR2A||TBL1XR1||ZEB2||MNT||ZNF629||EGR2||OSR2||KLF16||PATZ1||CHD2||ZBTB17||SOX6||GLIS2||ATF7||SOX13||RNF2||ZNF707||EP300||RUNX3||ZNF501||MEF2D||FOS||ZFHX2||YY1||CBFA2T3||EGR1||HIC1||NR2F2||SMARCA4
GH04J007820	CTCF
GH04J007955	SP1||ZNF600||JUND||BCL11A||CEBPB||ZNF341||MAX||EP300||TBP||USF2||FOSL2||BHLHE40||IKZF1||POLR2A||PKNOX1||ZNF629||EGR2||FOS||IKZF2||RAD51||MTA2||ZBTB17||NBN||RUNX3||ARNT||USF1||NR2F2||RELB||ZFHX2||MAZ||MLLT1
GH04J007802	BCLAF1||ZNF654||SSRP1||JUND||CEBPA||CEBPB||REST||FOXA1||KLF11||TRIM22||ZFP64||HOMEZ||CTCF||ZNF217||EP300||THAP11||FOXA2||CTBP1||SMAD4||SAP130||RAD21||SMC3||ETV4||MIER3||RARA||YY1||DMAP1||GABPB1||TEAD3||ZSCAN9||THRB||SIN3A||CREM||TAL1||FOXP1||BCL6||MBD1||ATF1||ZNF205||KDM1A||MYRF||SOX5||PKNOX1||HMG20A||SCRT1||NRF1||HBP1||HHEX||HMG20B||MIER2||MAFF||ATF4||DPF2||NR2F6||TEAD4||ZNF143||TFAP4||NFIB||BHLHE40||ELF3||RXRB||IKZF5||CEBPG||PRDM4||SP1||NFIA||GATA2||ARID4B||KDM3A||HNF1A||ZNF580||SOX13||PPARG||NFIL3||E2F4||HLF||MNT||ATF3||FOXK2||EGR2||TGIF2||MIXL1||GATAD2A||ZNF24||TCF7||XRCC5||RFX1||IRF2||ELF1||CHD2||ZKSCAN8||KAT8||ETS1||CREB1||ZHX2||GABPA||RB1||SMARCA5||RCOR2||RERE||FOXA3||ZGPAT||RBFOX2||NR2F2||TFE3||FOS||ZFHX2||BRD9||ZBTB25||TEAD1||SCRT2||NR2F1||DNMT3B
GH15J078240	BCLAF1||ZNF654||CEBPA||CTCF||REST||CEBPB||DEK||TRIM22||RAD21||SMC3||SKIL||ZNF143||ZNF512B||ZFP37||ZNF384||ZHX1||CEBPG||ARID2||EGR2||ZNF24||XRCC5||YY1||RB1||CC2D1A||ZBTB20||EGR1||ZNF444
GH15J078242	IKZF1||ZNF592||NFIC||CTCF||RAD21||SMC3||TAL1||HDAC2||HNF4A||NR2F6||DPF2||NR2C1||CEBPB||EGR2||NR4A1||MNT||CBX3||ZNF335||NR2F1||SMARCA4
GH15J078246	TAL1||ZBTB33||TCF12||CBFA2T2||NCOR1||CBFA2T3
GH15J078248	
GH15J078257	
GH15J078260	PHF20
GH15J078223	MYC||IKZF1||MAFF||ZNF316||MAFK||ETV1||MAFG||ATF4||L3MBTL2||HLF||ATF3||TRIM24||CREB1||ATF7||EMSY||CEBPG
GH15J078221	ZFX
GH15J078209	ZNF600||JUND||ZNF10||ZIC2||CEBPB||FEZF1||ZNF639||ZNF341||ZEB1||MAX||ZNF217||EP300||SP2||TAL1||ZNF843||TCF7L2||FOSL2||NFE2||MYNN||KLF16||IRF9||SMARCA4||MYC||ZNF189||SMARCE1||ZNF8||PKNOX1||INSM2||ZFP37||ZNF24||MAFG||TCF12||ZNF664||ATF4||DPF2||MAFK||RFX1||ZBTB21||GLIS1||ZNF398||SP7||POLR2A||ZFP36||ZFP69B||MEIS2||GATA2||ZMYM3||ARID1B||JUNB||GMEB1||KLF10||CREB1||KLF1||ZNF366||ZBTB12||PHF21A||ZBTB8A||ZNF687||HLF||ZNF324||ZXDB||ZEB2||ATF3||ZSCAN21||ZNF629||ZNF692||KDM1A||ZNF660||YY1||ZFX||CBFA2T2||OSR2||XRCC5||FOS||PATZ1||ESRRA||RNF2||MTA1||CTBP1||MZF1||ZBTB17||SOX6||GLIS2||BCL11A||PRDM10||KLF8||BCOR||BMI1||ATF7||ZNF501||TSHZ1||MTA2||ZFHX2||ZNF423||ZNF184||KLF17||CBFA2T3||HIC1||SMARCA5||SREBF2||WT1||HDAC2
GH15J078203	ZIC2||GATA3||TCF7L2||ZNF217||PKNOX1||FOXA1||DPF2||GLIS1||ZNF768||ZFP36||ZMYM3||KDM1A||BCOR||HDAC2
