GH04J184833	ZNF600||USF1||ZNF623||ZBTB11||ZC3H11A||REST||ZFP64||POLR2A||SMARCA4||ATF2||ZNF781||ZNF518A||ZMYM3||MYC||HLF||MAX||ZNF697||PRDM12
GH04J184838	CREB1||GATAD2A||ATF7||ZNF629||LEF1||SOX13||IKZF1||NFKBIZ||JUND||FOXA1||MTA2||MTA1||RXRB||ZNF24||PBX2||CEBPA||ETS1||TCF7||MTA3||CTBP1||TGIF2||FOXA2||ZBTB25||ZBTB17||MBD1||TEAD1||ATF2||TARDBP||KDM6A||EHMT2||HHEX||CREM||FOXP1||TBX3||SAP130||ZNF189||GATA3||MIER3||NCOA1||ZGPAT||FOSL2||SMAD4||BCL6||DPF2||ZNF366||HLTF||CHD4||NFIL3||TCF7L2||IKZF5||ATF3||THAP11||RARA||NFIA||THRB||NBN||ATF1||KHSRP||ARID4B||KDM1A||MEIS2||JUN||TEAD3||HMG20A||NR2F6||SP3||NR2F1||RAD21||SOX5||ZBTB21||ARID3A||ZHX2||ZNF362||BHLHE40||FOXA3||SMC3||CEBPG||PPARG||ARID1B||HMG20B||ZNF644||HNF1A||SP5||KAT8||SMARCA4||RERE
GH04J184844	LEF1||IKZF1||MTA2||PKNOX1||NR2C1||BRD9||DPF2||HDAC1||GATAD2B||MGA||CBX3||ZNF766||HMBOX1||POLR2A||MTA3||CTBP1||TAF9B||HES1||HDGF||HDAC2||KDM4B||ZSCAN29||ZNF316||NFRKB||NR2C2||GABPA||MYC||EP400||TRIM28||NCOR1||FOSL1||EHMT2||ARNT||ZC3H8||STAT5A||HCFC1||TBP||ZNF644||FOXM1||MNT||TFDP1||NCOA1||NR2F1||SKIL||ZFP91||SMAD5||NR2F6||SUPT5H||ZNF589||ADNP||TAL1||FOXK2||NRF1||ETV1||TCF12||ID3||NBN||ZEB2||NFATC3||ZBTB33||MEIS2||SMARCA4||TAF7||SP1||TEAD2||SMARCE1||ZMYM3||RNF2||ZBTB40||KDM1A||GABPB1||CUX1||L3MBTL2||TEAD4||NR4A1||CEBPB||CBFA2T2||BACH1||ESRRA||ATF7||EGR1||POLR2B||TRIM24||CSDE1||CBFA2T3||MLLT1||ARID1B||GTF2F1||ZNF639||PML||GMEB1||ATF1
GH04J184841	
GH04J184807	HNRNPL||GATAD2A||REST||SOX13||ZNF7||JUND||ZSCAN4||RXRB||ZNF341||CEBPA||SCRT2||MNT||TCF7||ZNF639||EZH2||TGIF2||FOXA2||EP300||MAX||YY1||TEAD1||FOSL1||HHEX||CREM||FOXP1||NFIC||FOSL2||SAP130||MIER3||BHLHE40||ZGPAT||BCL6||SSRP1||SIN3A||MXI1||FEZF1||ATF3||THAP11||RARA||NFIA||ARID4B||KDM1A||HMG20A||NR2F6||INSM2||NR2F1||SOX5||HLF||ARID3A||TBP||SP1||ELF3||FOXA3||MLX||PPARG||CREB1||SP7||ZNF644||NR3C1||JUN
GH04J184845	FOXA1||RELA||IKZF2||PKNOX1||SOX13||RELB||RUNX3||ZNF316||FOXA2||MAFF||MAX||MAFK||MAFG||ARNT||USF2||IKZF1||NR2F1||POLR2A||ADNP||TAL1||TBX21||FOS||ATF7||MTA2||BHLHE40||SOX5||MNT||CBFA2T2||EMSY||PML||CREB1||RAD51
GH04J184810	SP1||ZNF341||FOXA2||JUND||HNF4A||EGR1||RXRA||ZBTB33||SMARCA4
GH04J184850	LARP7||RELA||IKZF2||EED||ARID3A||HMBOX1||DPF2||RELB||RUNX3||GATAD2B||CBFB||BCL11A||IKZF1||NR2F1||JUNB||IRF4||BATF||BCL6||RFX5||TBX21||MTA2||BHLHE40||CREM
GH04J184848	IKZF2||EED||RUNX3||BCLAF1||BCL11A||CTCF||IKZF1||JUNB||IRF4||BATF||ATF2||TBX21||ATF7||TARDBP||BHLHE40||SPI1||ETV6||CREM
GH04J184849	
