GH05J159073	POLR2A||EZH2
GH05J159072	EZH2
GH05J159031	ZNF341||SCRT1||IKZF1||EED||RUNX3||SCRT2
GH05J159032	CEBPG||YY1||ZNF207||CEBPB||NR2C1||RXRA||ASH2L||HNF4A||NR2F1||HDGF||REST||MAX||SP1||SPI1||EED||NR2F2||MLLT1
GH05J159165	
GH05J159021	ZNF341||MYC||MAX||GATA2||ZNF384||L3MBTL2||PKNOX1||CHD2||CEBPB||EZH2||NR2F2||ZSCAN5C||SCRT2
GH05J159174	PRDM1||ZNF217||GABPB1||IKZF1||SOX6
GH05J159053	RFX5||ZSCAN4||TARDBP||POLR2A
GH05J159027	GATA2||USF1
GH05J159170	PRDM6
GH05J159046	ZNF112
GH05J159005	ZNF362
GH05J159006	IKZF1
GH05J159188	ZNF592||JUND||ZNF316||NFE2||ZBTB40||FOXA1||MAFG||ZNF384||MAFK||MAFF||ZNF140||NFE2L2||MEF2D||SIN3A||EMSY
GH05J159193	ZNF707
GH05J159038	SMARCA5||SPI1||BATF||BHLHE40||IKZF1||ATF2||PKNOX1||CREB1||NFE2L2||ZNF687||IKZF2||YY1||RELB||RUNX3||CEBPB||FOS
GH05J159156	CTCF||REST||ZNF654||TRIM22||RAD21||SMC3||CBFB||ZEB2||SRF||ATF2||JUNB||ZNF143||SPI1||YY1||CTBP1||YBX1||RUNX3||CC2D1A||TEAD1||PRDM1||ZNF444||BCLAF1
GH05J159010	POLR2A||MAZ||RCOR1||CHD1||SMC3||ZNF316||EBF1||NFE2||MAX||TBP||ELF1||MAFG||HDGF||MTA3||ATF2||ATF4||BACH1||ZNF217||NKRF||TRIM28||PKNOX1||TBL1XR1||ARID3A||ATF3||ZNF687||YY1||ZBTB33||ZSCAN29||GATAD2B||BCOR||ELK1||MLLT1||BCLAF1
GH05J159014	RAD51
GH05J159162	JUND||PRDM6||MAFK||OSR2||EP300||FOS
GH05J159161	ATF2||MAFF||ZNF316||MAFK||MAFG||ATF7||EMSY
GH05J159017	ZIC2||NFIC||MAZ||ETS1||KLF9||ZNF316||ZBTB48||EHMT2||ELF1||HDGF||ZNF518A||MAFK||GABPB1||KLF1||ZNF202||IKZF1||SP3||ZNF692||PATZ1||IKZF2||NBN||ZKSCAN1
GH05J159177	JUND||ZNF600||HIC1||BCL11A||CEBPA||ZNF592||CEBPB||MNT||MAX||KLF7||EP300||FOXA2||SAP130||HOMEZ||MAFF||IRF4||STAT3||ZNF316||EBF1||TBP||SMAD4||ETV4||NFE2||TEAD3||MAFK||BCL6||CREM||ATF1||ZNF843||FOXP1||ZNF146||SPI1||PRDM6||ZNF318||BATF||ELF1||EP400||FOXK2||MYC||FOXA1||SOX5||MAFG||NFE2L2||HHEX||IKZF1||NFATC1||HMG20A||ZNF362||ATF2||JUNB||BHLHE40||GLIS1||TFAP4||POLR2A||ZNF217||DPF2||ELF3||SP7||CEBPG||HDAC1||ZNF366||TRIM28||KLF1||ZNF202||ARID1B||NFIL3||SMARCE1||HLF||ATF3||KDM1A||PKNOX1||MIXL1||NCOR1||EGR2||GATAD2A||FOS||ZNF629||TCF7||MTA2||OSR2||IKZF2||ZNF558||MZF1||ZBTB17||SOX13||SOX6||EED||ATF7||CBX3||NBN||RELB||KLF8||RUNX3||FOXA3||TSHZ1||ZNF121||RCOR2||ZSCAN29||ZFHX2||ZGPAT||MLLT1||SIN3A||TEAD1||EMSY||SMARCA4||ZNF335||WT1
GH05J159197	ZNF223||ZNF623||SMARCA5||ZNF433||SPI1||PRDM6||ELF1||ZC3H8||ZNF384||ZNF518A||ZC3H11A||PKNOX1||ZNF202||ZNF140||ARID3A||IKZF1||ZBTB8A||MTA2||YY1||ZNF266||IKZF2||RUNX3||ZBTB11||HMBOX1||WT1
GH05J159000	KLF17||NFIC||KLF7||FEZF1||KLF9||IRF4||BATF||FOXA1||ZNF362||JUNB||NFIB||KLF1||ZNF384||FOS||MAFK
GH05J158913	MTA2
