GH0XJ039751	CREB1||ATF7||PRDM10||ZNF629||ZNF692||JUND||ZIC2||MTA1||PATZ1||HDAC1||ZNF600||ZNF341||EP300||SCRT2||ZBTB44||SP1||ZNF639||SMARCC2||EGR1||ZNF10||ZXDB||CTBP1||ZBTB10||BRCA1||TAF9B||ZEB1||TSHZ1||HDAC2||CEBPB||ZNF585B||CHD2||JUN||YY1||ZNF318||ELK1||ZBTB17||TRIM24||ATF2||SCRT1||NCOR1||FOSL1||ZNF623||MAX||DEK||NFIC||WT1||ZFHX2||KLF8||ZNF189||RFX5||POLR2A||ELF1||NCOA1||BHLHE40||ZNF395||STAT3||ZBTB1||ZNF384||ZFP69B||ZNF584||TCF7L2||TAL1||RAD21||KLF17||USF2||CREM||GLI4||HIC1||DPF2||ZNF589||ZSCAN23||VEZF1||CEBPG||ATF3||ETV1||ZNF324||TCF12||NFIA||GLIS1||TRIM28||ATF1||ZNF398||KHSRP||ZNF24||KDM1A||KLF10||KLF16||MTA2||MAFF||SMARCA4||ZBTB12||INSM2||KLF1||SMARCE1||ZMYM3||ZBTB21||HLF||EGR2||TEAD4||CBFA2T2||GFI1B||ZNF148||CBFA2T3||ARID1B||ZBTB40||SP7||ZNF548||NR3C1||ZBTB8A||PML||ZEB2
GH0XJ039891	POLR2A||NR2C1||NR2F1||SPI1||EBF1||ZNF687||ETV6
GH0XJ040530	PRDM10||ZNF692||ZIC2||ZNF341||ARNT||ZBTB20||TCF7L2||ZXDB||OSR2||ZBTB48||ZBTB17||ZNF423||WT1||ZFHX2||ZNF335||ZNF610||PRDM4||ZFP69B||ZNF366||ZNF843||FEZF1||GLIS1||TRIM28||ZFX||ZNF133||EGR2||L3MBTL2||CTBP1||NCOA3||SP7||GLIS2||ZBTB8A||PKNOX1||LEF1
GH0XJ040471	PRDM10||ZNF692||FOXA1||PRDM1||ZIC2||REST||RAD21||SCRT2||ZBTB44||CTCF||ZBTB20||SP2||OSR2||ZBTB17||RFX5||WT1||ZNF335||ZFP69B||KLF17||ZNF366||GLIS1||MNT||L3MBTL2||RFXANK||MZF1||SP7
GH0XJ040467	PRDM10||ZNF629||CTCF||ZNF692||ZNF7||FOXA1||LARP7||PRDM1||REST||RAD21||TRIM22||ZNF600||ZNF341||PKNOX1||CEBPA||SOX13||ZBTB20||SP2||TGIF2||BCLAF1||FOXA2||OSR2||SMC3||ZBTB17||ATF2||TBX3||SAP130||ZNF189||ZNF335||ZNF654||ZNF366||TFAP4||CEBPB||VEZF1||FEZF1||GLIS1||TRIM28||KDM1A||XRCC5||JUND||SP3||SOX5||HLF||CEBPG||MZF1||SP7||ZSCAN21||ZNF644||SP5||ZBTB8A||ARID2
GH0XJ040473	CREB1||ZNF629||KDM1A||ZNF692||FOXA1||ZIC2||PKNOX1||POLR2A||PATZ1||ZNF600||ATF7||ZBTB20||SP2||ZNF639||ZNF10||ZXDB||RUNX3||ZBTB10||ZEB1||TSHZ1||OSR2||BCL11A||ZBTB48||ZBTB17||ZNF423||ATF2||WT1||KLF8||ZNF189||ZNF610||ZFP69B||NFIB||KLF17||HIC1||SIN3A||ZNF366||ZNF687||ZNF843||ATF3||ZNF324||GLIS1||KLF10||ZBTB12||SP3||INSM2||KLF1||CHD2||ZNF558||ZBTB21||MNT||EGR2||PRDM2||CTBP1||SREBF1||ZNF652||ZBTB6||SP7||JUND||GLIS2||ZBTB8A||ZEB2
GH0XJ040944	CREB1||ZNF629||IKZF1||JUND||PRDM1||PATZ1||IKZF2||SP1||DPF2||CEBPA||EED||CEBPB||RELB||NR3C1||FOS||JUN||NR2C2||ATF3||ZNF266||GTF2F1||FOSL1||BCL11A||MAX||NR2F2||EP300||FOSL2||BMI1||RFX5||ZNF335||SMC3||BHLHE40||BATF||ZNF366||TFAP4||HNF4A||RXRA||ZNF660||TBX21||NFE2||MTA2||MITF||SMARCE1||HNF4G||EGR1||RNF2||PPARG||ARID1B||SPI1||ZNF121||ETV6||SMARCA4
GH0XJ040538	CTCF||ZNF143||ZIC2||REST||TRIM22||SCRT2||YBX1||MGA||SP2||ZNF10||CEBPB||CTBP1||RUNX3||GATAD2B||OSR2||NR2C2||TCF12||ZBTB17||NBN||ZFHX2||BCOR||NR2F1||ZNF592||SPI1||BATF||TAL1||EBF1||ZNF654||ZNF18||NR2F6||VEZF1||ATF2||ETV1||ZNF2||POLR2A||RAD21||USF2||EGR2||TEAD4||NFE2L2||CBFA2T2||ZNF687||ESRRA||NR2C1||CBFA2T3||ZBTB8A
GH0XJ039872	ZFHX2||EGR2
GH0XJ040478	
GH0XJ040543	CTCF||LEF1||ZNF143||REST||RAD21||BRD9||TRIM22||DPF2||SOX6||TCF12||EP300||YBX1||ZSCAN29||TARDBP||UBTF||TCF7L2||RELB||CTBP1||ZNF444||FOXA2||PHB2||SMC3||AFF1||ZBTB17||EP400||TRIM24||NCOR1||NFIC||STAT5A||IKZF1||FOXM1||ZNF395||ZNF384||TAL1||FOXA1||ZNF654||ZFP91||HDAC2||HNF4A||VEZF1||PRDM6||TRIM28||FOS||MTA2||KLF16||SMARCA4||SMARCE1||TBL1XR1||KDM1A||TEAD4||CEBPB||CBFA2T2||FOXA3||GFI1B||ATF7||RNF2||GATA2||DACH1||CBFA2T3||ARID1B||NCOA3||CC2D1A||ZKSCAN8||PML||ARID2||ZNF83
GH0XJ039811	ZNF629||KDM1A||POLR2A||ZNF335||CREM||ZNF16||ATF3||CTCF||ATF1
GH0XJ040484	KDM1A||POLR2A||NRF1||USF1||BCOR||MEIS2||ZMYM3||ZNF280D
GH0XJ039870	IKZF1||JUND||ZIC2||PKNOX1||EED||HMBOX1||EGR1||RUNX3||FOSL1||NFYB||NFIC||MYNN||KLF17||CREM||BHLHE40||DPF2||PRDM10||GLIS1||ZEB2||ATF2||SMARCE1||CBFA2T2||CBFA2T3||ARID1B||IKZF2
GH0XJ040996	TEAD4||PRDM10||SIX5||ZNF692||JUND||ZNF143||REST||NR2C1||KAT8||GTF2F1||YY1||TOE1||ATF7||NONO||ZBTB20||FOXK2||CBX3||SP1||USF2||ZXDB||BHLHE40||BRCA1||NFE2||CEBPB||RAD51||NFRKB||BCLAF1||ZNF580||USF1||NR2C2||ZBTB48||ZBTB17||CHD1||ZNF217||MAX||HCFC1||NFYB||KLF8||TBP||ZNF335||ZNF592||ZNF610||PRDM4||ZFP69B||ZFP91||SUZ12||THAP11||ZEB2||ETS1||POLR2A||YY2||SP3||IKZF1||ZNF518A||ZNF350||GABPB1||NFYC||ZNF354B||ZNF362||CBFA2T2||CEBPG||CREB1||SP7
GH0XJ040793	CTCF||PRDM10||IKZF1||ZNF692||PRDM1||PATZ1||REST||RAD21||TRIM22||ZNF600||ZNF561||SCRT2||ZBTB20||SP1||ZXDB||CEBPB||RUNX3||NFE2||ZEB1||GATAD2A||ZNF444||ZNF316||BCLAF1||ZNF580||NR2C2||GABPA||YY1||SMC3||ZBTB17||EP400||ATF2||SCRT1||JUND||FOSL1||MAFG||EHMT2||ZBTB11||NFIC||ZC3H8||ZFHX2||ZNF184||ZNF335||ZNF592||ZNF213||ZNF654||ATF4||ZSCAN16||ZZZ3||DPF2||ZNF366||ZNF843||VEZF1||ZNF324||ZNF660||GLIS1||TRIM28||ZNF398||ZNF2||ZNF664||ZNF791||ZFP37||SP3||ZNF785||ZNF558||EGR2||BACH1||NFE2L2||GFI1B||CEBPG||ZNF143||RNF2||MIXL1||NR2C1||ZNF148||SP7||ZSCAN21||NFIB||GLIS2||EMSY||MAFK||ZBTB8A||ATF1
GH0XJ040560	RELA
GH0XJ039859	SP1||ZNF629||ZNF512||IKZF1||JUND||STAT3||RELA||TCF12||IKZF2||RCOR1||SOX6||EP300||SCRT2||EED||MGA||ELK1||DPF2||RELB||EGR1||CEBPB||CTBP1||RUNX3||GATAD2B||POLR2A||TCF7||ASH2L||BCLAF1||CBFB||NR2C2||ATF3||FOS||GABPA||MEF2D||ZNF318||SMC3||NCOR1||FOSL1||BCL11A||ARNT||NBN||ZFHX2||MYNN||NR2F1||JUNB||ZNF592||NCOA1||BHLHE40||SMARCA5||IRF4||BATF||EBF1||RAD21||CREM||MAZ||KLF5||NFATC3||TBL1XR1||RFX5||CEBPG||STAT5A||ATF2||ETV1||JUN||ID3||TRIM28||TBX21||ATF1||ZEB2||ATF7||MEIS2||NFATC1||MTA2||MAX||MTA3||SMARCE1||ZBTB21||ZNF217||MYC||GABPB1||EGR2||L3MBTL2||TEAD4||NR4A1||CBFA2T2||ZNF687||ZNF148||TRIM24||CBFA2T3||ARID1B||ZBTB40||ZKSCAN8||E2F1||ETV6||SMARCA4
GH0XJ040497	CTCF||RAD21
