GH0XJ040103	HNRNPL||PRDM10||LEF1||IKZF1||JUND||PRDM1||MTA2||ZIC2||RBFOX2||POLR2A||ZNF24||PATZ1||REST||SP1||BRD9||EZH2||DPF2||HDAC1||ZNF600||YY1||SOX6||ZNF341||ZFX||GATAD2B||TCF12||ZNF561||NRF1||ARNT||NONO||KLF9||MGA||ZBTB20||SP2||GTF2E2||TARDBP||CBX3||UBTF||ZNF639||TCF7L2||MTA3||EGR1||ZXDB||CTBP1||RUNX3||ZBTB10||ZBTB2||HES1||HDAC2||GATAD2A||KDM4B||CHD2||OSR2||NFRKB||BCL11A||PHB2||ZBTB48||GABPA||ZBTB26||AFF1||ZBTB17||MYC||ZNF423||EP400||TRIM24||TFDP1||SREBF2||NCOR1||FOSL1||MAX||MXI1||ELF1||MBD2||NFIC||CUX1||WT1||ZFHX2||KLF8||STAT5A||RELA||FOSL2||SIN3A||SAP130||TBP||ZNF644||ZNF189||HDAC8||ZNF335||ZNF592||ZNF610||GABPB1||SPI1||ZGPAT||ZBTB1||PRDM4||ZNF384||CBX5||ZNF213||ZFP69B||SAFB||ZNF584||SKIL||TAL1||NFIB||EBF1||RAD21||DRAP1||CREM||GLI4||HIC1||ZSCAN5A||SIN3B||CBX1||SMAD5||SMAD4||BCL6||NR2F6||SUPT5H||BHLHE40||ZNF589||ZNF687||HNF4A||ZNF843||MCM7||VEZF1||FEZF1||BRD4||MAZ||BCL11B||ATF3||ETV1||ID3||NFIA||GLIS1||ZNF398||ZNF2||ARID4B||KDM1A||NFATC3||KLF10||FOS||MEIS2||SMARCA4||YY2||MTA1||CTCF||KLF16||MLLT1||SP3||ZNF48||KLF1||SMARCE1||RNF2||ZBTB40||TBL1XR1||MNT||ZNF197||RB1||ZNF280D||ZNF579||EGR2||L3MBTL2||ZNF362||ZNF701||NR4A1||TAF1||ESRRA||ZNF652||GATA2||CBFA2T3||ARID1B||SP7||BCL3||HNF1A||GLIS2||RXRA||ZBTB8A||PKNOX1||PML||GMEB1||ATF1||ZNF83||ZEB2
GH0XJ040104	PRDM10||PKNOX1||EZH2||ZNF600||ZNF341||NRF1||MGA||UBTF||MTA3||EGR1||CTBP1||HDAC2||AFF1||EP400||FOSL1||CUX1||ZNF644||ZNF592||HIC1||DPF2||POLR2A||KDM1A||ZBTB33||MEIS2||KLF1||L3MBTL2||ARID1B||GMEB1
GH0XJ040248	KDM1A||SOX6||FOXJ2||NFIC||TAL1||ADNP||CBFA2T3||SMARCA5||NFIB
GH0XJ040278	RFX1||ZNF692||FOXA1||ZIC2||REST||FOXJ2||ZBTB20||RUNX3||HDAC2||ZNF585B||ZNF316||OSR2||MAFF||ZNF423||ATF2||ZNF623||MAFG||BCOR||GATA3||MAFK||ATF4||ADNP||ATF3||PRDM6||GLIS1||ZNF664||POLR2A||ZMYM3||KDM1A||ATF7||TRIM24||SMARCA5||ZNF121||EMSY
GH0XJ040076	
GH0XJ040077	RFX1||POLR2A||CTCF
GH0XJ040273	LEF1||IKZF1||JUND||PKNOX1||DPF2||HDAC1||SOX6||FOXJ2||TCF12||EP300||MGA||NKRF||ZNF766||MTA3||CTBP1||TAF9B||HES1||FOXK2||HDAC2||E2F5||GABPA||MEF2D||ZNF318||AFF1||MNT||MYC||EP400||TRIM24||NCOR1||FOSL1||NFIC||STAT5A||BCOR||MYNN||ZNF644||FOXM1||TFDP1||ZNF592||BHLHE40||RCOR1||ZNF584||TAL1||SMAD5||ZNF589||VEZF1||NRF1||ETV1||ID3||MAX||TRIM28||MEIS2||MTA2||KLF16||SMARCA4||MITF||SIRT6||CHD2||SMARCE1||RNF2||TBL1XR1||RAD51||KDM1A||ZNF197||USF2||L3MBTL2||TEAD4||CBFA2T2||NR2C1||ELF1||GATA2||ZNF148||CBFA2T3||MLLT1||ARID1B||ZBTB40
GH0XJ040080	ZNF341||POLR2A||HNF4A||RXRA||HNF4G||ZNF652||SP1
GH0XJ040081	ZNF341||KLF9||POLR2A
GH0XJ040060	ZNF740||NFIC||ZFHX2||POLR2A||ZNF18||VEZF1||HNF4A||EGR2||PML
GH0XJ040007	ZSCAN4||POLR2A||EZH2||RAD21||YY1||CTCF||ZBTB33||SMARCA4||CHD2||BHLHE40||MYC||MAX
GH0XJ040297	CTCF||IKZF1||REST||HDAC1||EP300||ARID3A||RUNX3||POLR2A||HDAC2||NR2C2||TCF12||FOSL1||BCOR||RAD21||NR2F1||SMARCA5||BATF||TAL1||EBF1||NR2F6||ADNP||ZNF507||ZEB2||MEIS2||MTA2||SMARCE1||ZMYM3||ZNF217||KDM1A||TEAD4||CBFA2T2||ESRRA||CBFA2T3||MLLT1||ARID1B
GH0XJ040056	EGR1||EBF1||SMAD5||RARA||GLIS1||FOS
GH0XJ040302	
GH0XJ040054	FOS
GH0XJ040391	ZNF143||USF1||HCFC1||RAD51||USF2
GH0XJ040376	
GH0XJ040411	CTCF||JUND||PKNOX1||FOSL1||CEBPB||CEBPG||ATF3||ZBTB33||RAD21||MAX||CBFA2T3||ZKSCAN8
GH0XJ040303	IKZF1||IKZF2||MGA||ZNF766||FOSL1||SPI1||ZFP3||ATF2||MAX||L3MBTL2||RNF2||ETV6
GH0XJ040005	MAZ||SMC3||ZNF202||ZBTB33||BACH1||EZH2
GH0XJ039957	ZNF316||RCOR1||ZNF623||BCOR||ZNF189||ZNF16||ZMYM3||EMSY
GH0XJ040435	
GH0XJ040434	LEF1||JUND||MTA2||PKNOX1||DPF2||HDAC1||SOX6||EP300||ARNT||MGA||CBX3||CTBP1||TAF9B||NFE2||ZNF316||OSR2||MAFF||ZNF318||MAFK||MNT||MYC||TRIM24||NCOR1||MAFG||PBX2||POLR2A||BHLHE40||NRF1||TCF12||SNIP1||TRIM28||MEIS2||SMARCA4||CHD2||SMARCE1||RNF2||TBL1XR1||KDM1A||L3MBTL2||BACH1||NFE2L2||CEBPB||CBFA2T2||ZNF148||CBFA2T3||ARID1B||EMSY||ATF1
GH0XJ040414	FOXA1||GATA3||JUND
GH0XJ040416	FOXA1||ZIC2||GATA3||TCF7L2
GH0XJ040010	HNRNPL||GATAD2A||PRDM10||LEF1||JUND||FOXA1||ZIC2||ZSCAN4||RBFOX2||PKNOX1||RXRB||PATZ1||REST||ZNF740||SP1||ZNF501||EZH2||DPF2||GABPA||SOX6||ZNF341||GATAD2B||CEBPA||EP300||RELA||NRF1||SOX13||POLR2A||CEBPB||KLF9||MGA||ZBTB20||SP2||GTF2E2||UBTF||ZNF766||EGR1||RUNX3||ZBTB10||TAF9B||ZNF157||CTBP1||FOXA2||KDM4B||RCOR1||ZBTB11||YY1||MEF2D||ZBTB26||ELK1||MNT||GTF2F1||MYC||ZKSCAN1||ZNF423||EP400||TRIM24||TFDP1||SREBF2||NCOR1||FOSL1||MAX||PCBP1||MAZ||MXI1||NR2F2||FOXM1||ZFHX2||KLF8||PBX2||IKZF1||BCOR||SAP130||TBP||ZNF777||NR2F1||RFX5||CEBPG||ZNF335||ZNF592||ZNF610||BHLHE40||GABPB1||SPI1||KLF6||PRDM4||ZFP69B||SAFB||TCF7L2||TAL1||RAD21||KLF17||ZNF768||DRAP1||CREM||ZHX1||ZNF513||FOSL2||HIC1||SMAD5||SMAD4||SUPT5H||ZNF202||ZFP3||HDAC2||HNF4A||ZSCAN23||VEZF1||FEZF1||RXRA||ETV1||RARA||TCF12||ID3||GLIS1||ZNF398||ETV4||FOS||ZBTB33||MEIS2||YY2||ZNF184||KLF16||SRF||SP3||ZNF48||KLF1||RNF2||SOX5||ZBTB40||KDM1A||USF2||RB1||ZNF280D||RLF||EGR2||L3MBTL2||ZNF280C||TEAD4||ELF1||ZNF473||TAF1||ELF3||CBFA2T2||FOXA3||ESRRA||ZFX||ZNF148||ZBTB6||CBFA2T3||ARID1B||SP7||ZBTB7A||ZNF644||GLIS2||ZNF639||ZBTB8A||PML||GMEB1||ZEB2
GH0XJ040440	ZNF629||POLR2A||ZNF341||CEBPA||RBAK||ZNF140||EGR1||ZXDB||ZNF580||ZNF266||ZNF623||ZBTB11||ZNF189||ZNF213||ZNF202||ZNF223||ZC3H11A||RARA||NFIA||ZFP64||KDM1A||ZNF664||ZNF791||ZNF433||ZNF781||ZNF518A||ZBTB21||HLF||ZNF697||CBFA2T3||ZNF560||ZBTB8A||ZNF680||PRDM12
GH0XJ040328	CTCF||SPI1||POLR2A||RAD21
GH0XJ040331	ZNF10||NFE2||ZNF316||MAFG
GH0XJ040420	RELA||TCF12||YY1||SOX13||RUNX3||POLR2A||FOSL1||IRF4||EBF1||FOS||EGR2||ZNF687
GH0XJ040418	RFX1||FOXA1||BMI1||GATA3||DPF2||SMARCE1
GH0XJ040318	
GH0XJ040380	ZIC2||PKNOX1||ZNF316||ZSCAN5C||USF1||HCFC1||SPI1||BATF||FEZF1||TCF12||ZNF143||USF2||CBFA2T3
GH0XJ040309	
GH0XJ040446	
GH0XJ040444	PKNOX1
GH0XJ040406	DPF2||CEBPB||TCF12||BCL11A||ARNT||IKZF1||JUNB||SPI1||IRF4||BATF||EBF1||ATF2||MTA2||ETV6
GH0XJ040402	JUND||ZIC2||SOX6||SP1||NR2C2||NCOR1||FOSL1||FOSL2||NR2F1||IRF4||BATF||TAL1||NR2F6||ATF3||TCF12||TRIM28||L3MBTL2||CBFA2T2||NR2C1||CBFA2T3||MAFK
GH0XJ040404	
GH0XJ040423	ZIC2||SCRT2||EZH2||NFE2||ZNF316||MAFG||MAFK||CEBPB||PRDM6||NFE2L2||HLF||MAFF||EMSY
GH0XJ039900	ZNF629||ZNF600||ZNF341||ZNF561||ZBTB20||TCF7L2||ZBTB48||ZBTB17||ZNF423||SCRT1||WT1||ZNF335||TRIM28||SMARCA4||ZBTB21||GATA2||SP7||ZNF121||GLIS2||ZBTB8A
GH0XJ039762	ZNF600||JUND||CEBPB||JUN||FOSL1||MAX||CEBPG||ZNF791||ZBTB40||ZNF488||POLR2A
GH0XJ039902	CEBPG||HNRNPL||ZBTB33||PRDM10||ZNF629||ZNF692||PRDM1||ZIC2||PATZ1||SP1||ZNF600||ZNF341||CEBPA||ZNF561||CEBPB||ZBTB20||SMARCC1||JUND||EGR1||ZXDB||ZNF157||ESR1||ATF3||NR3C1||FOS||JUN||ZBTB48||YY1||TEAD1||MAX||MXI1||NFIC||ZFHX2||POLR2A||FOSL2||SIN3A||SAP130||RAD21||ZNF189||JUNB||ZNF335||SMC3||BHLHE40||STAT1||ZFP69B||BATF||TCF7L2||NFIB||USF2||ZNF366||ZNF16||HNF4A||FEZF1||RXRA||NFIA||ZNF660||GLIS1||ZNF664||INSM2||ZBTB21||MYC||MNT||EGR2||ZNF473||NRF1||SP7||GLIS2||ZBTB8A||PKNOX1
GH0XJ040450	FOXA1||PKNOX1||MGA||NR2F1||NR2F6||GATA2
GH0XJ040512	GATAD2A||TFE3||RCOR2||FOXA1||RXRB||IRF2||SP1||ZNF341||CEBPA||SOX13||TCF7||CTBP1||NFE2||FOXK2||ZNF316||FOXA2||YY1||ZBTB33||ZNF217||TEAD1||KDM6A||JUND||FOSL1||MAFG||CREM||NR2F2||FOXP1||ZNF792||GATA3||DPF2||MIER3||NR2F1||ZGPAT||RAD21||RCOR1||FOSL2||CEBPB||SMAD4||BCL6||BHLHE40||ADNP||HOMEZ||HNF4A||TFAP4||NFIL3||RXRA||THAP11||RARA||NFIA||DMAP1||ARID4B||MAX||KDM1A||FOS||TEAD3||HMG20A||NR2F6||KDM3A||MIER2||HNF4G||SOX5||HLF||SMARCE1||ATF3||RBPJ||FOXA3||MLX||EGR1||CEBPG||MIXL1||SREBF1||ZNF652||PPARG||CBFA2T3||ZNF644||EMSY||MAFK||KAT8
GH0XJ039893	TEAD4||ZNF629||FOXA1||RELA||ZIC2||ZNF501||ZNF341||EED||RBAK||ZNF140||SP1||ZNF639||RFX1||ZXDB||RUNX3||ESR1||ZNF23||ZNF138||CBFB||ZNF266||TCF12||ZNF623||BCL11A||ZBTB11||ZFHX2||SIN3A||OVOL3||IKZF1||FOSL2||ZNF189||GATA3||SPI1||ZNF213||EBF1||KLF17||RFX5||ZNF514||ZNF202||ZNF223||ZC3H11A||CTCF||ATF2||ZFP64||ZNF664||ZNF791||FOS||ZNF433||TEAD3||ZFP37||ZNF781||MTA3||KLF1||REST||ZNF518A||BHLHE40||ZNF558||ZBTB21||MNT||EGR2||MYC||GFI1B||ZNF19||ZNF697||NR3C1||ZNF121||ZNF560||ZBTB8A||ETV6||CREB1||ZNF680||PRDM12
GH0XJ040459	POU5F1||GATA2
GH0XJ040520	POLR2A||TRIM28||MAX||SMARCA4
GH0XJ040518	CREB1||TARDBP||FOXA1||ATF7||HES1||BMI1||ZKSCAN1||CTBP1||ESRRA||ZNF592||PKNOX1||ZNF217||MBD2||ESR1||GATA3||NONO||DPF2||JUND||NFIB||RCOR1||NCOA3||ZNF687||ZNF24||RAD51||FOS||MEIS2||MTA1||RAD21||TCF7L2||SMARCE1||MYC||SREBF1
GH0XJ040519	ESRRA||ESR1
GH0XJ039751	CREB1||ATF7||PRDM10||ZNF629||ZNF692||JUND||ZIC2||MTA1||PATZ1||HDAC1||ZNF600||ZNF341||EP300||SCRT2||ZBTB44||SP1||ZNF639||SMARCC2||EGR1||ZNF10||ZXDB||CTBP1||ZBTB10||BRCA1||TAF9B||ZEB1||TSHZ1||HDAC2||CEBPB||ZNF585B||CHD2||JUN||YY1||ZNF318||ELK1||ZBTB17||TRIM24||ATF2||SCRT1||NCOR1||FOSL1||ZNF623||MAX||DEK||NFIC||WT1||ZFHX2||KLF8||ZNF189||RFX5||POLR2A||ELF1||NCOA1||BHLHE40||ZNF395||STAT3||ZBTB1||ZNF384||ZFP69B||ZNF584||TCF7L2||TAL1||RAD21||KLF17||USF2||CREM||GLI4||HIC1||DPF2||ZNF589||ZSCAN23||VEZF1||CEBPG||ATF3||ETV1||ZNF324||TCF12||NFIA||GLIS1||TRIM28||ATF1||ZNF398||KHSRP||ZNF24||KDM1A||KLF10||KLF16||MTA2||MAFF||SMARCA4||ZBTB12||INSM2||KLF1||SMARCE1||ZMYM3||ZBTB21||HLF||EGR2||TEAD4||CBFA2T2||GFI1B||ZNF148||CBFA2T3||ARID1B||ZBTB40||SP7||ZNF548||NR3C1||ZBTB8A||PML||ZEB2
GH0XJ039891	POLR2A||NR2C1||NR2F1||SPI1||EBF1||ZNF687||ETV6
