GH14J075535	DPF2||ATF3||NCOR1||BRCA1||YY1||HIC1||CEBPA||DEK||CEBPB||ELK1||ZNF639||ZNF217||MAX||ZEB1||CHD4||EP300||KDM6A||RAD51||KMT2B||ELF1||FEZF1||FOXA2||CTBP1||CUX1||SAP130||RAD21||HOMEZ||MAFF||RFX5||MIER3||THAP11||ZSCAN9||STAT3||TBP||SMAD4||SIN3A||RXRA||ZBTB33||TCF7L2||ETV4||FOSL2||TAL1||USF2||NFE2||RARA||TEAD3||JUND||BCL6||CREM||FOXP1||ZBTB48||HDAC2||PKNOX1||BATF||ZNF24||FOXK2||ZNF189||FOXA1||SOX5||SMARCE1||TCF12||HMG20A||HNF4A||GATAD1||RBPJ||ZNF48||BHLHE40||ATF4||ZNF3||TOE1||NR2F6||NFIB||NFE2L2||REST||TFAP4||ZNF398||TEAD4||RXRB||NCOA3||IKZF5||ELF3||SP7||SP1||ARID3A||L3MBTL2||CEBPG||KDM3A||HDAC1||ZNF580||JUN||ZNF366||TRIM28||ARID1B||ARID4B||NFIL3||ZNF687||NR2F1||CREB1||PPARG||CHD1||HLF||MLX||TBL1XR1||KDM1A||ZBTB12||MNT||MIXL1||ZNF660||DACH1||ZXDB||GATAD2A||ZEB2||FOS||XRCC5||NFKBIZ||MAFK||ZNF629||MTA1||CBFA2T2||ZNF692||TCF7||GABPA||RNF2||KAT8||TRIM24||IKZF1||ESRRA||IRF2||ZBTB26||HNF4G||PRDM10||ATF7||ZBTB17||TARDBP||SOX13||SOX6||GTF2F1||ZNF512B||ZNF207||ETS1||EGR1||ZNF592||SREBF1||ZKSCAN1||KLF8||FOXA3||TSHZ1||LEF1||RCOR2||RERE||AFF1||CBFA2T3||NR2F2||ZBTB25||TFE3||SKI||ZGPAT||TEAD1||SMARCA4||GATAD2B||ZNF335||ERF
GH14J075538	DPF2||ATF2||NCOR1||BCL11A||REST||NFIC||MAZ||MBD2||CHD1||SIN3A||ZNF217||BHLHE40||SMARCA5||EBF1||SMAD4||CBFB||TAL1||RARA||JUND||SPI1||HDAC2||STAT5A||PKNOX1||PRDM10||ELF1||FOXM1||SMARCA4||NCOA1||TCF12||IKZF1||NFATC1||HMG20A||EGR1||MTA2||NR2F1||HDGF||MTA3||ZNF48||POLR2A||STAT1||NR2F6||ZBTB21||BACH1||STAT3||TEAD4||ZMYM3||ZFP36||CREM||ELF3||SP1||L3MBTL2||HDAC1||ZBED1||ARID1B||SMARCE1||ZNF687||CREB1||TBL1XR1||ARID3A||ATF3||KDM1A||ATF1||KLF16||HNRNPL||RAD51||NFKBIZ||ZNF629||CBFA2T2||IKZF2||RNF2||ZNF558||TRIM24||ATF7||SOX6||EED||NBN||EP300||RELB||RUNX3||ETV6||CC2D1A||ARNT||GATAD2B||BCOR||HMBOX1||NR2F2||CBFA2T3||PML||MLLT1||PHB2||BCLAF1
GH14J075544	ZNF558
GH03J128495	DPF2||NCOR1||REST||TARDBP||TAL1||MYNN||HLTF||SUPT5H||HDAC2||ZC3H8||TCF12||ARHGAP35||LARP7||TEAD4||CREM||HDAC1||GATA2||ARID1B||SMARCE1||MLLT1||ARID2||DACH1||CBFA2T2||CHD2||CDC5L||HDGF||CTBP1||NFRKB||ZNF24||MTA3||POLR2A||EP300||GATAD2A||EZH2||CBFA2T3||SMARCA4
GH03J128496	HIC1||ZNF592||MNT||MYNN||CBX1||SUPT5H||EP400||SMARCA4||ZBTB33||POLR2A||HNRNPL||L3MBTL2||HDAC1||GMEB1||MAX||HDGF||EZH2||ZNF24||USF1||EGR1||PML||MYC||MGA
GH03J128499	MEIS2||POLR2A
GH03J128503	HCFC1||DPF2||RCOR1||ZNF217||MBD2||POLR2A||ELF1||CTBP1||CUX1||ZNF316||YY1||TCF7L2||USF2||NFE2||GATA3||SPI1||JUND||MAX||PKNOX1||MAZ||FOXA1||SMARCA4||MAFG||SMARCE1||ZBTB33||RAD51||EGR1||MAFK||TOE1||NFYC||MAFF||L3MBTL2||CEBPB||ARID1B||ZNF687||CREB1||ATF3||MNT||FOS||RAD21||MTA1||CBFA2T2||EP300||ZHX2||TRIM24||ESRRA||ATF7||RNF2||ZNF579||TARDBP||ZNF592||SMARCA5||CBX3||ZKSCAN1||CHD2||USF1||CBFA2T3||EMSY||GATAD2B||ZNF444||MGA
GH03J128479	SMAD5||MYNN||SUPT5H||ZBTB40||TEAD4||POLR2A||ZBED1||PML
GH03J128504	REST||CTCF||RAD21||SMC3||POLR2A||L3MBTL2||XRCC5||SMARCA5||TRIM22
GH03J128469	
GH03J128515	
GH03J128537	CEBPB||NR2F1
GH03J128531	DPF2||NCOR1||NFIC||ZNF592||HES1||TBP||ARNT||ZNF316||TAL1||SPI1||ZNF318||HDAC2||EHMT2||PRDM10||FOXK2||SMARCA4||MAFG||NCOA1||TCF12||MTA2||MAFK||NR2F6||TEAD4||MEIS2||KLF1||L3MBTL2||HDAC1||GABPB1||ARID1B||GMEB1||SMARCE1||TBL1XR1||PHF21A||KDM1A||ZBTB8A||ATF1||CBFA2T2||OSR2||RNF2||ZNF24||TRIM24||IKZF1||SOX6||PKNOX1||MTA3||EP300||LEF1||BCOR||CBFA2T3||EMSY||NR2F1||SCRT2||MTA1||MGA
GH03J128407	DPF2||JUND||NCOR1||ZNF600||ZIC2||CEBPG||HIC1||REST||NFIC||DEK||CTCF||CEBPB||ZNF592||MBD2||NONO||HES1||MNT||TBP||ZNF341||MAX||ARNT||KLF7||EP300||SMAD5||TAF9B||BHLHE40||KLF9||RAD21||TARDBP||SMC3||ZNF316||SAFB||SMAD4||ZBTB5||SKIL||TCF7L2||TAL1||MYNN||NFE2||NCOA2||ATF1||CBX1||SUPT5H||SPI1||ZNF318||HDAC2||STAT5A||MYC||MCM7||PRDM10||IRF9||EP400||ZNF189||FOXM1||SMARCA4||ZEB2||NRF1||MAFG||NCOA1||TCF12||ZBTB33||RAD51||DIDO1||EGR1||MTA2||TAF7||MAFK||ATF2||ARHGAP35||POLR2A||HNRNPL||ATF4||GLIS1||RLF||PRDM4||TEAD4||MEIS2||CREM||RUNX1||KLF1||JUNB||L3MBTL2||HDAC1||NFIA||GATA2||TEAD2||GABPB1||TRIM28||ARID1B||ZFP3||GMEB1||SMARCE1||CREB1||MLLT1||ATF3||TBL1XR1||PHF21A||KDM1A||ZSCAN4||DACH1||EGR2||KLF16||GTF2F1||FOS||RFX5||CBFA2T2||CHD2||KDM4B||CDC5L||HDGF||RNF2||CTBP1||ZNF24||TRIM24||ZNF354B||IKZF1||GLIS2||SOX6||NFRKB||PKNOX1||RB1||MTA3||ATF7||GATAD2B||ZKSCAN1||POLR2B||FOXK2||CC2D1A||LEF1||USF1||ZBED1||BCOR||GATAD2A||ETV6||AFF1||HMBOX1||CBFA2T3||MEF2D||SMARCA5||NR2C1||PML||BRD9||ZBTB2||EMSY||SREBF2||XRCC5||NR2F1||SCRT2||MTA1||MGA||PBX2||UBTF
GH03J128553	NFIC||CTCF||ZNF217||CTBP1||SPI1||FOXA1||ZBTB33||DPF2||BHLHE40||NCOA3||ZNF687||ATF3||FOS||ESRRA||HMBOX1
GH03J128554	POLR2A||SIN3A||SP1
GH03J128556	HES1||NR2F2
GH03J128568	CTCF||ETS1||PKNOX1||ZNF664||SP1||POU5F1||NANOG||ZNF121||KDM1A
GH03J128569	JUND
GH03J128559	ZIC2||FOXA2||ZNF316||FOSL2||NFE2||SPI1||PKNOX1||FOXK2||FOXA1||NRF1||NFE2L2||ZNF687||MNT||FOS||BACH1||FOXA3||EMSY
GH03J128584	NCOR1||CTCF||REST||DEK||ZNF592||ZNF654||MNT||TCF12||ZNF217||MAX||ARNT||MXD4||ELF1||SAP130||RAD21||SIN3A||SMC3||EBF1||YY1||USF2||ZKSCAN1||ZNF143||STAT5A||MYC||EP400||SMARCE1||POLR2A||RBPJ||ATF4||GLIS1||ZBTB40||TFAP4||CREM||DPF2||ELF3||L3MBTL2||ZNF580||ARID1B||ARID4B||ATF3||XRCC5||HNRNPL||CHD2||IKZF1||ATF2||TFDP1||ATF7||SMARCA5||TRIM22||RNF2||USF1||HMBOX1||ZNF444||ERF||MGA
GH03J128431	RCOR1||POLR2A||REST||ZNF217||MBD2||PRDM1||CTBP1||CUX1||SIX4||ZBTB7B||MLLT1||SIN3A||PTBP1||PKNOX1||ZNF512B||MAZ||SMARCE1||ZBTB33||RAD51||DPF2||ZNF48||TOE1||NFIB||GLIS1||ZNF768||ZMYM3||GATA2||POU5F1||NBN||ZNF687||CREB1||KDM1A||MNT||ZNF24||GATAD2B||MTA3||FOS||HNRNPL||CTCF||RAD21||ZFX||MTA1||EP300||ZHX2||ESRRA||ZNF579||TARDBP||GTF2F1||SREBF1||USF1||NFXL1||ZNF121||BCOR||EZH2||CBFA2T3||SMARCA5||HDAC2||ZNF444
GH03J128547	DPF2||KLF17||NCOR1||ZIC2||CEBPG||REST||NFIC||CEBPB||ZNF592||MBD2||MNT||TBP||ZNF341||ZNF223||SMAD5||TAF9B||BHLHE40||MAFF||STAT3||ZNF316||NBN||SKIL||FOSL2||MYNN||NFE2||MAFK||MBD1||ATF1||FOXP1||SUPT5H||JUND||SPI1||ZNF318||HDAC2||PRDM10||EP400||FOXK2||MLLT1||SMARCA4||NRF1||NCOA1||MAFG||TCF12||ZBTB33||EGR1||MTA2||TAF7||RBPJ||ATF2||POLR2A||ATF4||ZBTB21||GLIS1||MEIS2||ZC3H8||CREM||ZNF133||ELF3||JUNB||SP1||L3MBTL2||HDAC1||NFIA||JUN||ARID1B||SMARCE1||NFATC3||CREB1||TBL1XR1||ATF3||PKNOX1||KLF16||GTF2F1||HNRNPL||DDX20||ZNF629||CTCF||CBFA2T2||KDM1A||CHD2||PATZ1||RNF2||IKZF1||ZBTB17||SOX6||NFRKB||ZNF740||RB1||MTA3||ATF7||EP300||CBX3||POLR2B||LEF1||FOS||GATAD2A||CBFA2T3||NR2F2||MEF2D||ZFHX2||BRD9||HDGF||EMSY||SREBF2||XRCC5||MYC||SCRT2||MTA1||E2F1||MGA||PBX2
GH03J128551	THAP11||PRDM10||HCFC1||RAD51||ZNF143
GH03J128581	
GH03J128577	PRDM10||NRF1||L3MBTL2||PKNOX1||CBFA2T3
GH03J128582	
GH03J128595	GABPA||POLR2A
GH03J128665	REST||CTCF||RAD21||PRDM10
GH03J128667	
GH03J128663	
GH03J128590	REST||CTCF||HOMEZ||GABPA||FOSL2||TEAD3||RAD21||MYC||MAX||POLR2A||HBP1||RXRB||IKZF5||ARID4B||SMC3||MIXL1||GATAD2A||XRCC5||ZNF7||IRF2
GH03J128589	ZIC2||MAX||PRDM10||POLR2A||GLIS1||SREBF1
GH03J128606	PKNOX1
GH03J128623	NFE2||ZBTB33||ZSCAN4||SPI1||NFE2L2||EP300
GH03J128671	RAD51||CREB1||CBFA2T2
GH03J128658	CEBPG||CEBPB
GH03J128622	POLR2A
GH03J128079	DPF2||JUND||ATF3||YY1||ZNF592||NKRF||ZNF316||RXRA||FOSL2||USF2||NFE2||RARA||TEAD3||THRB||HDAC2||EHMT2||EP400||MAFG||RAD51||HNF4A||RAD21||ATF4||NR2F6||BHLHE40||REST||TEAD4||MAX||JUNB||SP1||L3MBTL2||JUN||ZNF366||ARID1B||GMEB1||SMARCE1||NR2F1||CREB1||MLLT1||ZNF184||KDM1A||POLR2A||FOS||MAFK||HDGF||RNF2||CTBP1||TRIM24||ZNF354B||ATF2||ATF7||EP300||CEBPB||LEF1||MNT||MTA2||AFF1||HMBOX1||MEF2D||NR2C1||HDAC1||EMSY||SMARCA4||MTA1||MGA
GH03J128111	JUND||ZNF184||NFIC||CEBPB||MAX||FEZF1||STAT3||EBF1||USF2||ZNF843||PRDM6||ZNF24||MYC||INSM2||ZNF664||NFIB||POLR2A||GATA2||ZNF366||BCL6B||MNT||ZXDB||SPI1||ZEB2||FOS||ZNF629||ZNF692||OSR2||ZBTB17||EP300||ZNF335||ZBTB44
